;;;;Set;;Fin;;Res;;Fai;;Cor;;Dow;;;Y;N;;
22;FinResFaiDowCuts;267.864;1;0;0;1;0;1;0;1;1;0;0;1;;Set;472.988875;522.8398125;49.8509375;0.5
27;SetFinFaiCorDowCuts;282.757;0;1;0;1;1;0;0;1;0;1;0;1;;Fin;490.056;505.7726875;15.7166875;0.5
25;SetFaiCorDowCuts;283.455;0;1;1;0;1;0;0;1;0;1;0;1;;Res;451.466125;544.3625625;92.8964375;0.666666667
20;ResFaiDowCuts;298.449;1;0;1;0;0;1;0;1;1;0;0;1;;Fai;497.9143438;0;;
13;SetResFaiCorCuts;322.14;0;1;1;0;0;1;0;1;0;1;1;0;;Cor;468.5660625;527.262625;58.6965625;0.833333333
15;SetFinResFaiCorCuts;326.667;0;1;0;1;0;1;0;1;0;1;1;0;;Dow;446.1944375;549.63425;103.4398125;0.833333333
29;SetResFaiCorDowCuts;353.185;0;1;1;0;0;1;0;1;0;1;0;1;;;;;;
30;FinResFaiCorDowCuts;354.204;1;0;0;1;0;1;0;1;0;1;0;1;;;;;;
31;SetFinResFaiCorDowCuts;355.573;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;
28;ResFaiCorDowCuts;357.401;1;0;1;0;0;1;0;1;0;1;0;1;;;;;;
26;FinFaiCorDowCuts;370.648;1;0;0;1;1;0;0;1;0;1;0;1;;;;;;
24;FaiCorDowCuts;373.233;1;0;1;0;1;0;0;1;0;1;0;1;;;;;;
4;ResFaiCuts;420.547;1;0;1;0;0;1;0;1;1;0;1;0;;;;;;
0;FaiCuts;422.675;1;0;1;0;1;0;0;1;1;0;1;0;;;;;;
11;SetFinFaiCorCuts;445.734;0;1;0;1;1;0;0;1;0;1;1;0;;;;;;
9;SetFaiCorCuts;458.783;0;1;1;0;1;0;0;1;0;1;1;0;;;;;;
6;FinResFaiCuts;461.903;1;0;0;1;0;1;0;1;1;0;1;0;;;;;;
18;FinFaiDowCuts;466.697;1;0;0;1;1;0;0;1;1;0;0;1;;;;;;
5;SetResFaiCuts;511.257;0;1;1;0;0;1;0;1;1;0;1;0;;;;;;
7;SetFinResFaiCuts;511.675;0;1;0;1;0;1;0;1;1;0;1;0;;;;;;
21;SetResFaiDowCuts;539.673;0;1;1;0;0;1;0;1;1;0;0;1;;;;;;
23;SetFinResFaiDowCuts;541.789;0;1;0;1;0;1;0;1;1;0;0;1;;;;;;
2;FinFaiCuts;553.253;1;0;0;1;1;0;0;1;1;0;1;0;;;;;;
3;SetFinFaiCuts;558.545;0;1;0;1;1;0;0;1;1;0;1;0;;;;;;
1;SetFaiCuts;587.692;0;1;1;0;1;0;0;1;1;0;1;0;;;;;;
19;SetFinFaiDowCuts;741.626;0;1;0;1;1;0;0;1;1;0;0;1;;;;;;
17;SetFaiDowCuts;747.271;0;1;1;0;1;0;0;1;1;0;0;1;;;;;;
12;ResFaiCorCuts;800.376;1;0;1;0;0;1;0;1;0;1;1;0;;;;;;
14;FinResFaiCorCuts;800.755;1;0;0;1;0;1;0;1;0;1;1;0;;;;;;
10;FinFaiCorCuts;801.206;1;0;0;1;1;0;0;1;0;1;1;0;;;;;;
16;FaiDowCuts;805.286;1;0;1;0;1;0;0;1;1;0;0;1;;;;;;
8;FaiCorCuts;810.94;1;0;1;0;1;0;0;1;0;1;1;0;;;;;;
