Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;6;0;0;0;0;122;54;5;0;0;0;0;0;3;0;122;54;5;3;0;96,915278;142;0;437360;193404;157500;146500;40002
1_0;3;1;0;7;0;0;0;0;129;48;7;3;0;0;0;0;0;0;129;48;7;0;0;97,770139;142;0;455962;0;442500;398000;46669
2_0;3;1;0;6;0;0;0;0;138;47;7;1;0;0;0;0;0;3;138;47;7;1;3;96,640972;142;0;536476;150378;442500;250000;40002
3_0;3;0;0;6;0;0;0;0;135;49;6;0;0;0;0;0;0;6;135;49;6;0;3;95,366667;142;0;455678;491746;157500;160000;40002
4_0;3;1;0;6;0;0;0;0;126;53;7;1;0;0;0;0;0;6;126;53;7;1;0;94,418056;142;0;527956;613440;442500;256000;40002
5_0;3;1;0;6;0;0;0;0;133;48;2;0;0;0;0;0;0;6;133;48;2;0;0;94,900694;142;0;429266;613440;442500;85000;40002
6_0;3;1;0;8;11;0;0;0;111;0;0;1;0;17;42;7;0;7;128;42;7;1;1;78,250694;142;93720;311690;4.04189e+06;442500;277000;53336
7_0;3;1;0;9;13;0;0;0;67;0;0;0;0;72;96;12;0;11;122;54;5;0;4;32,967361;142;110760;142710;1.34534e+07;442500;240500;60003
8_0;3;1;1;18;16;0;0;0;11;0;0;1;12;208;142;17;0;0;147;46;5;1;1;-34,981944;142;136320;391778;2.7073e+07;4942500;4.3835e+06;120006
9_0;3;1;1;10;16;0;0;0;11;0;0;0;1;327;177;21;0;0;130;35;4;0;1;-123,211111;142;136320;235294;4.52706e+07;4942500;630500;66670
10_0;3;1;1;10;16;0;0;0;11;0;0;0;0;438;233;26;0;0;122;56;5;0;0;-204,781250;142;136320;23430;6.21619e+07;4942500;296000;66670
11_0;3;1;1;10;16;0;0;0;11;0;0;0;0;553;273;30;0;0;126;40;4;0;0;-288,756250;142;136320;23430;7.93331e+07;4942500;296000;66670
12_0;3;1;1;10;16;0;0;0;11;0;0;0;0;671;317;36;0;0;129;44;6;0;0;-370,562500;142;136320;23430;9.60609e+07;4942500;296000;66670
13_0;3;1;1;10;16;0;0;0;11;0;0;0;0;791;369;42;0;0;131;52;6;0;0;-452,455556;142;136320;23430;1.12806e+08;4942500;296000;66670
14_0;3;1;1;10;16;0;0;0;11;0;0;0;1;901;427;46;0;0;121;58;4;0;1;-544,236111;142;136320;235294;1.31362e+08;4942500;630500;66670
15_0;3;0;1;10;16;0;0;0;11;0;0;0;2;1018;471;51;0;0;128;44;5;0;2;-630,266667;142;136320;447158;1.48741e+08;4657500;965000;66670
16_0;3;1;0;10;16;0;0;0;11;0;0;0;0;1131;522;56;0;3;124;51;5;0;3;-712,168750;142;136320;23430;1.65913e+08;442500;296000;66670
