Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;98,003472;172;0;39560;0;157500;4000;20001
1_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;98,003472;162;0;37260;0;105000;4000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;98,133681;152;0;32680;0;52500;4000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;11;2;0;0;0;98,220486;142;0;29110;0;52500;2000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;4;1;0;0;0;0;0;0;0;9;4;1;0;0;97,838542;132;0;32868;0;52500;22500;20001
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;0;11;5;0;0;0;97,699653;122;0;32330;0;52500;5000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;97,743056;112;0;58240;0;52500;8000;20001
7_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;9;0;0;0;0;0;0;0;0;19;9;0;0;0;97,981771;122;0;56730;0;337500;9000;26668
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;9;1;0;0;0;0;0;0;0;21;9;1;0;0;97,703993;132;0;69828;0;52500;27500;20001
9_0;3;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;16;7;0;0;0;0;0;0;0;0;16;7;0;0;0;95,746528;142;85200;53960;0;157500;192000;46669
10_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;17;8;2;0;0;0;0;0;0;0;17;8;2;0;0;97,382812;152;18240;73416;0;105000;82000;20001
11_0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;18;7;1;0;0;0;0;0;0;0;18;7;1;0;0;97,812500;162;9720;71928;0;157500;44000;13334
12_0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;2;0;0;0;0;10;0;0;0;31;12;0;0;0;89,227431;172;0;86860;553496;442500;2000;26668
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;22;0;0;0;0;2;2;0;1;26;14;2;0;1;92,867477;162;0;118908;280422;157500;22000;13334
14_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;14;3;0;0;0;0;0;0;2;34;12;1;0;1;95,384838;152;0;128288;114152;105000;69500;20001
15_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;28;11;6;0;0;0;0;0;0;2;28;11;6;0;0;92,870370;142;25560;119848;204480;105000;177500;26668
16_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;32;12;0;0;0;0;0;0;0;2;32;12;0;0;0;93,576389;132;7920;95040;190080;52500;30500;20001
17_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;25;10;0;1;1;0;0;0;0;1;25;10;0;1;0;94,221644;122;14640;141154;87840;52500;455000;26668
18_0;3;0;0;8;11;0;0;0;0;0;0;0;0;0;0;0;37;16;3;0;0;0;0;0;0;1;37;16;3;0;0;94,884983;112;73920;109424;80640;157500;275000;53336
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;44;16;1;0;0;0;0;0;1;1;44;16;1;1;0;95,720486;122;0;123708;116876;52500;34500;20001
20_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;40;12;2;1;0;0;0;0;0;1;40;12;2;0;0;96,410590;132;0;123288;95040;337500;122500;26668
21_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;46;15;4;0;0;0;0;0;0;2;46;15;4;0;1;94,303385;142;17040;159892;195818;105000;126000;26668
22_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;43;19;2;0;0;0;0;0;1;2;43;19;2;1;0;94,032118;152;0;166136;251864;157500;56000;20001
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;46;14;0;0;0;0;4;1;1;2;46;18;1;0;0;91,333333;162;0;157140;651564;157500;14000;13334
0_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;1;0;0;0;0;1;0;0;11;6;2;0;0;92,803819;172;0;54868;87720;157500;24500;20001
1_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;5;2;0;0;0;0;0;0;0;7;5;1;0;0;97,734375;162;0;42282;0;105000;42000;20001
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0;0;0;6;4;1;0;0;98,229167;152;0;31008;0;52500;22500;20001
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;8;4;0;0;0;98,263889;142;0;28400;0;52500;4000;20001
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0;0;0;0;1;1;8;2;1;1;1;92,951389;132;0;25608;81576;52500;20500;20001
5_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;3;1;1;1;0;0;0;0;0;11;3;1;0;0;97,074653;122;0;41114;0;52500;429500;26668
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;14;1;0;0;0;0;0;1;0;20;14;1;1;0;94,861111;112;0;68768;63840;52500;32500;20001
7_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;18;6;1;1;0;0;0;0;0;0;18;6;1;0;0;98,046875;122;0;54900;0;337500;98000;26668
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;7;0;0;0;0;0;0;0;0;22;7;0;0;0;97,960069;132;0;62040;0;52500;7000;20001
9_1;3;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;22;7;2;0;0;0;0;0;0;0;22;7;2;0;0;95,060764;142;85200;76396;0;157500;229000;46669
10_1;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;20;4;1;0;0;0;0;0;0;0;20;4;1;0;0;97,682292;152;18240;62928;0;105000;59500;20001
11_1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;15;11;2;0;0;0;0;0;0;0;15;11;2;0;0;97,513021;162;9720;83106;0;157500;66500;13334
12_1;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;2;0;1;0;0;11;0;0;0;29;13;0;1;0;86,073495;172;0;172860;654976;442500;75500;26668
13_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;22;0;0;0;0;0;3;0;1;25;11;3;0;1;93,556134;162;0;110646;250128;157500;22000;13334
14_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;4;0;0;0;0;0;1;2;28;13;1;1;1;93,460648;152;0;118560;224960;105000;87000;20001
15_1;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;30;16;0;0;0;0;0;0;1;2;30;16;0;0;0;91,001157;142;25560;109340;306720;105000;71500;26668
16_1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;33;10;0;0;0;0;0;0;1;2;33;10;0;0;0;91,565394;132;7920;91740;285120;52500;28500;20001
17_1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;31;8;0;1;1;0;0;0;0;1;31;8;0;0;0;95,535301;122;14640;85766;87840;52500;453000;26668
18_1;3;0;0;8;11;0;0;0;0;0;0;0;0;0;0;0;38;18;0;0;0;0;0;0;0;1;38;18;0;0;0;94,986979;112;73920;104160;80640;157500;221500;53336
19_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;45;14;2;0;0;0;0;0;1;1;45;14;2;1;0;95,071615;122;0;124806;152256;52500;51000;20001
20_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;38;15;2;2;0;0;0;0;0;2;38;15;2;1;1;93,671875;132;0;197208;187704;337500;199000;26668
21_1;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;41;16;0;0;0;0;0;0;0;2;41;16;0;0;0;94,585503;142;17040;132770;204480;105000;53000;26668
22_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;44;17;0;0;0;0;0;0;0;2;44;17;0;0;0;94,704861;152;0;152000;218880;157500;17000;20001
