Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;96,597222;172;0;8428;0;52500;18500;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;162;0;7290;0;52500;0;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;97,337963;152;0;17480;0;52500;2000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;97,048611;142;0;24140;0;52500;4000;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;8;1;0;0;0;98,055556;132;0;18480;0;52500;1000;13334
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;1;0;0;9;4;1;0;0;91,481481;122;0;26230;63562;52500;4000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0;0;5;3;1;0;0;98,105159;112;0;21392;0;52500;40000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,480903;122;0;21350;0;52500;2000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;14;3;0;0;0;97,916667;132;0;35640;0;52500;3000;20001
9_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,402778;142;17040;15620;0;52500;38000;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;0;13;7;0;0;0;97,885101;152;0;50920;0;52500;7000;20001
11_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;14;7;0;0;0;0;0;0;0;0;14;7;0;0;0;97,974537;162;0;56700;0;52500;7000;26668
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0;20;6;0;0;0;97,756410;172;0;72240;0;52500;6000;20001
13_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;98,710317;162;0;42120;0;52500;4000;20001
14_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;6;1;0;0;0;0;0;0;0;18;6;1;0;0;98,037037;152;0;64448;0;52500;24500;20001
15_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;22;10;0;0;0;0;0;0;0;0;22;10;0;0;0;97,439236;142;8520;75260;0;52500;28500;20001
16_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;0;0;0;0;0;24;5;0;0;0;97,385621;132;23760;60720;0;52500;60500;20001
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;6;2;0;1;0;0;0;0;0;25;6;2;0;1;92,071759;122;0;250710;0;52500;377500;26668
18_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;22;9;1;0;0;0;0;0;1;1;22;9;1;1;1;95,478801;112;13440;60928;64176;52500;64500;20001
19_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;22;12;0;0;0;0;0;0;1;1;22;12;0;0;0;92,395833;122;21960;69540;175680;52500;67500;20001
20_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;26;12;0;0;0;0;0;0;1;1;26;12;0;0;0;92,757937;132;15840;83160;190080;52500;49000;20001
21_0;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;22;12;0;0;0;0;0;0;1;2;22;12;0;0;1;91,328914;142;17040;80940;292094;52500;49000;20001
22_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;31;10;0;0;0;0;0;0;1;2;31;10;0;0;0;90,745773;152;36480;101080;328320;105000;84000;26668
23_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;30;11;1;1;1;0;0;0;0;1;30;11;1;0;0;95,306713;162;19440;126684;116640;52500;474500;26668
24_0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;31;14;1;0;0;0;0;0;0;1;31;14;1;0;0;95,669444;172;10320;133988;123840;52500;51000;20001
25_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;28;18;1;0;0;0;0;0;0;1;28;18;1;0;0;95,582265;162;19440;131868;116640;105000;73500;20001
26_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;41;16;2;0;0;0;0;0;0;1;41;16;2;0;0;94,951132;152;36480;152456;109440;105000;127000;26668
27_0;2;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;34;12;2;1;0;0;0;0;0;1;34;12;2;1;0;94,275794;142;34080;191416;102240;390000;196500;26668
28_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;37;11;2;0;0;0;0;0;1;1;37;11;2;1;0;95,780651;132;7920;111276;113388;52500;66500;20001
29_0;1;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;38;14;1;1;1;0;0;0;0;0;38;14;1;0;0;97,495370;122;14640;117364;0;52500;477500;26668
30_0;2;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;35;15;2;0;0;0;0;0;0;0;35;15;2;0;0;97,461918;112;26880;100016;0;105000;126000;26668
31_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;46;12;1;0;0;0;0;0;0;0;46;12;1;0;0;97,517361;122;21960;117608;0;105000;86000;26668
