Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;4;0;0;0;0;6;1;0;0;24;10;1;0;0;90,524306;172;0;75680;393708;157500;4000;13334
1_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;12;3;0;0;0;0;0;0;0;21;6;2;0;0;98,010417;162;0;92826;0;157500;67500;20001
2_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;9;1;0;0;0;0;0;0;0;22;9;1;0;0;98,111111;152;0;82688;0;105000;27500;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;11;2;0;0;0;0;0;1;1;28;11;2;1;1;95,375000;142;0;100536;88608;52500;48000;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;11;0;0;0;0;0;0;1;2;21;11;0;0;1;92,531250;132;0;70620;213312;52500;11000;13334
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;20;7;0;1;1;0;0;0;0;1;20;7;0;0;0;95,701389;122;0;63196;87840;52500;415000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;1;0;0;0;0;0;1;1;28;13;1;1;0;94,274306;112;0;79968;104720;52500;31500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;11;3;0;0;0;0;0;1;2;25;11;3;0;1;90,746528;122;0;85034;240096;52500;66500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;8;0;0;0;0;0;0;1;2;28;8;0;0;0;90,486111;132;0;76560;285120;52500;8000;20001
9_0;3;1;0;7;10;0;0;0;0;0;0;0;0;0;0;0;29;11;0;1;0;0;1;0;0;2;29;12;0;0;0;89,750000;142;85200;96702;237282;442500;269500;46669
10_0;3;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;29;4;0;0;0;0;6;2;0;2;29;9;2;0;0;82,145833;152;54720;78280;648584;157500;115000;26668
11_0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;25;16;0;0;0;0;1;2;0;2;25;11;0;0;0;85,086806;162;9720;102870;583200;157500;34500;13334
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;4;0;0;0;1;3;3;0;2;27;6;1;0;0;79,718750;172;0;80840;923812;157500;4000;13334
13_0;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;18;3;0;2;21;15;0;0;0;58,986111;162;29160;51516;1.83287e+06;157500;55500;20001
14_0;3;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;21;31;3;1;2;22;13;0;1;0;-6,343750;152;72960;2280;4.58006e+06;157500;148000;40002
15_0;3;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;27;41;4;1;2;22;10;1;0;0;-71,218750;142;102240;34080;6.86584e+06;157500;222000;46669
16_0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;52;50;5;0;0;0;0;0;1;2;25;9;1;0;0;88,729167;132;0;143352;285120;157500;142500;33335
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;7;0;1;1;0;0;0;0;1;29;7;0;0;0;95,232639;122;0;79666;87840;52500;415000;26668
18_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;14;0;0;0;0;0;0;1;2;25;14;0;1;1;93,069444;112;0;73360;150192;52500;14000;20001
19_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;23;13;0;1;0;0;0;0;0;2;23;13;0;0;0;92,809028;122;0;76982;175680;337500;86500;26668
