Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;162;0;4860;0;52500;0;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,194444;152;0;9880;0;52500;1000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;7;1;1;0;0;97,239583;142;0;22578;0;52500;19500;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,547980;132;0;15180;0;52500;2000;13334
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;4;4;0;0;0;98,611111;122;0;17080;0;52500;4000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;6;1;0;0;0;0;0;1;0;7;6;1;1;0;96,604938;112;0;29008;20272;52500;24500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;2;1;0;0;0;0;0;1;0;16;2;1;0;0;93,472222;122;0;38308;87840;52500;20500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;7;1;0;0;0;0;0;1;0;14;7;1;0;0;94,102564;132;0;50688;95040;52500;25500;20001
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;20;8;3;0;0;0;0;0;1;0;20;8;3;0;0;93,987455;142;8520;79804;102240;52500;82000;20001
10_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;21;7;1;0;0;0;0;0;1;0;21;7;1;0;0;94,872685;152;18240;74328;109440;52500;62500;20001
11_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;22;9;2;1;0;0;0;0;0;0;22;9;2;0;0;97,547425;162;19440;97848;0;52500;156500;26668
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;6;0;0;0;0;0;0;0;1;25;6;0;0;1;96,838061;172;0;85140;98900;52500;6000;20001
13_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;11;1;1;0;0;0;0;0;1;28;11;1;1;0;94,958071;162;0;195048;116640;337500;103000;26668
14_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;13;1;0;0;0;0;0;0;1;39;13;1;0;0;96,235876;152;0;133608;109440;52500;31500;20001
15_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;17;0;0;0;0;0;0;0;1;34;17;0;0;0;96,696128;142;0;120700;102240;52500;17000;20001
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;53;17;1;0;0;0;0;0;0;1;53;17;1;0;0;96,406012;132;0;154308;95040;52500;35500;20001
17_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;24;2;0;0;0;0;0;0;1;46;24;2;0;0;96,600694;122;0;151036;87840;105000;61000;20001
0_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;13334
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;162;0;8100;0;52500;1000;13334
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;3;0;1;0;0;97,805556;152;0;12008;0;52500;18500;20001
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;97,395833;142;0;21300;0;52500;3000;20001
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,421717;132;0;16500;0;52500;1000;13334
5_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;1;0;0;0;0;0;10;1;0;0;1;83,511905;122;0;202764;0;52500;335500;26668
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;10;2;0;0;0;98,533951;112;0;21280;0;52500;2000;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;6;0;0;0;0;0;0;0;0;18;6;0;0;0;97,537879;122;0;47580;0;52500;6000;20001
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;7;0;0;0;0;0;0;0;0;14;7;0;0;0;98,130342;132;0;46200;0;52500;7000;20001
9_1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;19;8;1;0;0;0;0;0;0;0;19;8;1;0;0;97,585125;142;8520;68018;0;52500;45000;20001
10_1;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;25;11;1;0;0;0;0;0;0;0;25;11;1;0;0;97,110340;152;18240;95608;0;52500;66500;20001
11_1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;30;7;1;0;0;0;0;0;0;0;30;7;1;0;0;97,479675;162;19440;101088;0;52500;62500;26668
12_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;12;2;0;0;0;0;0;0;0;31;12;2;0;0;97,715721;172;0;132956;0;52500;49000;20001
13_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;32;12;2;0;0;0;0;0;0;0;32;12;2;0;0;97,935010;162;0;127656;0;337500;49000;26668
14_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;25;0;0;0;0;0;0;0;0;39;25;0;0;0;97,445857;152;0;164920;0;52500;25000;20001
15_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;12;0;0;0;0;0;0;0;0;35;12;0;0;0;98,390152;142;0;108630;0;52500;12000;20001
16_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;43;12;0;0;0;0;0;0;0;1;43;12;0;0;1;97,734018;132;0;116820;40392;52500;12000;20001
17_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;50;15;2;0;0;0;0;0;1;3;50;15;2;1;2;94,019097;122;0;136396;283894;105000;52000;20001
0_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;52500;0;13334
1_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;96,990741;162;0;10530;0;52500;1000;13334
2_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;4;0;1;0;0;97,388889;152;0;14288;0;52500;18500;20001
3_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;97,829861;142;0;17750;0;52500;1000;20001
4_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,547980;132;0;15180;0;52500;2000;13334
5_2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;1;0;0;10;5;1;0;0;95,634921;122;0;30500;23180;52500;5000;26668
6_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;6;2;0;0;0;0;0;0;0;14;6;1;0;0;97,021605;112;0;43232;0;52500;43000;20001
7_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;98,358586;122;0;31720;0;52500;4000;20001
8_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;0;0;0;0;0;0;1;14;4;0;0;1;97,216880;132;0;38280;30492;52500;4000;20001
9_2;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;21;5;1;0;0;0;0;0;0;1;21;5;1;0;0;94,493728;142;8520;63758;102240;52500;42000;20001
10_2;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;1;2;23;9;0;1;1;91,817130;152;18240;79800;224352;52500;46000;20001
11_2;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;26;8;0;1;1;0;0;0;0;1;26;8;0;0;0;95,027100;162;19440;101736;116640;52500;453000;26668
12_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;11;0;0;0;0;0;0;0;2;30;11;0;0;1;93,832742;172;0;115240;243724;52500;11000;20001
13_2;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;14;1;0;0;0;0;0;0;2;29;14;1;0;0;94,263627;162;0;121338;233280;337500;32500;26668
14_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;40;16;0;0;0;0;0;0;0;2;40;16;0;0;0;94,444444;152;0;139840;218880;52500;16000;20001
15_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;42;22;0;0;0;0;0;0;0;2;42;22;0;0;0;94,718013;142;0;151940;204480;52500;22000;20001
16_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;49;18;0;0;0;0;0;0;0;2;49;18;0;0;0;95,176941;132;0;144540;190080;52500;18000;20001
17_2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;18;2;0;0;0;0;0;0;2;47;18;2;0;0;95,532986;122;0;138226;175680;105000;55000;20001
0_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;13334
1_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;162;0;8100;0;52500;1000;13334
2_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,194444;152;0;9880;0;52500;1000;20001
3_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;97,743056;142;0;18460;0;52500;2000;20001
4_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,358586;132;0;17160;0;52500;2000;13334
5_3;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;98,214286;122;0;21960;0;52500;3000;26668
6_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;0;0;0;12;5;1;0;0;97,577160;112;0;35168;0;52500;23500;20001
7_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;4;2;0;0;0;0;0;0;0;15;4;2;0;0;97,645202;122;0;45506;0;52500;41000;20001
8_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;9;2;0;0;0;0;0;0;0;16;9;2;0;0;97,393162;132;0;64416;0;52500;46000;20001
9_3;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;21;9;0;0;0;0;0;0;0;0;21;9;0;0;0;97,513441;142;8520;70290;0;52500;27500;20001
10_3;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;0;0;24;9;0;0;0;97,453704;152;18240;82080;0;52500;46000;20001
11_3;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;25;5;0;0;0;0;0;0;0;0;25;5;0;0;0;97,984417;162;19440;76950;0;52500;42000;26668
12_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;16;3;0;0;0;0;0;2;0;27;16;3;2;0;94,181442;172;0;142244;196424;52500;71500;20001
13_3;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;36;17;2;1;0;0;0;0;1;0;36;17;2;0;0;95,560797;162;0;157788;116640;337500;127500;26668
14_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;42;21;0;0;0;0;0;0;1;0;42;21;0;0;0;95,833333;152;0;159600;109440;52500;21000;20001
15_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;41;22;1;0;0;0;0;0;1;0;41;22;1;0;0;96,193182;142;0;154638;102240;52500;40500;20001
16_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;20;1;0;0;0;0;0;1;0;47;20;1;0;0;96,463090;132;0;150348;95040;52500;38500;20001
17_3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;50;14;3;0;0;0;0;0;1;0;50;14;3;0;0;96,784722;122;0;138104;87840;105000;69500;20001
0_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;52500;0;13334
1_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;162;0;8100;0;52500;1000;13334
2_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,750000;152;0;6840;0;52500;0;20001
3_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;3;1;1;0;0;98,281250;142;0;14058;0;52500;19500;20001
4_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;10;2;0;0;0;97,601010;132;0;25080;0;52500;2000;13334
5_4;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;0;0;8;7;0;0;0;97,420635;122;0;31720;0;52500;7000;26668
6_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;0;9;7;0;0;0;97,878086;112;0;30800;0;52500;7000;20001
7_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;6;2;0;0;0;0;0;1;0;12;6;2;1;0;94,690657;122;0;44896;57706;52500;43000;20001
8_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;0;0;0;0;0;1;0;15;6;0;0;0;94,310897;132;0;45540;95040;52500;6000;20001
9_4;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;22;10;2;0;0;0;0;0;1;0;22;10;2;0;0;93,826165;142;8520;84916;102240;52500;65500;20001
10_4;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;22;11;1;0;0;0;0;0;2;0;22;11;1;1;0;92,650463;152;18240;88768;182552;52500;66500;20001
11_4;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;26;15;2;2;0;0;0;0;1;0;26;15;2;1;0;92,703252;162;19440;212868;116640;52500;236000;26668
12_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;11;1;0;0;0;0;0;1;0;30;11;1;0;0;95,791962;172;0;121088;123840;52500;29500;20001
13_4;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;34;15;3;1;0;0;0;0;0;0;34;15;3;0;0;97,541929;162;0;151956;0;337500;144000;26668
14_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;10;3;0;0;0;0;0;0;0;36;10;3;0;0;98,017891;152;0;127984;0;52500;65500;20001
15_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;43;14;1;0;0;0;0;0;0;1;43;14;1;0;1;96,731902;142;0;136178;84348;52500;32500;20001
16_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;48;14;1;0;0;0;0;0;0;1;48;14;1;0;0;96,662861;132;0;136488;95040;52500;32500;20001
17_4;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;24;1;0;0;0;0;1;0;3;47;24;2;0;2;94,965278;122;0;148718;205082;105000;42500;20001
