Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;1;0;0;12;6;1;0;0;95,434028;172;0;51600;38872;157500;6000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;0;0;0;0;0;0;0;10;5;0;0;0;97,638889;162;0;44064;0;52500;23500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;0;0;0;0;0;0;0;5;7;0;0;0;98,133681;152;0;32680;0;52500;7000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0;0;10;3;1;0;0;97,881944;142;0;34648;0;52500;21500;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;11;2;0;0;0;98,220486;132;0;27060;0;52500;2000;26668
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,480903;122;0;21350;0;52500;2000;26668
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;0;0;0;0;19;7;0;0;0;98,155382;112;0;47600;0;52500;7000;13334
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;0;21;7;0;0;0;98,025174;122;0;55510;0;52500;7000;26668
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;10;1;1;0;0;0;0;0;0;14;10;1;1;0;95,772569;132;0;128568;0;52500;102000;20001
9_0;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;22;2;1;0;0;0;0;0;0;0;22;2;1;0;0;96,423611;142;59640;57368;0;157500;150000;33335
10_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;8;2;0;0;0;0;0;0;0;16;8;2;0;0;97,968750;152;0;71136;0;52500;45000;13334
11_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;12;0;0;0;0;0;0;0;0;15;12;0;0;0;97,981771;162;0;75330;0;105000;12000;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;33;1;0;0;0;0;10;4;1;0;33;11;4;1;0;83,570602;172;0;88580;888036;157500;1000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;32;21;0;0;0;0;1;5;1;0;32;12;1;0;0;84,991319;162;0;128304;711990;157500;21000;13334
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;15;5;1;0;0;0;0;0;0;31;14;0;0;0;97,427662;152;0;135128;0;157500;181000;20001
15_0;3;0;0;7;9;0;0;0;0;0;0;0;0;0;0;0;37;16;1;1;0;0;0;0;0;1;37;16;1;1;1;93,498264;142;76680;204338;38056;157500;274500;46669
16_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;31;21;1;2;1;0;0;0;0;0;31;21;1;2;0;93,776042;132;15840;268092;0;105000;558000;26668
17_0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;30;15;1;0;0;0;0;0;0;0;30;15;1;0;0;97,557870;122;7320;95648;0;52500;52000;26668
18_0;3;0;0;10;13;0;0;0;0;0;0;0;0;0;0;0;37;19;1;0;0;0;0;0;0;0;37;19;1;0;0;96,204427;112;87360;108528;0;157500;278000;66670
19_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;36;18;0;0;0;0;0;0;0;0;36;18;0;0;0;98,046875;122;0;109800;0;52500;18000;26668
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;43;21;2;0;0;0;0;0;0;1;43;21;2;0;1;97,480469;132;0;149556;3696;52500;58000;20001
21_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;13;5;0;0;0;0;0;0;1;47;13;5;0;0;95,974392;142;0;161170;102240;105000;105500;20001
22_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;35;9;0;0;0;0;0;0;0;1;35;9;0;0;0;96,907552;152;0;107160;109440;105000;9000;13334
