Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;97,916667;172;0;7740;0;52500;0;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;98,379630;162;0;11340;0;52500;2000;6667
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;4;3;0;0;0;98,148148;152;0;18240;0;52500;3000;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;7;5;0;0;0;97,627315;142;0;29110;0;52500;5000;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;0;0;0;0;0;0;0;11;5;1;0;0;97,231481;132;0;39468;0;52500;23500;26668
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3;0;0;0;0;0;0;0;8;5;3;0;0;97,515432;122;0;39284;0;52500;60500;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;8;1;0;0;0;0;0;0;0;16;8;1;0;0;97,129630;112;0;48608;0;52500;26500;13334
7_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;0;0;0;1;0;16;5;0;1;0;95,590278;122;0;41480;51484;52500;5000;6667
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;9;0;1;0;0;0;0;0;0;13;9;0;0;0;97,937243;132;0;52932;0;52500;82500;26668
9_0;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;22;9;0;0;0;0;0;0;0;1;22;9;0;0;1;95,416667;142;25560;72420;42600;105000;64500;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;1;19;8;0;0;0;95,096801;152;0;67640;109440;52500;8000;20001
11_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;5;1;0;0;0;0;0;0;2;22;5;1;0;1;95,277778;162;0;75168;123120;105000;23500;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;0;6;0;1;2;24;11;0;1;0;79,497863;172;0;79120;911084;157500;5000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;31;18;0;0;0;0;0;0;1;2;31;12;0;0;0;90,367063;162;0;121986;349920;157500;18000;13334
14_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;13;2;1;0;0;0;0;0;2;25;13;2;0;0;93,305556;152;0;110808;218880;105000;123500;20001
15_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;31;17;0;0;0;0;0;0;0;3;31;17;0;0;1;92,259838;142;0;114310;265540;52500;17000;13334
16_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;32;11;0;0;1;0;0;0;0;2;32;11;0;0;0;93,540305;132;23760;99264;190080;105000;401000;26668
17_0;2;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;30;21;2;0;1;0;0;0;0;1;30;21;2;0;0;94,521605;122;51240;120780;87840;105000;522000;40002
18_0;3;0;0;10;14;0;0;0;0;0;0;0;0;0;0;0;34;19;0;0;1;0;0;0;0;0;34;19;0;0;0;95,657895;112;94080;105504;0;157500;612500;66670
19_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;42;14;1;0;0;0;0;0;0;0;42;14;1;0;0;97,814815;122;0;115168;0;52500;32500;26668
20_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;46;13;2;0;0;0;0;0;0;2;46;13;2;0;2;96,197090;132;0;134376;93324;52500;50000;13334
21_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;17;1;1;0;0;0;0;0;2;35;17;1;1;0;93,962542;142;0;202918;204480;105000;109000;20001
22_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;45;19;0;0;0;0;0;0;0;2;45;19;0;0;0;94,977858;152;0;160360;218880;105000;19000;20001
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;46;15;0;0;0;0;5;0;0;3;46;20;0;0;1;92,567708;162;0;160380;533142;157500;15000;13334
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;97,916667;172;0;7740;0;52500;0;6667
1_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;97,800926;162;0;15390;0;52500;1000;6667
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;98,842593;152;0;11400;0;52500;0;6667
