Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;1;7;1;0;0;20;14;1;0;0;88,440972;172;0;73100;499488;157500;7000;6667
1_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;17;2;0;0;0;0;0;0;0;27;10;1;0;0;97,500000;162;0;116640;0;157500;54000;13334
2_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;7;1;0;0;0;0;0;0;1;30;7;1;0;1;96,729167;152;0;94848;48336;105000;25500;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;11;1;0;0;0;0;0;0;2;29;11;1;0;1;94,746528;142;0;97838;117008;52500;29500;20001
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;11;2;0;1;0;0;0;0;1;26;11;2;0;0;94,965278;132;0;96360;95040;52500;382500;26668
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;1;0;0;0;0;0;24;9;0;0;0;97,944444;122;0;72224;0;52500;343500;26668
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;12;1;0;1;0;0;0;0;0;28;12;1;0;1;92,409722;112;0;244832;0;52500;365000;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;0;0;0;0;0;0;0;0;26;9;0;0;0;98,020833;122;0;69540;0;52500;9000;13334
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;12;1;0;0;0;0;0;0;0;27;12;1;0;0;97,642361;132;0;89628;0;52500;30500;26668
9_0;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;30;6;0;0;0;0;6;1;0;0;30;12;1;0;0;85,409722;142;93720;80940;422024;157500;209500;46669
