Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;0;0;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;162;0;8100;0;52500;1000;6667
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,194444;152;0;9880;0;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;6;0;1;0;0;97,847222;142;0;17608;0;52500;18500;13334
4_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;8;1;0;0;0;98,232323;132;0;18480;0;52500;1000;6667
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;0;0;0;1;0;0;6;3;2;0;0;94,841270;122;0;22448;40992;52500;21500;13334
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;2;2;0;1;0;0;0;0;0;15;2;1;0;1;86,010802;112;0;203056;0;52500;373500;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;3;2;0;0;0;0;0;0;0;10;3;2;0;0;98,244949;122;0;33916;0;52500;40000;13334
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;5;0;0;0;0;0;0;0;0;14;5;0;0;0;98,344017;132;0;40920;0;52500;5000;20001
9_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;22;8;0;0;0;0;0;0;0;1;22;8;0;0;1;95,694444;142;8520;69580;58362;52500;26500;13334
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;8;0;0;0;0;0;0;0;1;16;8;0;0;0;95,679012;152;0;60800;109440;52500;8000;20001
11_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;10;0;0;0;0;0;0;1;1;26;10;0;1;0;95,548780;162;0;95580;117288;157500;10000;13334
12_0;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;3;0;1;0;0;9;0;1;1;28;12;0;1;0;85,478723;172;0;173720;671488;442500;76500;20001
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;23;0;0;0;0;5;2;1;1;27;19;2;0;0;83,107966;162;0;132354;911898;157500;23000;13334
14_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;16;2;1;0;0;0;0;1;1;39;11;0;1;0;93,269774;152;0;215688;218880;105000;126500;20001
15_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;20;2;1;0;0;0;0;0;1;36;20;2;0;0;96,308923;142;0;146828;102240;105000;130500;20001
16_0;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;43;19;1;0;0;0;0;0;0;1;43;19;1;0;0;96,158676;132;31680;139788;95040;105000;111500;33335
