Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;43;16;0;0;0;0;0;0;1;0;43;16;0;1;0;97,222222;106.296;0;102575;67497.9;105000;16000;20001
1_0;2;0;0;3;0;0;0;0;46;20;2;0;0;0;0;0;1;0;46;20;2;0;0;96,739583;105.205;0;121827;75747.5;105000;57000;20001
2_0;2;1;0;4;0;0;0;0;54;14;0;2;0;0;0;0;0;1;54;14;0;1;1;96,531250;84.6637;0;139356;29801.6;390000;161000;26668
3_0;2;0;0;3;0;0;0;0;61;26;2;0;0;0;0;0;0;1;61;26;2;0;0;96,140625;83.6099;0;125666;60199.2;105000;63000;20001
4_0;2;0;0;3;0;0;0;0;50;27;0;0;0;0;0;0;0;4;50;27;0;0;3;94,864583;93.2017;0;120230;155460;105000;27000;20001
5_0;2;1;0;4;0;0;0;0;47;21;1;0;0;0;0;0;0;4;47;21;1;0;0;92,987847;102.297;0;118563;294616;390000;39500;26668
0_1;2;0;0;3;0;0;0;0;49;13;0;0;0;0;0;0;0;0;49;13;0;0;0;98,272569;106.296;0;105764;0;105000;13000;20001
1_1;2;0;0;3;0;0;0;0;50;22;3;0;0;0;0;0;1;0;50;22;3;1;0;97,125000;105.205;0;135925;38294.6;105000;77500;20001
2_1;2;1;0;4;0;0;0;0;56;18;3;2;0;0;0;0;0;0;56;18;3;1;0;96,774306;84.6637;0;157305;0;390000;220500;26668
3_1;2;0;0;3;0;0;0;0;44;17;1;0;0;0;0;0;0;0;44;17;1;0;0;98,204861;83.6099;0;86452.7;0;105000;35500;20001
4_1;2;0;0;3;0;0;0;0;45;27;1;0;0;0;0;0;0;1;45;27;1;0;1;97,560764;93.2017;0;116409;14539.5;105000;45500;20001
5_1;2;1;0;4;0;0;0;0;48;20;2;0;0;0;0;0;0;1;48;20;2;0;0;96,687500;102.297;0;121529;73654.1;390000;57000;26668
0_2;2;0;0;3;0;0;0;0;56;18;4;0;0;0;0;0;0;0;56;18;4;0;0;97,680556;106.296;0;142011;0;105000;92000;20001
1_2;2;0;0;3;0;0;0;0;52;22;1;0;0;0;0;0;0;0;52;22;1;0;0;97,822917;105.205;0;131927;0;105000;40500;20001
2_2;2;1;0;4;0;0;0;0;53;20;2;0;0;0;0;0;0;1;53;20;2;0;1;97,013889;84.6637;0;106930;38691.3;390000;57000;26668
3_2;2;0;0;3;0;0;0;0;48;15;2;0;0;0;0;0;1;2;48;15;2;1;1;95,951389;83.6099;0;90967.6;104011;105000;52000;20001
4_2;2;0;0;3;0;0;0;0;55;21;1;0;0;0;0;0;1;2;55;21;1;0;0;94,029514;93.2017;0;119205;201316;105000;39500;20001
5_2;2;1;0;4;0;0;0;0;52;28;0;1;0;0;0;0;0;3;52;28;0;0;1;94,366319;102.297;0;139738;192217;390000;101500;26668
0_3;2;0;0;3;0;0;0;0;47;22;4;0;0;0;0;0;0;0;47;22;4;0;0;97,776042;106.296;0;136165;0;105000;96000;20001
1_3;2;0;0;3;0;0;0;0;55;18;2;0;0;0;0;0;1;0;55;18;2;1;0;96,774306;105.205;0;131822;63649;105000;55000;20001
2_3;2;1;0;4;0;0;0;0;46;17;3;2;0;0;0;0;0;0;46;17;3;1;0;97,069444;84.6637;0;142912;0;390000;219500;26668
3_3;2;0;0;3;0;0;0;0;49;25;2;0;0;0;0;0;0;2;49;25;2;0;2;97,034722;83.6099;0;108944;33862;105000;62000;20001
4_3;2;0;0;3;0;0;0;0;45;20;2;0;0;0;0;0;1;2;45;20;2;1;0;95,092014;93.2017;0;106529;156952;105000;57000;20001
5_3;2;1;0;4;0;0;0;0;52;23;1;2;0;0;0;0;0;3;52;23;1;1;1;94,289931;102.297;0;187204;149252;390000;188500;26668
0_4;2;0;0;3;0;0;0;0;51;18;0;0;0;0;0;0;0;0;51;18;0;0;0;98,046875;106.296;0;119583;0;105000;18000;20001
1_4;2;0;0;3;0;0;0;0;50;16;0;0;0;0;0;0;0;0;50;16;0;0;0;98,142361;105.205;0;112569;0;105000;16000;20001
2_4;2;1;0;4;0;0;0;0;44;18;4;0;0;0;0;0;0;1;44;18;4;0;1;97,687500;84.6637;0;97871.2;14900.8;390000;92000;26668
3_4;2;0;0;3;0;0;0;0;54;19;1;0;0;0;0;0;0;1;54;19;1;0;0;96,625000;83.6099;0;102339;60199.2;105000;37500;20001
4_4;2;0;0;3;0;0;0;0;46;25;0;0;0;0;0;0;0;3;46;25;0;0;2;95,480903;93.2017;0;110910;131694;105000;25000;20001
5_4;2;1;0;4;0;0;0;0;46;21;1;0;0;0;0;0;0;4;46;21;1;0;1;93,206597;102.297;0;117028;283261;390000;39500;26668
