Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;97,743056;172;0;11180;0;52500;1000;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;98,263889;162;0;16200;0;52500;2000;13334
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;9;5;0;0;0;97,280093;152;0;35720;0;52500;5000;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;0;0;0;0;0;1;0;7;3;1;1;0;94,027778;142;0;28258;69438;52500;21500;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;1;0;0;0;0;0;0;13;4;0;0;0;97,909722;132;0;39732;0;52500;77500;26668
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;4;1;0;0;0;0;0;0;0;13;4;1;0;0;98,211806;122;0;37698;0;52500;22500;26668
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;5;0;0;0;0;0;0;0;0;18;5;0;0;0;98,164683;112;0;41440;0;52500;5000;13334
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;23;6;1;0;0;0;0;0;0;0;23;6;1;0;0;97,834201;122;0;60878;0;52500;24500;26668
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;11;0;0;0;0;0;0;0;1;22;11;0;0;1;96,006944;132;0;72600;64020;52500;11000;13334
9_0;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;27;8;0;0;0;0;0;0;0;1;27;8;0;0;0;94,913194;142;25560;80230;102240;105000;63500;20001
10_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;15;3;0;0;0;0;0;0;1;27;15;3;0;0;95,179924;152;0;122664;109440;105000;70500;20001
11_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;11;1;1;0;0;0;0;0;1;29;11;1;1;0;94,389468;162;0;197478;116640;157500;103000;20001
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;34;1;0;0;0;1;11;3;0;1;35;12;3;0;0;81,503739;172;0;91160;1.09994e+06;157500;1000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42;17;0;0;0;0;5;4;0;1;41;11;1;0;0;80,999504;162;0;143532;1.09755e+06;157500;17000;13334
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;37;20;4;0;0;0;0;0;1;1;37;15;0;1;0;94,942130;152;0;149416;182704;157500;94000;20001
15_0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;45;13;0;1;0;0;0;0;0;1;45;13;0;0;0;96,221788;142;8520;136462;102240;105000;105000;20001
16_0;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;45;20;2;0;0;0;0;0;0;1;45;20;2;0;0;95,704657;132;31680;150876;95040;105000;131000;33335
17_0;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;53;14;3;1;0;0;0;0;0;1;53;14;3;1;0;95,369792;122;29280;208254;87840;105000;217000;33335
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,958333;172;0;5160;0;52500;0;6667
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;98,697917;162;0;12150;0;52500;0;13334
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;97,916667;152;0;27360;0;52500;3000;6667
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;1;9;4;0;0;1;96,380208;142;0;30530;28684;52500;4000;13334
4_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;1;0;0;0;0;0;12;3;0;0;0;97,972222;132;0;38544;0;52500;337500;26668
5_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;4;0;0;1;0;0;0;0;0;15;4;0;0;1;89,600694;122;0;219234;0;52500;338500;26668
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;8;1;0;0;0;0;0;0;0;17;8;1;0;0;97,772817;112;0;50288;0;52500;26500;13334
7_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;8;0;0;0;0;0;0;0;0;22;8;0;0;0;97,873264;122;0;59780;0;52500;8000;26668
8_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;2;0;0;0;0;0;0;0;19;7;2;0;0;98,097994;132;0;65076;0;52500;44000;13334
9_1;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;97,569444;142;25560;73840;0;105000;63500;20001
10_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;11;0;0;0;0;0;0;0;0;28;11;0;0;0;97,979798;152;0;97280;0;105000;11000;20001
11_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;33;13;1;0;0;0;0;0;0;0;33;13;1;0;0;97,717014;162;0;127818;0;157500;31500;20001
12_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;4;0;0;0;0;9;2;1;1;27;13;2;1;1;83,680556;172;0;83420;967500;157500;4000;6667
13_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;37;19;0;0;0;0;2;3;1;1;37;12;1;0;0;86,344246;162;0;137862;754110;157500;19000;13334
14_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;20;4;0;0;0;0;0;1;2;39;18;1;0;1;93,747685;152;0;161272;249280;157500;94000;20001
15_1;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;43;15;1;1;0;0;0;0;0;2;43;15;1;0;0;94,563802;142;8520;142710;204480;105000;125500;20001
16_1;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;40;11;1;0;0;0;0;0;0;2;40;11;1;0;0;94,824346;132;31680;112728;190080;105000;103500;33335
17_1;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;52;16;0;0;0;0;0;0;0;2;52;16;0;0;0;95,173611;122;29280;134200;175680;105000;90000;33335
0_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,958333;172;0;5160;0;52500;0;6667
1_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,611111;162;0;12960;0;52500;1000;13334
2_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,668981;152;0;17480;0;52500;2000;6667
3_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;4;2;0;0;0;0;0;0;0;12;4;2;0;0;97,152778;142;0;46576;0;52500;41000;13334
4_2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;6;1;0;0;0;0;0;0;0;8;6;1;0;0;98,097222;132;0;36168;0;52500;24500;26668
5_2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,292824;122;0;35990;0;52500;5000;26668
6_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;0;0;0;0;0;0;0;20;4;0;0;0;98,115079;112;0;42560;0;52500;4000;13334
7_2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;0;0;0;0;0;0;0;18;4;0;0;0;98,480903;122;0;42700;0;52500;4000;26668
8_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;9;1;0;0;0;0;0;0;0;24;9;1;0;0;97,785494;132;0;75768;0;52500;27500;13334
9_2;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;23;8;1;0;0;0;0;0;0;0;23;8;1;0;0;97,503472;142;25560;76538;0;105000;82000;20001
10_2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;12;1;1;0;0;0;0;0;1;29;12;1;1;1;96,000631;152;0;188328;4256;105000;104000;20001
11_2;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;3;0;1;0;0;0;0;0;1;31;3;0;1;0;94,864005;162;0;170910;116640;157500;76500;20001
12_2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0;0;9;1;0;1;29;12;1;0;0;86,225962;172;0;85140;801864;157500;3000;6667
13_2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;29;22;0;0;0;0;7;5;0;1;29;20;4;0;0;77,777778;162;0;137862;1.31366e+06;157500;22000;13334
14_2;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;37;21;5;0;0;0;0;0;0;1;37;14;0;0;0;96,016204;152;0;152152;109440;157500;113500;20001
15_2;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;41;17;1;0;0;0;0;0;0;2;41;17;1;0;1;95,544705;142;8520;140438;142568;105000;54000;20001
16_2;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;44;17;2;0;0;0;0;0;0;3;44;17;2;0;1;93,888889;132;31680;140976;222288;105000;128000;33335
17_2;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;52;17;0;0;0;0;0;0;0;4;52;17;0;0;1;93,454861;122;29280;136640;294020;105000;91000;33335
0_3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,263889;172;0;8600;0;52500;1000;6667
1_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,611111;162;0;12960;0;52500;1000;13334
