Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;16;0;0;0;0;0;0;0;0;21;16;0;0;0;97,795139;172;0;109220;0;52500;16000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;0;0;0;0;0;0;0;18;8;0;0;0;98,506944;162;0;69660;0;52500;8000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;15;2;0;0;0;0;0;0;0;23;15;2;0;0;97,524306;152;0;108376;0;52500;52000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;0;0;0;0;0;1;0;25;8;2;1;0;97,041667;142;0;85626;35358;52500;45000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;14;3;1;0;0;0;0;0;0;23;14;3;0;0;97,385417;132;0;99396;0;52500;143000;20001
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;7;1;1;2;0;0;0;0;0;25;7;1;1;2;85,892361;122;0;495686;0;52500;768000;26668
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;9;4;0;0;0;0;0;0;0;26;9;4;0;0;97,548611;112;0;79072;0;52500;83000;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;0;0;0;0;0;0;0;0;26;9;0;0;0;98,020833;122;0;69540;0;52500;9000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;11;0;0;0;0;0;0;0;0;23;11;0;0;0;98,038194;132;0;74580;0;52500;11000;13334
9_0;2;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;26;9;1;0;0;0;0;0;0;0;26;9;1;0;0;96,861111;142;42600;85768;0;105000;120000;33335
10_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;23;10;1;0;1;0;0;0;0;0;23;10;1;0;1;92,809028;152;0;314792;0;52500;363000;26668
11_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;24;4;2;0;0;0;0;0;0;0;24;4;2;0;0;97,611111;162;29160;82296;0;52500;96500;20001
12_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;24;14;0;0;1;0;0;0;0;1;24;14;0;0;2;90,288194;172;41280;366704;73100;105000;422500;26668
13_0;2;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;25;5;1;0;1;0;0;0;0;0;25;5;1;0;0;97,010417;162;48600;90882;0;105000;450500;26668
14_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;27;10;1;0;0;0;0;0;0;0;27;10;1;0;0;95,906250;152;82080;97128;0;157500;195000;40002
15_0;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;28;14;1;0;0;0;0;0;0;0;28;14;1;0;0;94,534722;142;119280;104228;0;157500;291500;60003
16_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;10;1;0;0;0;0;0;0;0;31;10;1;0;0;97,572917;132;0;92268;0;52500;28500;26668
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;1;0;0;0;0;0;19;8;0;0;1;93,274306;122;0;236314;0;52500;342500;26668
18_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;11;0;1;0;0;0;0;0;0;29;11;0;1;0;95,885417;112;0;132720;0;52500;84500;26668
19_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;15;2;0;1;0;0;0;0;0;26;15;2;0;1;92,187500;122;0;274500;0;52500;386500;26668
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;0;0;0;0;0;0;0;0;24;11;0;0;0;97,986111;132;0;76560;0;52500;11000;20001
21_0;3;0;0;9;0;12;0;0;0;0;0;0;0;0;0;0;21;9;4;0;0;0;0;0;0;0;21;9;4;0;0;95,309028;142;102240;89602;0;157500;305000;60003
22_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;16;2;1;0;0;0;0;0;0;25;16;2;1;0;95,510417;152;0;196536;0;52500;126500;20001
23_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;14;1;0;0;0;0;0;0;0;26;14;1;0;0;97,555556;162;0;114048;0;52500;32500;20001
24_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;0;27;9;1;0;0;97,850694;172;0;106468;0;52500;27500;13334
25_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;8;2;0;0;0;0;0;0;0;24;8;2;0;0;97,958333;162;0;95256;0;52500;45000;13334
26_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;3;1;0;0;0;0;0;0;28;13;3;1;0;95,444444;152;0;199424;0;52500;142000;20001
27_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;11;2;0;0;0;0;0;0;0;26;11;2;0;0;97,645833;142;0;96276;0;52500;48000;13334
