Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;97,569444;162;0;5670;0;52500;1000;6667
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;152;0;4560;0;52500;0;6667
3_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;142;0;6390;0;52500;0;6667
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,842593;132;0;6600;0;52500;1000;13334
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;4;0;0;0;97,309028;122;0;18910;0;0;4000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;0;6;3;1;0;0;97,444444;112;0;20608;0;52500;21500;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;7;3;0;0;0;98,090278;122;0;20130;0;52500;3000;13334
8_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;0;11;5;0;0;0;97,546296;132;0;34980;0;52500;5000;6667
9_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;12;4;1;0;0;0;0;0;0;0;12;4;1;0;0;97,268519;142;8520;41748;0;52500;41000;13334
10_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;13;1;0;0;0;98,578042;152;0;32680;0;52500;1000;13334
11_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;0;0;0;0;15;2;0;0;0;98,466435;162;0;42930;0;105000;2000;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;18;7;0;0;0;0;3;0;0;0;18;10;0;0;0;90,446429;172;0;70520;260752;157500;7000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;0;0;24;6;0;0;0;97,812500;162;0;81648;0;157500;9000;13334
14_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;0;0;0;0;0;0;1;28;12;0;0;1;96,033951;152;0;100320;55936;105000;12000;13334
15_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;8;1;0;0;0;0;0;0;1;23;8;1;0;0;95,628472;142;0;76538;102240;52500;26500;13334
16_0;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;28;17;0;0;1;0;0;0;0;0;28;17;0;0;0;96,753086;132;31680;107184;0;105000;425500;33335
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;20;1;0;0;0;0;0;0;0;31;20;1;0;0;97,502778;122;0;109678;0;52500;38500;26668
18_0;2;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0;36;13;0;0;1;0;0;0;0;0;36;13;0;0;1;93,000000;112;53760;256704;0;105000;495500;46669
19_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37;14;1;0;0;0;0;0;0;0;37;14;1;0;0;97,988426;122;0;106018;0;52500;32500;26668
20_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;42;18;1;1;0;0;0;0;0;0;42;18;1;1;0;96,423077;132;15840;205128;0;105000;147000;20001
21_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;22;0;0;0;0;0;0;0;1;41;22;0;0;1;97,277778;142;0;149810;45014;105000;22000;13334
22_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;53;22;1;0;0;0;0;0;0;1;53;22;1;0;0;96,316667;152;0;192888;109440;157500;40500;20001
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;44;17;0;0;0;0;2;5;0;2;44;19;5;0;1;92,937500;162;0;162000;497016;157500;17000;13334
0_1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;89,444444;172;0;0;13072;0;0;6667
1_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;98,402778;162;0;3726;0;52500;1000;6667
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;99,305556;152;0;2280;0;52500;0;6667
3_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;97,743056;142;0;9230;0;52500;1000;6667
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,611111;132;0;7920;0;52500;0;13334
5_1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;97,743056;122;0;15860;0;0;2000;13334
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,402778;112;0;12880;0;52500;2000;13334
7_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;5;1;0;0;0;0;0;0;0;6;5;1;0;0;97,407407;122;0;27328;0;52500;23500;13334
8_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,379630;132;0;23100;0;52500;2000;6667
9_1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,878086;142;8520;30530;0;52500;22500;13334
10_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;7;0;0;0;0;0;0;0;1;11;7;0;0;1;97,870370;152;0;46360;2584;52500;7000;13334
11_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;3;1;0;0;0;0;0;0;1;15;3;1;0;0;93,987269;162;0;51678;116640;105000;21500;13334
12_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;17;8;0;0;0;0;1;0;0;1;17;9;0;0;0;90,952381;172;0;71380;242348;157500;8000;6667
13_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;0;1;23;11;1;0;0;94,240451;162;0;98334;116640;157500;30500;13334
14_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;8;3;0;0;0;0;0;0;1;25;8;3;0;0;94,764660;152;0;96824;109440;105000;63500;13334
15_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;12;0;0;0;0;0;0;0;1;22;12;0;0;0;95,520833;142;0;80940;102240;52500;12000;13334
16_1;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;30;18;0;1;1;0;0;0;0;1;30;18;0;1;1;88,296296;132;31680;373824;95040;105000;500000;33335
17_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37;10;2;0;2;0;0;0;0;0;37;10;2;0;1;93,425000;122;0;288774;0;52500;716000;26668
18_1;2;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0;35;12;1;0;0;0;0;0;0;0;35;12;1;0;0;96,770202;112;53760;89488;0;105000;178500;46669
19_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;41;16;1;0;0;0;0;0;0;0;41;16;1;0;0;97,756944;122;0;118218;0;52500;34500;26668
20_1;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;34;12;1;0;0;0;0;0;0;0;34;12;1;0;0;98,068376;132;15840;103488;0;105000;67500;20001
21_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;47;15;1;0;0;0;0;0;0;0;47;15;1;0;0;97,938492;142;0;147538;0;105000;33500;13334
22_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;49;22;1;0;0;0;0;0;0;0;49;22;1;0;0;97,761111;152;0;183768;0;157500;40500;20001
23_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;52;11;1;0;0;0;0;0;0;0;52;11;1;0;0;98,204861;162;0;167508;0;157500;29500;13334
0_2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;162;0;0;0;52500;0;6667
2_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;99,074074;152;0;3040;0;52500;1000;6667
3_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;142;0;6390;0;52500;0;6667
4_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;4;0;0;0;96,412037;132;0;20460;0;52500;4000;13334
5_2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;0;6;3;1;0;0;96,805556;122;0;22448;0;0;21500;13334
6_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;8;1;0;0;0;98,055556;112;0;15680;0;52500;1000;13334
