Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;4;0;0;6;0;0;0;0;134;54;4;0;0;0;0;0;0;0;134;54;4;0;0;97,759722;106.296;0;342910;0;210000;128000;40002
1_0;4;0;0;6;0;0;0;0;140;48;2;0;0;0;0;0;0;0;140;48;2;0;0;97,827778;105.205;0;329081;0;210000;85000;40002
2_0;4;0;0;6;0;0;0;0;141;51;6;0;0;0;0;0;0;2;141;51;6;0;2;97,088194;84.6637;0;282692;72302.8;210000;162000;40002
3_0;4;1;0;7;0;0;0;0;126;41;4;1;0;0;0;0;0;2;126;41;4;1;0;96,655556;83.6099;0;282267;120398;495000;188500;46669
4_0;4;0;0;6;0;0;0;0;130;52;4;0;0;0;0;0;0;5;130;52;4;0;3;96,203472;93.2017;0;291348;218185;210000;126000;40002
5_0;4;1;0;6;0;0;0;0;129;45;7;1;0;0;0;0;0;5;129;45;7;1;0;94,997917;102.297;0;368577;368271;495000;248000;40002
6_0;6;1;0;6;0;0;0;0;127;40;6;0;0;0;0;0;0;10;127;40;6;0;5;93,825694;124.668;0;362661;745767;600000;151000;40002
7_0;6;1;0;6;0;0;0;0;131;43;3;3;0;0;0;0;0;10;131;43;3;3;0;91,863194;128.355;0;579780;924156;600000;319000;40002
8_0;7;1;0;6;0;0;0;0;133;59;2;2;0;0;0;5;0;14;133;59;7;2;4;89,295139;169.512;0;729410;1.88362e+06;652500;243000;40002
9_0;7;1;0;7;0;0;0;0;120;50;11;0;0;0;0;4;0;15;120;50;10;0;1;88,382639;155.618;0;492064;2.11127e+06;652500;253500;46669
10_0;6;1;0;7;0;0;0;0;123;39;9;1;0;0;0;0;0;15;123;39;5;1;0;90,129861;149.164;0;509096;1.61097e+06;600000;279000;46669
11_0;5;0;0;6;0;0;0;0;123;47;5;0;0;0;0;0;0;17;123;47;5;0;2;89,599306;125.69;0;371414;1.51105e+06;262500;139500;40002
0_1;4;0;0;6;0;0;0;0;123;49;4;0;0;0;0;0;0;0;123;49;4;0;0;97,943750;106.296;0;314742;0;210000;123000;40002
1_1;4;0;0;6;0;0;0;0;113;59;6;0;0;0;0;0;0;0;113;59;6;0;0;97,861806;105.205;0;323926;0;210000;170000;40002
2_1;4;0;0;6;0;0;0;0;121;49;4;0;0;0;0;0;1;1;121;49;4;1;1;97,602083;84.6637;0;248149;44194.4;210000;123000;40002
3_1;4;1;0;7;0;0;0;0;128;62;3;2;0;0;0;0;0;2;128;62;3;1;1;96,611806;83.6099;0;319223;88710.1;495000;264500;46669
4_1;4;0;0;6;0;0;0;0;131;50;8;0;0;0;0;0;1;3;131;50;8;1;1;96,269444;93.2017;0;301694;198986;210000;198000;40002
5_1;4;1;0;6;0;0;0;0;133;49;1;2;0;0;0;0;1;4;133;49;1;2;1;95,075694;102.297;0;416248;309143;495000;214500;40002
6_1;6;1;0;6;0;0;0;0;126;44;6;1;0;0;0;0;0;5;126;44;6;0;1;95,868056;124.668;0;374005;367772;600000;228500;40002
7_1;6;1;0;6;0;0;0;0;122;51;4;3;0;0;0;0;0;6;122;51;4;3;1;93,871528;128.355;0;587352;545380;600000;345500;40002
