Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;13;2;0;0;0;0;0;0;0;0;13;2;0;0;0;97,960069;106.296;0;24979.5;0;52500;2000;6667
1_0;1;0;0;1;0;0;0;0;6;4;1;0;0;0;0;0;0;0;6;4;1;0;0;98,229167;105.205;0;21461.8;0;52500;22500;6667
2_0;1;0;0;2;0;0;0;0;19;12;2;0;0;0;0;0;0;0;19;12;2;0;0;97,426215;84.6637;0;50205.5;0;52500;49000;13334
3_0;1;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;0;20;7;0;0;0;98,090278;83.6099;0;36788.4;0;52500;7000;6667
4_0;1;0;0;1;0;0;0;0;20;8;1;0;0;0;0;0;0;0;20;8;1;0;0;97,855903;93.2017;0;46041.6;0;52500;26500;6667
5_0;1;0;0;2;0;0;0;0;35;8;2;0;0;0;0;0;0;1;35;8;2;0;1;97,500000;102.297;0;77029.9;11355;52500;45000;13334
6_0;2;0;0;3;0;0;0;0;31;11;2;0;0;0;0;0;0;1;31;11;2;0;0;95,737847;124.668;0;93875.3;89761.3;105000;48000;20001
7_0;3;0;0;3;2;0;0;0;35;16;0;0;0;0;0;0;0;1;35;16;0;0;0;95,124421;128.355;15402.6;108460;92415.6;157500;53000;20001
8_0;2;1;0;4;0;0;0;0;23;17;1;0;0;0;0;0;0;1;23;17;1;0;0;95,836227;169.512;0;121879;122049;390000;35500;26668
9_0;2;0;0;3;0;0;0;0;33;10;2;0;0;0;0;0;0;1;33;10;2;0;0;95,708912;155.618;0;118737;112045;105000;47000;20001
10_0;3;0;0;3;2;0;0;0;31;10;3;0;0;0;0;0;0;1;31;10;3;0;0;95,350116;149.164;17899.6;114409;107398;157500;102500;20001
11_0;2;0;0;3;2;0;0;0;37;12;1;0;0;0;0;0;0;1;37;12;1;0;0;95,170718;125.69;15082.8;104197;90496.8;105000;67500;20001
12_0;5;0;0;8;12;0;0;0;32;12;5;0;0;0;0;0;0;1;32;12;5;0;0;93,258102;106.296;76533;94603.3;76533;262500;326500;53336
13_0;2;0;0;3;3;0;0;0;34;14;0;0;0;0;0;0;0;1;34;14;0;0;0;95,109954;105.205;18936.9;83111.9;75747.5;105000;69500;20001
14_0;4;0;0;8;12;0;0;0;42;15;1;0;0;0;0;0;0;1;42;15;1;0;0;94,782986;84.6637;60957.8;81615.8;60957.8;210000;255500;53336
15_0;4;0;0;7;10;0;0;0;40;18;1;0;0;0;0;0;1;1;40;18;1;1;0;94,448785;83.6099;50166;83108.3;80600;210000;221500;46669
16_0;2;0;0;4;4;0;0;0;44;10;2;0;0;0;0;0;1;1;44;10;2;0;0;94,340278;93.2017;22368.4;86491.1;134210;105000;121000;26668
17_0;2;1;0;4;1;0;0;0;44;16;3;1;0;0;0;0;0;2;44;16;3;0;1;95,958333;102.297;6137.84;113345;118665;390000;163500;26668
0_1;1;0;0;1;0;0;0;0;11;3;2;0;0;0;0;0;0;0;11;3;2;0;0;97,456597;106.296;0;31144.7;0;52500;40000;6667
1_1;1;0;0;1;0;0;0;0;10;7;0;0;0;0;0;0;0;0;10;7;0;0;0;97,482639;105.205;0;30509.4;0;52500;7000;6667
2_1;1;0;0;2;0;0;0;0;20;5;0;0;0;0;0;0;0;0;20;5;0;0;0;98,263889;84.6637;0;33865.5;0;52500;5000;13334
3_1;1;0;0;1;0;0;0;0;15;7;2;0;0;0;0;0;0;0;15;7;2;0;0;98,120660;83.6099;0;36203.1;0;52500;44000;6667
4_1;1;0;0;1;0;0;0;0;18;10;1;0;0;0;0;0;0;0;18;10;1;0;0;97,812500;93.2017;0;46973.6;0;52500;28500;6667
