Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;7;4;0;0;0;98,023504;172;0;31820;0;52500;4000;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;8;0;0;0;0;0;0;0;0;15;8;0;0;0;97,943376;162;0;62370;0;52500;8000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;6;1;0;0;0;0;0;0;0;21;6;1;0;0;98,329772;152;0;71288;0;52500;24500;20001
3_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;38;12;0;0;0;0;0;0;0;0;38;12;0;0;0;97,836538;142;0;115020;0;105000;12000;26668
4_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;43;11;0;0;0;0;0;0;0;1;43;11;0;0;1;97,728632;132;0;114180;26136;105000;11000;20001
5_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;44;17;1;0;0;0;0;0;1;1;44;17;1;1;0;96,390693;122;0;126148;117974;105000;35500;26668
6_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;47;16;1;0;0;0;0;0;1;2;47;16;1;0;1;95,039683;112;0;118608;189392;105000;34500;26668
7_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;44;20;1;0;0;0;0;0;1;2;44;20;1;0;0;94,130592;122;0;133468;263520;105000;38500;26668
8_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;48;20;3;0;0;0;0;0;2;2;48;20;3;1;0;92,725469;132;0;161304;371052;105000;75500;26668
9_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;53;14;4;2;0;0;0;0;0;2;53;14;4;0;0;94,475108;142;51120;179346;204480;442500;346000;60003
10_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;49;19;0;0;0;0;1;1;1;2;49;20;1;1;0;93,145743;152;63840;169480;344280;157500;148500;53336
11_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;49;14;4;1;0;0;0;1;0;2;49;13;4;0;0;93,353175;162;58320;188730;349920;442500;272500;60003
12_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;47;20;4;0;0;0;0;0;0;3;47;20;3;0;1;94,761236;172;51600;211388;314416;157500;186500;53336
13_0;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;62;30;1;1;0;0;0;0;0;5;62;30;1;1;2;92,809406;162;38880;339228;468990;442500;196000;53336
14_0;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;66;26;1;2;0;0;0;0;0;5;66;26;1;2;0;92,079646;152;36480;395808;547200;442500;265500;53336
15_0;3;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;66;26;3;0;0;0;0;0;0;5;66;26;3;0;0;94,008889;142;25560;228904;511200;157500;137000;46669
16_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;88;33;0;0;0;0;0;0;1;6;88;33;0;1;1;93,714517;132;15840;261360;541200;157500;70000;46669
17_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;88;34;3;0;0;0;0;1;1;6;88;34;4;0;0;92,793519;122;14640;256444;678442;157500;126500;46669
0_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;4;1;0;0;0;0;0;0;0;12;4;1;0;0;96,858974;172;0;50568;0;52500;22500;20001
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;6;1;0;0;0;0;0;0;0;20;6;1;0;0;97,574786;162;0;73548;0;52500;24500;20001
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;10;0;0;0;0;0;0;1;0;23;10;0;1;0;97,599715;152;0;82840;19608;52500;10000;20001
3_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;34;7;2;0;0;0;0;0;1;1;34;7;2;0;1;94,460470;142;0;101956;192552;105000;44000;26668
