Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;28;11;0;0;0;0;0;0;0;0;28;11;0;0;0;97,777778;106.296;0;68029.3;0;52500;11000;20001
1_0;1;0;0;3;0;0;0;0;26;10;3;0;0;0;0;0;0;0;26;10;3;0;0;97,597222;105.205;0;72801.8;0;52500;65500;20001
2_0;2;0;0;3;0;0;0;0;47;21;1;0;0;0;0;0;0;0;47;21;1;0;0;97,987847;84.6637;0;98125.2;0;105000;39500;20001
3_0;2;0;0;3;0;0;0;0;48;22;3;0;0;0;0;0;0;0;48;22;3;0;0;97,809028;83.6099;0;105516;0;105000;77500;20001
4_0;2;0;0;3;0;0;0;0;58;14;2;0;0;0;0;0;0;0;58;14;2;0;0;97,885417;93.2017;0;113520;0;105000;51000;20001
5_0;3;0;0;3;0;0;0;0;77;32;1;0;0;0;0;0;0;0;77;32;1;0;0;97,883102;102.297;0;187102;0;157500;50500;20001
6_0;6;0;0;8;8;0;0;0;78;25;2;0;0;0;0;0;0;0;78;25;2;0;0;97,432870;124.668;59840.9;216674;0;315000;210000;53336
7_0;4;1;0;5;1;0;0;0;76;28;4;0;0;0;0;0;0;1;76;28;4;0;1;97,175926;128.355;7701.3;235660;69825.1;495000;120500;33335
8_0;5;0;0;4;0;0;0;0;79;39;2;0;0;0;0;0;1;1;79;39;2;1;0;96,690972;169.512;0;344618;140017;262500;76000;26668
9_0;5;0;0;4;0;0;0;0;73;31;3;0;0;0;0;0;1;1;73;31;3;0;0;96,230324;155.618;0;282758;224090;262500;86500;26668
10_0;4;1;0;4;0;0;0;0;73;27;3;1;0;0;0;0;0;2;73;27;3;0;1;96,412037;149.164;0;262976;199432;495000;156000;26668
11_0;7;1;0;11;14;0;0;0;78;32;6;0;0;0;0;0;0;5;78;32;6;0;3;94,009259;125.69;105580;253140;291852;652500;402000;73337
12_0;7;0;0;13;19;0;0;0;70;29;6;0;0;0;0;0;1;6;70;29;6;1;1;91,427083;106.296;121177;194947;471209;367500;491500;86671
13_0;7;0;0;15;22;0;0;0;67;29;4;0;0;0;0;0;1;7;67;29;4;0;1;90,137731;105.205;138870;181058;576523;367500;510000;100005
14_0;7;1;0;15;18;0;0;0;92;36;3;1;0;0;0;0;0;7;92;36;3;0;0;92,753472;84.6637;91436.7;188631;426705;652500;498000;100005
15_0;7;1;0;15;19;0;0;0;100;33;0;0;0;0;0;0;0;8;100;33;0;0;1;92,376736;83.6099;95315.3;180597;458350;652500;384500;100005
16_0;7;1;0;15;19;0;0;0;98;47;1;0;0;0;0;0;0;10;98;47;1;0;2;91,371528;93.2017;106250;227785;592390;652500;417000;100005
17_0;5;0;0;7;0;0;0;0;136;50;2;0;0;0;0;0;0;11;136;50;2;0;1;92,474306;102.297;0;317940;790656;262500;87000;46669
0_1;1;0;0;3;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;98,194444;106.296;0;55273.8;0;52500;8000;20001
1_1;1;0;0;3;0;0;0;0;18;17;1;0;0;0;0;0;0;0;18;17;1;0;0;97,763889;105.205;0;67752;0;52500;35500;20001
2_1;2;0;0;3;0;0;0;0;53;21;3;0;0;0;0;0;0;0;53;21;3;0;0;97,713542;84.6637;0;111502;0;105000;76500;20001
3_1;2;0;0;3;0;0;0;0;43;16;3;0;0;0;0;0;0;0;43;16;3;0;0;98,147569;83.6099;0;89211.8;0;105000;71500;20001
4_1;2;0;0;3;0;0;0;0;53;21;0;0;0;0;0;0;0;1;53;21;0;0;1;97,829861;93.2017;0;113240;3262.06;105000;21000;20001
5_1;3;0;0;3;0;0;0;0;84;28;1;0;0;0;0;0;0;1;84;28;1;0;0;97,020833;102.297;0;189659;73654.1;157500;46500;20001
6_1;6;0;0;8;8;0;0;0;66;34;2;0;0;0;0;0;2;1;66;34;2;2;0;95,857639;124.668;59840.9;216674;169674;315000;219000;53336
7_1;4;1;0;5;1;0;0;0;73;26;5;2;0;0;0;0;0;1;73;26;5;0;0;96,971065;128.355;7701.3;235788;92415.6;495000;284000;33335
