Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;21;8;0;0;0;0;0;0;0;0;21;8;0;0;0;97,800926;142;0;67450;0;52500;8000;6667
1_0;1;0;0;1;0;0;0;0;20;3;0;0;0;0;0;0;0;0;20;3;0;0;0;98,333333;142;0;51120;0;52500;3000;6667
2_0;1;0;0;2;0;0;0;0;42;14;2;0;0;0;0;0;0;0;42;14;2;0;0;97,736111;142;0;138876;0;52500;51000;13334
3_0;1;0;0;2;0;0;0;0;34;15;2;0;0;0;0;0;0;0;34;15;2;0;0;97,967593;142;0;124676;0;52500;52000;13334
4_0;1;0;0;2;0;0;0;0;37;17;2;0;0;0;0;0;0;0;37;17;2;0;0;97,770833;142;0;136746;0;52500;54000;13334
5_0;1;1;0;2;0;0;0;0;56;14;2;1;0;0;0;0;0;0;56;14;2;1;0;97,348765;142;0;243956;0;337500;124500;13334
6_0;2;0;0;3;0;0;0;0;56;19;0;0;0;0;0;0;0;0;56;19;0;0;0;98,117284;142;0;173240;0;105000;19000;20001
7_0;2;0;0;4;0;0;0;0;59;21;2;0;0;0;0;0;0;0;59;21;2;0;0;97,881173;142;0;194966;0;105000;58000;26668
8_0;2;1;0;4;0;0;0;0;55;22;1;0;0;0;0;0;0;0;55;22;1;0;0;97,995370;142;0;184458;0;390000;40500;26668
9_0;2;0;0;3;0;0;0;0;56;19;0;0;0;0;0;0;0;0;56;19;0;0;0;98,117284;142;0;173240;0;105000;19000;20001
10_0;2;0;0;3;0;0;0;0;59;21;3;0;0;0;0;0;1;0;59;21;3;1;0;97,578704;142;0;199794;23004;105000;76500;20001
11_0;2;1;0;4;0;0;0;0;66;32;0;1;0;0;0;0;0;1;66;32;0;0;1;96,856481;142;0;235152;54102;390000;105500;26668
12_0;2;0;0;3;0;0;0;0;55;27;2;0;0;0;0;0;0;4;55;27;2;0;3;95,813272;142;0;203486;181760;105000;64000;20001
13_0;2;1;0;4;0;0;0;0;58;19;1;0;0;0;0;0;0;4;58;19;1;0;0;93,574074;142;0;182328;408960;390000;37500;26668
14_0;2;0;0;3;0;0;0;0;75;27;3;0;0;0;0;0;0;5;75;27;3;0;1;94,311343;142;0;250914;447016;105000;82500;20001
15_0;2;1;0;4;0;0;0;0;72;32;0;0;0;0;0;0;0;5;72;32;0;0;0;93,842593;142;0;244240;511200;390000;32000;26668
16_0;2;0;0;4;0;0;0;0;85;23;3;0;0;0;0;0;0;10;85;23;3;0;5;91,228009;142;0;260854;815364;105000;78500;26668
17_0;2;0;0;4;0;0;0;0;95;36;6;0;0;0;0;1;0;11;95;36;7;0;1;90,415741;142;0;333558;1.13628e+06;105000;147000;26668
0_1;1;0;0;1;0;0;0;0;19;3;0;0;0;0;0;0;1;0;19;3;0;1;0;97,625000;142;0;48990;23856;52500;3000;6667
1_1;1;0;0;1;0;0;0;0;19;6;0;0;0;0;0;0;1;0;19;6;0;0;0;94,791667;142;0;57510;102240;52500;6000;6667
2_1;1;0;0;2;0;0;0;0;36;16;0;0;0;0;0;0;2;0;36;16;0;1;0;95,081019;142;0;122120;179630;52500;16000;13334
3_1;1;0;0;2;0;0;0;0;38;11;1;0;0;0;0;0;2;0;38;11;1;0;0;94,759259;142;0;117008;204480;52500;29500;13334
4_1;1;0;0;2;0;0;0;0;30;14;1;0;0;0;0;0;2;0;30;14;1;0;0;94,898148;142;0;108488;204480;52500;32500;13334
5_1;1;1;0;2;0;0;0;0;53;8;1;3;0;0;5;0;0;2;53;13;1;1;2;93,228395;142;0;223082;400014;337500;247000;13334
