Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;98,125000;172;0;23220;0;52500;3000;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;14;3;0;0;0;98,125000;162;0;43740;0;52500;3000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;7;0;0;0;0;0;0;0;0;17;7;0;0;0;98,171296;152;0;60040;0;52500;7000;13334
3_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;14;3;0;0;0;0;0;0;0;26;14;3;0;0;97,319444;142;0;109624;0;105000;69500;20001
4_0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;14;2;0;0;0;0;0;0;0;31;14;2;0;0;97,741667;132;0;107316;0;390000;51000;20001
5_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;13;1;0;0;0;0;0;0;0;39;13;1;0;0;97,965278;122;0;107238;0;105000;31500;20001
6_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;33;18;0;0;0;0;0;0;0;0;33;18;0;0;0;98,020833;112;0;95760;0;105000;18000;20001
7_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;16;1;0;0;0;0;0;0;0;36;16;1;0;0;97,930556;122;0;109068;0;105000;34500;20001
8_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;11;1;0;0;0;0;0;0;0;31;11;1;0;0;98,335648;132;0;94908;0;105000;29500;20001
9_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;35;17;2;0;0;0;0;0;0;1;35;17;2;0;1;95,824074;142;51120;132486;72562;157500;165000;53336
10_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;34;19;1;0;0;0;0;0;0;1;34;19;1;0;0;95,361111;152;54720;140448;109440;157500;148500;53336
11_0;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;40;15;0;1;0;0;0;0;0;2;40;15;0;1;1;94,567130;162;9720;231660;138834;390000;107000;26668
12_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;45;12;0;0;0;0;0;0;0;2;45;12;0;0;0;95,327381;172;0;157380;247680;105000;12000;26668
