Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;5;2;1;0;0;97,043651;172;0;25628;0;52500;20500;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;9;5;0;0;0;97,668651;162;0;38070;0;52500;5000;6667
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;8;2;0;0;0;0;0;0;0;11;8;2;0;0;97,400794;152;0;59736;0;52500;45000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;5;1;0;0;0;0;0;0;0;18;5;1;0;0;97,996032;142;0;57368;0;52500;23500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;12;0;0;0;0;0;0;0;0;20;12;0;0;0;97,857143;132;0;71280;0;52500;12000;13334
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;1;0;0;0;0;0;0;0;28;13;1;0;0;97,638889;122;0;87108;0;52500;31500;20001
6_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;9;1;0;0;0;0;0;0;0;25;9;1;0;0;98,097545;112;0;65968;0;105000;27500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;8;0;0;0;0;0;0;0;1;28;8;0;0;1;96,705426;122;0;70760;53680;52500;8000;20001
8_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;1;27;9;1;0;0;95,675065;132;0;81708;95040;105000;27500;20001
9_0;3;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;24;16;2;0;0;0;0;0;0;1;24;16;2;0;0;94,483204;142;34080;106216;102240;157500;127000;40002
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;9;4;0;0;0;0;0;0;1;23;9;4;0;0;95,539406;152;0;100472;109440;52500;83000;20001
11_0;2;1;0;5;2;0;0;0;0;0;0;0;0;0;0;0;29;3;2;0;0;0;0;0;0;2;29;3;2;0;1;93,462532;162;19440;91206;217242;390000;77000;33335
12_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;35;19;0;0;0;0;0;0;0;2;35;19;0;0;0;93,353175;172;0;155660;247680;105000;19000;26668
13_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;8;0;0;0;0;0;0;0;2;27;8;0;0;0;94,936869;162;0;91530;233280;105000;8000;20001
14_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;15;2;0;0;0;0;0;0;2;36;15;2;0;0;94,653916;152;0;138016;218880;105000;52000;20001
15_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;47;18;6;0;0;0;0;0;0;2;47;18;6;0;0;93,762438;142;42600;180198;204480;157500;221500;53336
16_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;42;14;3;0;0;0;0;0;0;2;42;14;3;0;0;94,764079;132;39600;133584;190080;157500;162000;53336
17_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;53;15;3;0;0;0;0;0;0;3;53;15;3;0;1;94,626736;122;36600;146034;194956;157500;163000;53336
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,412698;172;0;13760;0;52500;1000;6667
1_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;97,916667;162;0;34020;0;52500;3000;6667
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;4;2;0;0;0;0;0;0;0;15;4;2;0;0;97,533069;152;0;56696;0;52500;41000;13334
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;7;2;0;0;0;0;0;0;0;16;7;2;0;0;97,777778;142;0;63616;0;52500;44000;13334
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;7;0;0;0;0;0;0;0;1;23;7;0;0;1;97,706349;132;0;64020;12276;52500;7000;13334
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;12;2;0;0;0;0;0;0;1;29;12;2;0;0;95,162037;122;0;90646;87840;52500;49000;20001
6_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;8;1;0;0;0;0;0;0;2;21;8;1;0;1;95,852713;112;0;57008;86800;105000;26500;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;12;1;0;0;0;0;0;0;2;25;12;1;0;0;93,252584;122;0;79178;175680;52500;30500;20001
8_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;15;3;0;0;0;0;0;0;2;25;15;3;0;0;92,839147;132;0;102564;190080;105000;70500;20001
9_1;3;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;25;10;1;0;0;0;0;0;0;4;25;10;1;0;2;90,058140;142;34080;86478;316518;157500;102500;40002
10_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;5;0;0;0;0;0;0;0;4;17;5;0;0;0;89,551034;152;0;53960;437760;52500;5000;20001
11_1;2;1;0;5;2;0;0;0;0;0;0;0;0;0;0;0;31;9;0;1;0;0;0;0;0;5;31;9;0;1;1;85,691214;162;19440;190350;507870;390000;119500;33335
12_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;36;13;5;0;0;0;0;0;0;5;36;13;5;0;0;87,046485;172;0;166840;619200;105000;105500;26668
13_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;18;0;0;0;0;0;0;0;6;27;18;0;0;1;88,224747;162;0;123930;631476;105000;18000;20001
14_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;38;19;1;0;0;0;0;0;0;9;38;19;1;0;3;85,264117;152;0;149568;834176;105000;37500;20001
