Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;18;5;0;0;0;0;0;0;0;0;18;5;0;0;0;98,287037;142;0;52540;0;52500;5000;20001
1_0;1;0;0;3;0;0;0;0;17;11;1;0;0;0;0;0;0;0;17;11;1;0;0;97,643519;142;0;72278;0;52500;29500;20001
2_0;1;0;0;3;0;0;0;0;43;15;1;0;0;0;0;0;0;1;43;15;1;0;1;96,238426;142;0;139018;91732;52500;33500;20001
3_0;1;0;0;3;0;0;0;0;34;18;1;0;0;0;0;0;0;1;34;18;1;0;0;96,240741;142;0;128368;102240;52500;36500;20001
4_0;1;0;0;3;0;0;0;0;30;21;2;0;0;0;0;0;0;1;30;21;2;0;0;96,162037;142;0;133196;102240;52500;58000;20001
5_0;2;0;0;3;0;0;0;0;48;17;4;0;0;0;0;0;0;1;48;17;4;0;0;97,043210;142;0;169832;102240;105000;91000;20001
6_0;2;1;0;4;0;0;0;0;65;23;2;0;0;0;0;0;0;2;65;23;2;0;1;95,927469;142;0;213426;161312;390000;60000;26668
7_0;2;1;0;4;0;0;0;0;60;23;0;0;0;0;0;0;0;2;60;23;0;0;0;95,679012;142;0;193120;204480;390000;23000;26668
8_0;2;0;0;3;0;0;0;0;52;27;5;0;0;0;0;0;0;2;52;27;5;0;0;95,478395;142;0;211580;204480;105000;119500;20001
9_0;2;1;0;4;0;0;0;0;61;14;3;1;0;0;0;0;0;2;61;14;3;1;0;94,958333;142;0;259434;204480;390000;143000;26668
10_0;2;0;0;3;0;0;0;0;54;20;1;0;0;0;0;0;0;2;54;20;1;0;0;95,858025;142;0;176648;204480;105000;38500;20001
11_0;2;0;0;3;0;0;0;0;64;24;1;0;0;0;0;0;0;3;64;24;1;0;1;94,981481;142;0;209308;252476;105000;42500;20001
12_0;2;1;0;4;0;0;0;0;50;23;1;0;0;0;0;0;0;4;50;23;1;0;1;93,919753;142;0;176648;382832;390000;41500;26668
13_0;2;0;0;3;0;0;0;0;59;25;4;0;0;0;0;0;0;4;59;25;4;0;0;93,208333;142;0;215982;408960;105000;99000;20001
14_0;2;1;0;4;0;0;0;0;75;33;2;0;0;0;0;0;0;6;75;33;2;0;2;93,976852;142;0;263126;475842;390000;70000;26668
15_0;2;0;0;4;0;0;0;0;81;39;3;0;0;0;0;0;0;7;81;39;3;0;1;92,137731;142;0;297774;666832;105000;94500;26668
16_0;2;0;0;4;0;0;0;0;73;35;3;0;0;0;0;0;0;8;73;35;3;0;1;91,651620;142;0;269374;754872;105000;90500;26668
17_0;3;0;0;5;0;0;0;0;87;40;4;0;0;0;0;0;0;10;87;40;4;0;2;91,683333;142;0;318222;957222;157500;114000;33335
0_1;1;0;0;3;0;0;0;0;17;9;0;0;0;0;0;0;0;0;17;9;0;0;0;97,986111;142;0;61770;0;52500;9000;20001
1_1;1;0;0;3;0;0;0;0;19;5;0;0;0;0;0;0;0;0;19;5;0;0;0;98,217593;142;0;54670;0;52500;5000;20001
2_1;1;0;0;3;0;0;0;0;35;15;3;0;0;0;0;0;0;0;35;15;3;0;0;97,854167;142;0;131634;0;52500;70500;20001
