Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;5;1;0;0;0;0;0;0;0;8;5;1;0;0;97,924837;172;0;43688;0;52500;23500;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;7;0;0;0;0;0;0;0;0;17;7;0;0;0;98,386438;162;0;63990;0;52500;7000;20001
2_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;0;0;0;0;0;0;0;31;11;0;0;0;98,134532;152;0;104120;0;105000;11000;20001
3_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;41;16;2;0;0;0;0;0;1;0;41;16;2;1;0;97,479575;142;0;142426;32802;105000;53000;26668
4_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;53;22;0;0;0;0;0;0;1;0;53;22;0;0;0;96,805556;132;0;163020;95040;105000;22000;26668
5_0;2;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;59;23;2;2;0;0;0;0;0;0;59;23;2;1;0;97,318900;122;0;240218;0;390000;207000;33335
6_0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;64;24;3;0;0;0;0;0;0;1;64;24;3;0;1;97,247843;112;0;172704;55888;105000;79500;33335
7_0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;60;27;1;0;0;0;0;0;1;1;60;27;1;1;0;96,475189;122;0;179828;139080;157500;45500;46669
8_0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;63;20;3;0;0;0;0;0;1;1;63;20;3;0;0;96,107066;132;0;191004;190080;105000;75500;33335
9_0;3;1;0;9;5;0;0;0;0;0;0;0;0;0;0;0;59;25;2;1;0;0;2;0;0;2;59;27;2;0;1;95,171251;142;42600;210018;255884;442500;228000;60003
10_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;67;28;0;0;0;0;1;3;1;3;67;27;3;1;1;91,541262;152;45600;236056;671840;157500;120500;53336
