Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;13;9;0;0;0;0;0;0;0;0;13;9;0;0;0;97,829861;142;0;53250;0;52500;9000;20001
1_0;1;0;0;3;0;0;0;0;8;4;0;0;0;0;0;0;0;0;8;4;0;0;0;98,842593;142;0;28400;0;52500;4000;20001
2_0;1;0;0;5;0;0;0;0;28;12;0;0;0;0;0;0;0;0;28;12;0;0;0;98,090278;142;0;93720;0;52500;12000;33335
3_0;1;0;0;5;0;0;0;0;29;10;1;0;0;0;0;0;0;0;29;10;1;0;0;98,064236;142;0;94998;0;52500;28500;33335
4_0;1;0;0;5;0;0;0;0;24;13;1;0;0;0;0;0;0;0;24;13;1;0;0;98,107639;142;0;92868;0;52500;31500;33335
5_0;1;0;0;5;0;0;0;0;48;17;2;0;0;0;0;0;0;0;48;17;2;0;0;97,824074;142;0;160176;0;52500;54000;33335
6_0;2;0;0;3;0;0;0;0;46;24;3;0;0;0;0;0;0;1;46;24;3;0;1;96,807485;142;0;180624;54386;105000;79500;20001
7_0;2;1;0;4;0;0;0;0;44;17;1;1;0;0;0;0;0;2;44;17;1;1;1;95,179398;142;0;222088;132770;390000;109000;26668
8_0;2;0;0;3;0;0;0;0;44;17;3;0;0;0;0;0;0;2;44;17;3;0;0;95,096451;142;0;156484;204480;105000;72500;20001
9_0;1;1;0;4;0;0;0;0;35;19;2;0;0;0;0;0;0;3;35;19;2;0;1;94,897762;142;0;138166;237424;337500;56000;26668
10_0;1;1;0;4;0;0;0;0;39;21;2;2;0;0;0;2;0;4;39;21;4;2;1;88,883102;142;0;302886;515460;337500;205000;26668
11_0;1;0;0;3;0;0;0;0;45;19;2;0;0;0;0;0;0;5;45;19;0;0;1;91,637731;142;0;156058;459512;52500;56000;20001
12_0;1;0;0;5;0;0;0;0;53;14;3;0;1;0;0;0;0;6;53;14;3;0;2;87,089120;142;0;378998;571408;52500;404000;33335
13_0;1;0;0;5;0;0;0;0;38;19;1;1;1;0;0;0;0;5;38;19;1;1;0;90,034722;142;0;222372;511200;52500;445500;33335
14_0;2;0;0;4;0;0;0;0;56;23;3;1;0;0;0;0;0;5;56;23;3;1;0;91,996528;142;0;274344;511200;105000;152000;26668
15_0;2;0;0;4;0;0;0;0;63;22;2;1;0;0;0;0;0;5;63;22;2;1;0;91,922743;142;0;281586;511200;105000;132500;26668
16_0;2;0;0;3;0;0;0;0;57;29;3;0;0;0;0;0;0;6;57;29;3;0;1;91,546586;142;0;218254;611452;105000;84500;20001
17_0;2;0;0;4;0;0;0;0;73;30;2;0;0;0;0;0;0;6;73;30;2;0;0;92,959491;142;0;250346;613440;105000;67000;26668
0_1;1;0;0;3;0;0;0;0;9;10;0;0;0;0;0;0;0;0;9;10;0;0;0;98,061343;142;0;47570;0;52500;10000;20001
1_1;1;0;0;3;0;0;0;0;14;2;1;0;0;0;0;0;0;0;14;2;1;0;0;98,356481;142;0;40328;0;52500;20500;20001
2_1;1;0;0;5;0;0;0;0;24;9;1;0;1;0;0;0;0;0;24;9;1;0;1;94,021991;142;0;293372;0;52500;362000;33335
3_1;1;0;0;5;0;0;0;0;34;11;1;0;0;0;0;0;0;0;34;11;1;0;0;97,789352;142;0;108488;0;52500;29500;33335
4_1;1;0;0;5;0;0;0;0;35;14;2;1;1;0;0;0;0;0;35;14;2;1;1;91,623264;142;0;411090;0;52500;459000;33335
5_1;1;0;0;5;0;0;0;0;40;13;3;0;1;0;0;0;0;0;40;13;3;0;1;95,266204;142;0;348468;0;52500;403000;33335
6_1;2;0;0;3;0;0;0;0;53;20;3;0;0;0;0;0;2;0;53;20;3;2;0;97,337963;142;0;184174;11786;105000;75500;20001
7_1;2;1;0;4;0;0;0;0;41;25;0;2;0;0;0;0;0;0;41;25;0;0;0;97,748843;142;0;165714;0;390000;172000;26668
8_1;2;0;0;3;0;0;0;0;45;19;0;0;0;0;0;0;0;1;45;19;0;0;1;97,295525;142;0;149810;49274;105000;19000;20001
9_1;1;1;0;4;0;0;0;0;45;23;1;2;0;0;0;0;0;2;45;23;1;2;1;93,649691;142;0;316518;150946;337500;188500;26668
10_1;1;1;0;4;0;0;0;0;47;21;1;0;0;0;0;0;0;2;47;21;1;0;0;94,986497;142;0;164578;204480;337500;39500;26668
11_1;1;0;0;3;0;0;0;0;39;24;1;0;0;0;0;2;0;4;39;24;3;0;2;93,844522;142;0;156058;297064;52500;42500;20001
12_1;1;0;0;5;0;0;0;0;45;14;4;0;1;0;0;0;0;4;45;14;2;0;1;89,508102;142;0;363378;408960;52500;422500;33335
13_1;1;0;0;5;0;0;0;0;38;17;1;0;1;0;0;0;0;4;38;17;1;0;1;89,745370;142;0;345912;408960;52500;370000;33335
14_1;2;0;0;4;0;0;0;0;62;23;0;0;0;0;0;0;0;7;62;23;0;0;3;93,362269;142;0;197380;454116;105000;23000;26668
15_1;2;0;0;4;0;0;0;0;61;22;4;0;0;0;0;0;0;7;61;22;4;0;0;90,551215;142;0;211722;715680;105000;96000;26668
16_1;2;0;0;3;0;0;0;0;65;25;1;0;0;0;0;0;0;9;65;25;1;0;2;89,001736;142;0;214278;865206;105000;43500;20001
17_1;2;0;0;4;0;0;0;0;87;29;1;1;0;0;0;0;0;9;87;29;1;1;0;89,665509;142;0;347758;920160;105000;121000;26668
0_2;1;0;0;3;0;0;0;0;10;5;1;0;0;0;0;0;0;0;10;5;1;0;0;98,356481;142;0;40328;0;52500;23500;20001
1_2;1;0;0;3;0;0;0;0;19;8;2;0;0;0;0;0;0;0;19;8;2;0;0;97,031250;142;0;72846;0;52500;45000;20001
2_2;1;0;0;5;0;0;0;0;27;12;1;0;0;0;0;0;0;0;27;12;1;0;0;98,035301;142;0;96418;0;52500;30500;33335
3_2;1;0;0;5;0;0;0;0;31;15;1;0;1;0;0;0;0;0;31;15;1;0;1;93,370949;142;0;325322;0;52500;368000;33335
4_2;1;0;0;5;0;0;0;0;26;15;3;0;0;0;0;0;0;0;26;15;3;0;0;97,708333;142;0;112464;0;52500;70500;33335
5_2;1;0;0;5;0;0;0;0;43;18;2;0;1;0;0;0;0;0;43;18;2;0;1;95,052083;142;0;364230;0;52500;389500;33335
6_2;2;0;0;3;0;0;0;0;50;15;3;0;0;0;0;0;1;1;50;15;3;1;1;95,935571;142;0;163584;135610;105000;70500;20001
7_2;2;1;0;4;0;0;0;0;46;10;6;2;0;0;0;0;0;1;46;10;6;1;0;95,428241;142;0;234300;102240;390000;268000;26668
8_2;2;0;0;3;0;0;0;0;45;19;1;0;0;0;0;0;1;1;45;19;1;1;0;96,452546;142;0;154638;106500;105000;37500;20001
9_2;1;1;0;4;0;0;0;0;45;16;2;1;0;0;0;0;0;1;45;16;2;0;0;96,510417;142;0;154638;102240;337500;126500;26668
10_2;1;1;0;4;0;0;0;0;44;8;2;2;0;0;0;0;0;2;44;8;2;2;1;93,570602;142;0;276616;196670;337500;192000;26668
11_2;1;0;0;3;0;0;0;0;42;20;2;0;0;0;0;0;0;3;42;20;2;0;1;94,724151;142;0;155916;232454;52500;57000;20001
12_2;1;0;0;5;0;0;0;0;42;14;0;0;1;0;0;0;0;3;42;14;0;0;1;91,199846;142;0;341084;306720;52500;348500;33335
13_2;1;0;0;5;0;0;0;0;44;9;2;0;1;0;0;0;0;2;44;9;2;0;0;95,370370;142;0;136320;204480;52500;380500;33335
14_2;2;0;0;4;0;0;0;0;53;22;2;1;0;0;0;0;0;2;53;22;2;1;0;95,264757;142;0;260286;204480;105000;132500;26668
15_2;2;0;0;4;0;0;0;0;62;28;5;0;0;0;0;0;0;2;62;28;5;0;0;95,515046;142;0;235720;204480;105000;120500;26668
16_2;2;0;0;3;0;0;0;0;63;11;4;0;0;0;0;0;0;2;63;11;4;0;0;96,034433;142;0;184742;204480;105000;85000;20001
17_2;2;0;0;4;0;0;0;0;82;29;2;0;0;0;0;0;0;3;82;29;2;0;1;95,690972;142;0;266676;261990;105000;66000;26668
0_3;1;0;0;3;0;0;0;0;12;8;1;0;0;0;0;0;0;0;12;8;1;0;0;97,835648;142;0;53108;0;52500;26500;20001
1_3;1;0;0;3;0;0;0;0;15;9;0;0;0;0;0;0;0;0;15;9;0;0;0;97,656250;142;0;57510;0;52500;9000;20001
2_3;1;0;0;5;0;0;0;0;34;11;3;0;0;0;0;0;0;0;34;11;3;0;0;97,592593;142;0;118144;0;52500;66500;33335
3_3;1;0;0;5;0;0;0;0;29;8;0;0;0;0;0;0;0;0;29;8;0;0;0;98,278356;142;0;84490;0;52500;8000;33335
4_3;1;0;0;5;0;0;0;0;35;7;2;0;0;0;0;0;0;0;35;7;2;0;0;97,879051;142;0;104086;0;52500;44000;33335
5_3;1;0;0;5;0;0;0;0;42;18;1;1;0;0;0;0;0;0;42;18;1;1;0;97,002315;142;0;220668;0;52500;110000;33335
6_3;2;0;0;3;0;0;0;0;42;18;3;0;0;0;0;0;1;0;42;18;3;1;0;96,610725;142;0;155064;94430;105000;73500;20001
7_3;2;1;0;4;0;0;0;0;49;24;5;2;0;0;0;0;0;0;49;24;5;1;0;96,255787;142;0;275622;0;390000;263500;26668
8_3;2;0;0;3;0;0;0;0;46;29;1;0;0;0;0;0;0;0;46;29;1;0;0;97,484568;142;0;185168;0;105000;47500;20001
9_3;1;1;0;4;0;0;0;0;38;21;1;0;0;0;0;0;0;1;38;21;1;0;1;97,961034;142;0;145408;4686;337500;39500;26668
10_3;1;1;0;4;0;0;0;0;44;20;0;0;0;0;0;0;0;2;44;20;0;0;1;95,582562;142;0;150520;174660;337500;20000;26668
11_3;1;0;0;3;0;0;0;0;48;24;0;0;0;0;0;0;1;4;48;24;0;1;2;92,735340;142;0;170400;364372;52500;24000;20001
12_3;1;0;0;5;0;0;0;0;40;21;0;1;1;0;0;0;0;3;40;21;0;0;0;93,715278;142;0;155916;306720;52500;429000;33335
13_3;1;0;0;5;0;0;0;0;44;22;3;0;1;6;0;0;0;2;50;22;3;0;0;90,707948;142;0;178068;505946;52500;412000;33335
14_3;2;0;0;4;0;0;0;0;64;21;1;0;0;0;0;0;0;2;58;21;1;0;0;95,975116;142;0;190564;204480;105000;39500;26668
15_3;2;0;0;4;0;0;0;0;57;25;2;1;0;0;0;0;0;5;57;25;2;1;3;93,666088;142;0;277326;344350;105000;135500;26668
16_3;2;0;0;3;0;0;0;0;55;23;2;0;0;0;0;0;0;5;55;23;2;0;0;92,834201;142;0;192126;511200;105000;60000;20001
17_3;2;0;0;4;0;0;0;0;86;29;5;0;0;0;0;0;0;5;86;29;5;0;0;93,472222;142;0;289680;511200;105000;121500;26668
0_4;1;0;0;3;0;0;0;0;16;5;0;0;0;0;0;0;0;0;16;5;0;0;0;98,032407;142;0;48280;0;52500;5000;20001
1_4;1;0;0;3;0;0;0;0;16;10;1;0;0;0;0;0;0;0;16;10;1;0;0;97,256944;142;0;67308;0;52500;28500;20001
2_4;1;0;0;5;0;0;0;0;31;8;0;0;0;0;0;0;0;0;31;8;0;0;0;98,191551;142;0;88750;0;52500;8000;33335
3_4;1;0;0;5;0;0;0;0;29;13;0;0;0;0;0;0;0;0;29;13;0;0;0;97,989005;142;0;98690;0;52500;13000;33335
4_4;1;0;0;5;0;0;0;0;27;16;2;0;1;0;0;0;0;0;27;16;2;0;1;93,388310;142;0;324470;0;52500;387500;33335
5_4;1;0;0;5;0;0;0;0;47;19;1;0;0;0;0;0;0;0;47;19;1;0;0;97,841435;142;0;158898;0;52500;37500;33335
