Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;0;0;0;0;0;0;0;10;5;1;0;0;97,679739;172;0;48848;0;52500;23500;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;0;0;0;0;0;0;0;0;24;11;0;0;0;97,630719;162;0;93960;0;52500;11000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;12;0;0;0;0;0;0;0;0;27;12;0;0;0;98,243464;152;0;98040;0;52500;12000;20001
3_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;37;14;0;0;0;0;0;0;0;0;37;14;0;0;0;98,294526;142;0;118570;0;105000;14000;26668
4_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;52;26;3;0;0;0;0;0;0;1;52;26;3;0;1;97,419935;132;0;185064;23364;105000;81500;26668
5_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;60;17;1;0;0;0;0;0;0;3;60;17;1;0;2;96,101580;122;0;155428;193858;105000;35500;26668
6_0;3;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;68;23;1;0;0;0;0;0;0;4;68;23;1;0;1;94,897519;112;0;169568;254240;442500;41500;40002
7_0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;65;23;3;0;0;0;0;0;0;5;65;23;3;0;1;93,807983;122;0;187514;372710;105000;78500;33335
8_0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;72;25;2;0;0;0;0;0;0;7;72;25;2;0;2;91,419903;132;0;217536;622380;157500;62000;33335
9_0;3;1;0;9;5;0;0;0;0;0;0;0;0;0;0;0;68;23;1;0;0;0;0;2;0;7;68;23;3;0;0;89,719525;142;42600;214988;825020;442500;134000;60003
10_0;3;1;0;8;5;0;0;0;0;0;0;0;0;0;0;0;69;27;0;0;0;0;11;2;0;8;69;38;0;0;1;82,862729;152;45600;239400;1.64677e+06;442500;119500;53336
11_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;70;27;0;0;0;0;3;3;0;8;70;19;1;0;0;84,754585;162;48600;242028;1.54094e+06;157500;119500;53336
12_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;80;30;0;0;0;0;1;4;0;8;80;28;1;0;0;87,166200;172;41280;305472;1.54456e+06;157500;104000;53336
13_0;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;80;31;0;1;0;1;2;6;0;9;81;32;2;1;1;85,769547;162;38880;380700;1.8212e+06;442500;178500;53336
14_0;3;1;0;8;5;0;0;0;0;0;0;0;0;0;0;0;81;22;0;0;0;0;9;9;1;10;80;29;3;1;1;83,097866;152;45600;249736;2.49782e+06;442500;114500;53336
15_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;105;2;0;0;0;0;45;12;1;10;105;38;3;0;0;69,583333;142;51120;229330;4.91292e+06;157500;113000;53336
16_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;117;0;0;1;0;1;91;19;1;12;118;46;7;1;2;47,097753;132;47520;301620;8.85179e+06;442500;184500;60003
17_0;3;0;0;9;11;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;113;138;28;1;13;129;47;9;0;1;-4,720833;122;80520;31110;1.82857e+07;157500;203500;60003
0_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;98,202614;172;0;37840;0;52500;5000;20001
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;9;0;0;0;0;0;0;0;0;19;9;0;0;0;98,100490;162;0;75330;0;52500;9000;20001
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;0;0;0;0;0;0;0;31;11;0;0;0;98,134532;152;0;104120;0;52500;11000;20001
3_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;48;19;1;0;0;0;0;0;1;0;48;19;1;1;0;97,334559;142;0;161028;24282;105000;37500;26668
4_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;50;15;0;0;0;0;0;0;1;0;50;15;0;0;0;97,107843;132;0;138600;95040;105000;15000;26668
5_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;59;20;2;0;0;0;0;0;3;0;59;20;2;2;0;96,176471;122;0;165066;177510;105000;57000;26668
