Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;13;4;0;0;0;0;0;0;0;0;13;4;0;0;0;98,181217;142;0;39050;0;52500;4000;6667
1_0;1;0;0;1;0;0;0;0;17;8;0;0;0;0;0;0;0;0;17;8;0;0;0;97,255291;142;0;58930;0;52500;8000;6667
2_0;1;0;0;2;0;0;0;0;32;7;0;0;0;0;0;0;0;0;32;7;0;0;0;97,949735;142;0;88040;0;52500;7000;13334
3_0;1;0;0;1;0;0;0;0;25;9;3;0;0;0;0;0;0;0;25;9;3;0;0;97,827381;142;0;93294;0;52500;64500;6667
4_0;1;0;0;1;0;0;0;0;26;10;0;0;0;0;0;0;0;0;26;10;0;0;0;98,048942;142;0;83780;0;52500;10000;6667
5_0;1;0;0;3;0;0;0;0;44;10;3;1;0;0;0;0;0;0;44;10;3;1;0;96,710758;142;0;211864;0;52500;139000;20001
6_0;1;0;0;3;1;0;0;0;47;14;2;0;0;0;0;0;0;0;47;14;2;0;0;97,546296;142;8520;149526;0;52500;69500;20001
7_0;3;0;0;8;11;0;0;0;40;10;2;0;1;0;0;0;0;0;40;10;2;0;1;93,342152;142;93720;335120;0;157500;585000;53336
8_0;3;0;0;8;10;0;0;0;56;19;2;1;1;0;0;0;0;0;56;19;2;1;1;93,535053;142;85200;470020;0;157500;649000;53336
9_0;3;0;0;8;8;0;0;0;57;21;1;0;0;0;0;0;0;0;57;21;1;0;0;97,041997;142;68160;185878;0;157500;187500;53336
10_0;2;0;0;3;0;0;0;0;48;23;2;0;0;0;0;0;0;1;48;23;2;0;1;97,587632;142;0;177216;29962;105000;60000;20001
11_0;3;0;0;7;9;0;0;0;48;20;2;0;0;0;0;0;0;1;48;20;2;0;0;95,952381;142;76680;168696;102240;157500;223500;46669
12_0;2;0;0;4;0;0;0;0;49;21;2;0;1;0;0;0;0;0;49;21;2;0;0;97,891865;142;0;181050;0;105000;392500;26668
13_0;2;0;0;3;0;0;0;0;48;16;2;1;0;0;0;0;0;0;48;16;2;1;0;97,291667;142;0;232596;0;105000;126500;20001
14_0;2;0;0;4;0;0;0;0;72;32;4;0;1;0;0;0;0;0;72;32;4;0;1;95,613208;142;0;475416;0;105000;440500;26668
15_0;2;0;0;3;0;0;0;0;67;20;1;0;0;0;0;0;0;0;67;20;1;0;0;98,114518;142;0;204338;0;105000;38500;20001
16_0;2;0;0;4;0;0;0;0;68;29;3;0;0;0;0;0;0;0;68;29;3;0;0;97,769916;142;0;241684;0;105000;84500;26668
17_0;2;0;0;4;0;0;0;0;78;35;2;0;0;0;0;0;0;0;78;35;2;0;0;97,897135;142;0;275196;0;105000;72000;26668
18_0;2;0;0;4;0;0;0;0;73;33;2;2;0;0;0;0;0;2;73;33;2;2;2;96,018880;142;0;409386;111612;105000;217000;26668
19_0;2;0;0;4;0;0;0;0;70;30;2;0;0;0;0;0;0;3;70;30;2;0;1;96,424696;142;0;243956;223934;105000;67000;26668
20_0;3;0;0;6;3;0;0;0;91;45;6;0;0;0;0;0;0;5;91;45;6;0;2;94,609259;142;25560;350598;450566;157500;211500;40002
0_1;1;0;0;1;0;0;0;0;11;7;2;0;0;0;0;0;0;0;11;7;2;0;0;97,533069;142;0;52966;0;52500;44000;6667
1_1;1;0;0;1;0;0;0;0;12;9;1;0;0;0;0;0;0;0;12;9;1;0;0;97,394180;142;0;55948;0;52500;27500;6667
2_1;1;0;0;2;0;0;0;0;20;8;2;0;0;0;0;0;0;0;20;8;2;0;0;98,253968;142;0;74976;0;52500;45000;13334
3_1;1;0;0;1;0;0;0;0;26;12;0;0;0;0;0;0;0;0;26;12;0;0;0;97,916667;142;0;89460;0;52500;12000;6667
4_1;1;0;0;1;0;0;0;0;27;10;2;0;0;0;0;0;0;0;27;10;2;0;0;97,774471;142;0;95566;0;52500;47000;6667
5_1;1;0;0;3;0;0;0;0;32;20;4;0;0;0;0;0;0;0;32;20;4;0;0;97,760141;142;0;144272;0;52500;94000;20001
6_1;1;0;0;3;1;0;0;0;35;14;0;0;1;0;0;0;0;1;35;14;0;0;2;94,442240;142;8520;326174;23288;52500;367000;20001
7_1;3;0;0;8;11;0;0;0;42;22;2;0;1;0;0;0;0;0;42;22;2;0;0;95,921517;142;93720;168980;0;157500;597000;53336
8_1;3;0;0;8;10;0;0;0;64;24;2;0;0;0;0;0;0;0;64;24;2;0;0;96,514550;142;85200;214136;0;157500;246000;53336
9_1;3;0;0;8;8;0;0;0;60;21;4;0;0;0;0;0;0;1;60;21;4;0;1;96,013558;142;68160;206752;67450;157500;243000;53336
10_1;2;0;0;3;0;0;0;0;56;23;3;0;0;0;0;0;0;2;56;23;3;0;1;96,221892;142;0;199084;125386;105000;78500;20001
11_1;3;0;0;7;9;0;0;0;51;18;1;0;0;0;0;0;1;2;51;18;1;1;0;94,196429;142;76680;164578;257162;157500;203000;46669
12_1;2;0;0;4;0;0;0;0;54;18;4;1;1;0;0;0;0;3;54;18;4;0;2;92,299934;142;0;401008;260286;105000;500000;26668
13_1;2;0;0;3;0;0;0;0;43;16;1;0;1;0;0;0;0;2;43;16;1;0;0;95,881283;142;0;149242;204480;105000;369000;20001
