Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;3;5;0;0;0;97,762346;172;0;24940;0;52500;5000;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;3;2;0;0;0;0;0;0;0;13;3;2;0;0;97,507716;162;0;52326;0;52500;40000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;0;0;11;6;0;0;0;98,533951;152;0;43320;0;52500;6000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;12;1;0;0;0;0;0;0;0;22;12;1;0;0;97,669753;142;0;85768;0;52500;30500;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;5;0;0;0;0;0;0;0;0;36;5;0;0;0;98,024691;132;0;84480;0;52500;5000;20001
5_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;19;2;0;0;0;0;0;0;0;36;19;2;0;0;97,410901;122;0;120536;0;105000;56000;20001
6_0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;39;12;2;0;0;0;0;0;0;0;39;12;2;0;0;97,966758;112;0;100016;0;390000;49000;26668
7_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;43;15;4;0;0;0;0;0;0;0;43;15;4;0;0;97,824074;122;0;131882;0;105000;89000;26668
8_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;45;24;3;0;0;0;0;0;0;1;45;24;3;0;1;97,314214;132;0;165924;30624;105000;79500;26668
9_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;42;21;3;0;0;0;1;1;0;1;42;22;4;0;0;94,810606;142;51120;163584;193830;157500;187500;53336
10_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;53;22;1;0;0;0;0;2;0;1;53;21;2;0;0;93,571429;152;54720;191064;295944;442500;151500;60003
11_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;49;19;0;0;0;0;4;4;0;1;49;23;2;0;0;87,330447;162;68040;180630;889218;157500;148500;53336
12_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;56;23;3;0;0;0;0;1;0;1;56;19;0;0;0;95,003268;172;51600;226696;247680;157500;171000;53336
13_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;59;20;1;0;0;0;0;0;0;1;59;20;0;0;0;96,524791;162;48600;211734;116640;157500;131000;53336
14_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;60;28;3;0;0;0;0;0;0;3;60;28;3;0;2;95,628438;152;36480;237424;209304;157500;157500;53336
15_0;3;1;0;10;4;0;0;0;0;0;0;0;0;0;0;0;78;24;2;0;0;0;0;0;0;3;78;24;2;0;0;94,752803;142;34080;243956;306720;442500;135000;66670
16_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;64;29;1;0;0;0;0;0;0;5;64;29;1;0;2;94,019468;132;31680;207768;425568;157500;121500;53336
17_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;75;33;0;0;0;1;2;2;1;5;76;35;2;1;0;91,251111;122;29280;217770;713578;157500;107000;53336
18_0;3;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;85;37;0;0;0;1;13;3;1;5;85;48;1;0;0;85,071011;112;20160;225680;1.35531e+06;157500;92500;53336
19_0;3;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;77;40;0;0;0;2;5;9;2;5;78;32;6;1;0;84,319346;122;21960;226798;1.69336e+06;157500;95500;53336
20_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;105;37;0;0;0;0;5;10;2;5;103;37;1;0;0;83,732407;132;15840;302412;2.00086e+06;157500;74000;46669
0_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,225309;172;0;19780;0;52500;2000;13334
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;8;2;0;0;0;0;0;0;0;8;8;2;0;0;97,314815;162;0;56376;0;52500;45000;20001
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;8;2;0;0;0;0;0;0;0;16;8;2;0;0;97,592593;152;0;71136;0;52500;45000;20001
