Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;97,685185;172;0;25800;0;52500;3000;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;5;3;0;0;0;0;0;0;0;9;5;3;0;0;97,399691;162;0;54594;0;52500;60500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;0;0;0;0;20;10;0;0;0;97,427984;152;0;76000;0;52500;10000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;5;0;0;0;0;0;0;0;0;18;5;0;0;0;98,572531;142;0;52540;0;52500;5000;13334
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;17;0;0;0;0;0;0;0;0;29;17;0;0;0;97,608025;132;0;102300;0;52500;17000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;33;7;2;0;0;0;0;0;1;0;33;7;2;1;0;97,560273;122;0;85766;27816;52500;44000;20001
6_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;38;10;2;0;0;0;0;0;1;1;38;10;2;0;1;95,443989;112;0;93856;130256;105000;47000;26668
7_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;14;2;0;0;0;0;0;1;1;46;14;2;0;0;95,012077;122;0;126636;175680;105000;51000;20001
8_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;45;21;2;0;0;0;0;0;1;2;45;21;2;0;1;95,164141;132;0;153516;200376;105000;58000;26668
9_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;47;23;1;0;0;0;0;0;2;2;47;23;1;1;0;92,840909;142;51120;170258;342220;157500;152500;53336
10_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;48;21;2;3;0;0;0;0;0;3;48;21;2;1;1;93,015873;152;54720;272080;261744;442500;389500;60003
11_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;47;22;2;0;0;1;0;4;0;4;48;22;6;0;1;88,970058;162;58320;196506;735804;157500;170000;53336
12_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;57;21;1;0;0;2;0;4;0;6;58;21;1;0;2;85,405229;172;61920;225148;1.24924e+06;157500;150500;53336
13_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;50;27;0;0;0;3;0;6;1;9;51;27;2;1;3;81,916069;162;58320;208980;1.69436e+06;157500;138000;53336
14_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;68;24;4;0;0;1;1;4;1;9;66;25;2;0;0;82,015952;152;36480;241376;1.71e+06;157500;172000;53336
15_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;67;25;3;0;0;0;0;1;2;10;66;24;0;1;1;85,923802;142;34080;219674;1.31492e+06;157500;154500;53336
16_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;76;29;1;0;0;0;0;2;2;10;76;29;2;0;0;85,773979;132;31680;231528;1.31868e+06;157500;121500;53336
17_0;3;1;0;10;3;0;0;0;0;0;0;0;0;0;0;0;74;25;5;3;0;0;0;0;0;11;74;25;3;1;1;88,517778;122;21960;285236;953552;442500;393500;66670
