Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,989899;142;0;11360;0;52500;1000;6667
1_0;1;0;0;1;0;0;0;0;7;5;0;0;0;0;0;0;0;0;7;5;0;0;0;97,411616;142;0;29110;0;52500;5000;6667
2_0;1;0;0;1;0;0;0;0;17;8;2;0;0;0;0;0;0;0;17;8;2;0;0;96,950758;142;0;68586;0;52500;45000;6667
3_0;1;0;0;1;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;98,358586;142;0;36920;0;52500;4000;6667
4_0;1;0;0;1;0;0;0;0;16;6;1;0;0;0;0;0;0;0;16;6;1;0;0;97,512626;142;0;55948;0;52500;24500;6667
5_0;1;0;0;1;0;0;0;0;19;7;1;0;0;0;0;0;0;0;19;7;1;0;0;98,068182;142;0;65178;0;52500;25500;6667
6_0;1;0;0;1;0;0;0;0;21;10;1;0;0;0;0;0;0;0;21;10;1;0;0;97,689394;142;0;77958;0;52500;28500;6667
7_0;1;0;0;2;0;0;0;0;19;6;2;0;0;0;0;0;0;0;19;6;2;0;0;98,009259;142;0;67166;0;52500;43000;13334
8_0;1;0;0;2;0;0;0;0;22;10;0;0;0;0;0;0;0;0;22;10;0;0;0;98,327020;142;0;75260;0;52500;10000;13334
9_0;2;0;0;4;4;0;0;0;28;16;1;0;0;0;0;0;0;1;28;16;1;0;1;94,940025;142;34080;109908;83638;105000;108500;26668
10_0;2;0;0;5;5;0;0;0;32;9;0;0;0;0;0;0;0;1;32;9;0;0;0;94,696970;142;42600;93720;102240;105000;101500;33335
11_0;2;1;0;5;5;0;0;0;24;13;0;0;0;0;0;0;0;1;24;13;0;0;0;94,823232;142;42600;88040;102240;390000;105500;33335
12_0;2;0;0;5;6;0;0;0;26;7;0;0;0;0;0;0;0;1;26;7;0;0;0;94,917929;142;51120;75260;102240;105000;118000;33335
13_0;1;0;0;2;1;0;0;0;30;9;2;0;0;0;0;0;0;1;30;9;2;0;0;95,334596;142;8520;99116;102240;52500;64500;13334
14_0;1;0;0;2;1;0;0;0;36;14;2;0;0;0;0;0;0;1;36;14;2;0;0;95,863095;142;8520;126096;102240;52500;69500;13334
15_0;1;0;0;2;1;0;0;0;34;14;2;0;0;0;0;0;0;1;34;14;2;0;0;95,937500;142;8520;121836;102240;52500;69500;13334
16_0;1;0;0;2;1;0;0;0;35;14;1;0;0;0;0;0;0;1;35;14;1;0;0;95,984623;142;8520;119138;102240;52500;51000;13334
17_0;3;1;0;7;9;0;0;0;39;29;2;1;0;0;0;0;0;1;39;29;2;1;0;93,825572;142;76680;250346;102240;442500;306000;46669
18_0;2;1;0;5;5;0;0;0;43;19;2;0;0;0;0;0;0;1;43;19;2;0;0;95,684232;142;42600;155206;102240;390000;148500;33335
19_0;2;0;0;2;0;0;0;0;47;19;3;0;0;0;0;0;0;2;47;19;3;0;1;96,064134;142;0;168554;105080;105000;74500;13334
20_0;3;0;0;6;6;0;0;0;49;21;1;0;0;0;0;0;0;2;49;21;1;0;0;94,810764;142;51120;168838;204480;157500;150500;40002
0_1;1;0;0;1;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,421717;142;0;17750;0;52500;1000;6667
1_1;1;0;0;1;0;0;0;0;8;4;0;0;0;0;0;0;0;0;8;4;0;0;0;97,474747;142;0;28400;0;52500;4000;6667
2_1;1;0;0;1;0;0;0;0;13;8;0;0;0;0;0;0;0;0;13;8;0;0;0;97,758838;142;0;50410;0;52500;8000;6667
3_1;1;0;0;1;0;0;0;0;13;8;1;0;0;0;0;0;0;0;13;8;1;0;0;97,544192;142;0;55238;0;52500;26500;6667
4_1;1;0;0;1;0;0;0;0;12;6;1;0;0;0;0;0;0;0;12;6;1;0;0;97,891414;142;0;47428;0;52500;24500;6667
5_1;1;0;0;1;0;0;0;0;20;3;1;0;0;0;0;0;0;0;20;3;1;0;0;98,341751;142;0;55948;0;52500;21500;6667
6_1;1;0;0;1;0;0;0;0;19;10;0;0;0;0;0;0;0;0;19;10;0;0;0;97,958754;142;0;68870;0;52500;10000;6667
7_1;1;0;0;2;0;0;0;0;23;15;0;0;0;0;0;0;0;0;23;15;0;0;0;97,285354;142;0;91590;0;52500;15000;13334
