Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;6;6;0;0;0;0;0;0;0;0;6;6;0;0;0;97,348485;142;0;29820;0;52500;6000;6667
1_0;1;0;0;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,800505;142;0;13490;0;52500;1000;6667
2_0;1;0;0;1;0;0;0;0;15;4;2;0;0;0;0;0;0;0;15;4;2;0;0;97,645202;142;0;52966;0;52500;41000;6667
3_0;1;0;0;1;0;0;0;0;14;3;0;0;0;0;0;0;0;0;14;3;0;0;0;98,295455;142;0;38340;0;52500;3000;6667
4_0;1;0;0;2;0;0;0;0;13;4;2;0;0;0;0;0;0;0;13;4;2;0;0;97,834596;142;0;48706;0;52500;41000;13334
5_0;1;0;0;2;0;0;0;0;22;9;1;0;0;0;0;0;0;0;22;9;1;0;0;97,710438;142;0;77248;0;52500;27500;13334
6_0;1;0;0;1;0;0;0;0;21;12;0;0;0;0;0;0;0;0;21;12;0;0;0;97,664141;142;0;78810;0;52500;12000;6667
7_0;1;0;0;2;0;0;0;0;21;6;0;0;1;0;0;0;0;0;21;6;0;0;1;91,889731;142;0;273634;0;52500;340500;13334
8_0;1;0;0;2;0;0;0;0;26;7;1;0;0;0;0;0;0;0;26;7;1;0;0;98,219697;142;0;80088;0;52500;25500;13334
9_0;1;0;0;3;0;0;0;0;19;10;0;0;0;0;0;0;0;1;19;10;0;0;1;97,452652;142;0;68870;45724;52500;10000;20001
10_0;1;0;0;3;0;0;0;0;32;12;0;0;0;0;0;0;0;1;32;12;0;0;0;95,454545;142;0;102240;102240;52500;12000;20001
11_0;2;1;0;5;4;0;0;0;25;12;1;0;0;0;0;0;0;1;25;12;1;0;0;94,921086;142;34080;92158;102240;390000;104500;33335
12_0;4;0;0;11;18;0;0;0;25;13;1;0;1;0;0;0;0;0;25;13;1;0;0;94,315025;142;153360;102382;0;210000;699000;73337
13_0;1;1;0;2;0;0;0;0;23;9;1;0;0;0;0;0;0;0;23;9;1;0;0;98,235480;142;0;79378;0;337500;27500;13334
14_0;1;0;0;2;0;0;0;0;38;17;0;0;1;0;0;0;0;0;38;17;0;0;1;94,042659;142;0;341084;0;52500;351500;13334
15_0;3;0;0;8;11;0;0;0;34;13;3;0;1;0;0;0;0;0;34;13;3;0;1;92,500000;142;93720;335688;0;157500;606500;53336
