Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;98,958333;172;0;15480;0;52500;0;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;3;2;0;0;0;0;0;0;0;16;3;2;0;0;97,777778;162;0;59616;0;52500;40000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;8;2;0;0;0;0;0;0;0;21;8;2;0;0;97,781863;152;0;82536;0;52500;45000;13334
3_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;14;1;0;0;0;0;0;0;0;23;14;1;0;0;97,966049;142;0;93578;0;105000;32500;20001
4_0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;16;2;0;0;0;0;0;0;0;34;16;2;0;0;97,772817;132;0;118536;0;390000;53000;20001
5_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;38;17;3;0;0;0;0;0;0;0;38;17;3;0;0;97,902156;122;0;123464;0;105000;72500;26668
6_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;58;24;2;0;0;0;0;0;0;0;58;24;2;0;0;97,475071;112;0;158816;0;105000;61000;26668
7_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;61;30;2;0;0;0;0;0;0;0;61;30;2;0;0;97,529650;122;0;193126;0;105000;67000;26668
8_0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;64;21;4;0;0;0;0;0;0;0;64;21;4;0;0;97,894444;132;0;200112;0;157500;95000;33335
9_0;3;1;0;8;5;0;0;0;0;0;0;0;0;0;0;0;67;28;0;0;0;0;0;1;0;0;67;28;1;0;0;97,148611;142;42600;222230;26696;442500;120500;53336
10_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;72;26;0;0;0;0;4;3;0;0;72;30;2;0;0;93,891667;152;45600;243200;379696;157500;118500;53336
11_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;55;25;0;0;0;0;9;7;0;4;55;30;4;0;4;85,952778;162;58320;214650;1.3655e+06;442500;136000;60003
12_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;67;36;0;0;0;4;1;9;0;5;71;28;2;0;1;82,711461;172;41280;280188;2.05506e+06;157500;110000;53336
13_0;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;75;33;0;0;0;5;0;9;0;5;76;32;0;0;0;82,898452;162;38880;287226;2.10746e+06;442500;107000;53336
14_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;80;23;0;0;0;5;18;11;0;6;80;41;2;0;1;76,762740;152;45600;252320;3.08438e+06;157500;115500;53336
15_0;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;85;37;0;1;0;11;11;17;0;7;91;30;6;1;1;69,327739;142;25560;349462;4.14072e+06;442500;166000;53336
16_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;100;7;0;0;0;6;36;21;0;9;95;32;4;0;2;61,066308;132;47520;208560;5.47932e+06;157500;118000;53336
17_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;90;11;0;0;0;6;61;30;0;9;90;36;9;0;0;43,887216;122;43920;191540;7.94659e+06;157500;122000;53336
18_0;3;1;0;8;6;0;0;0;0;0;0;0;0;0;0;0;115;1;0;0;0;1;101;34;0;10;110;41;4;0;1;28,954802;112;40320;188720;9.91144e+06;442500;112000;53336
19_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;134;38;0;10;116;33;4;0;0;9,878842;122;43920;212646;1.4626e+07;157500;111000;53336
20_0;3;0;0;9;11;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;100;178;40;1;11;117;44;2;1;1;-31,525000;132;87120;33660;2.48795e+07;157500;203500;60003
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;7;3;0;0;0;98,090278;172;0;28380;0;52500;3000;6667
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;10;1;0;0;0;0;0;0;0;16;10;1;0;0;97,137681;162;0;76788;0;52500;28500;13334
