Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;22;8;0;0;0;0;0;0;0;0;22;8;0;0;0;97,569444;142;0;69580;0;52500;8000;20001
1_0;1;0;0;2;0;0;0;0;15;3;0;0;0;0;0;0;0;0;15;3;0;0;0;98,586310;142;0;40470;0;52500;3000;13334
2_0;1;0;0;3;0;0;0;0;37;17;2;0;0;0;0;0;0;0;37;17;2;0;0;97,611607;142;0;136746;0;52500;54000;20001
3_0;1;0;0;3;0;0;0;0;36;17;1;0;0;0;0;0;1;0;36;17;1;1;0;97,135417;142;0;129788;34222;52500;35500;20001
4_0;1;0;0;3;0;0;0;0;42;13;1;0;0;0;0;0;1;1;42;13;1;0;1;95,560516;142;0;131208;122972;52500;31500;20001
5_0;2;0;0;3;0;0;0;0;46;21;1;0;0;0;0;0;1;2;46;21;1;0;1;95,276124;142;0;162448;243246;105000;39500;20001
6_0;2;0;0;3;0;0;0;0;51;21;1;0;0;0;0;0;1;2;51;21;1;0;0;94,413029;142;0;173098;306720;105000;39500;20001
7_0;2;0;0;3;0;0;0;0;59;19;1;0;0;0;0;0;1;2;59;19;1;0;0;94,280754;142;0;184458;306720;105000;37500;20001
8_0;2;0;0;4;0;0;0;0;70;26;1;0;0;0;0;0;1;2;70;26;1;0;0;95,373648;142;0;227768;306720;105000;44500;26668
9_0;3;1;0;6;2;0;0;0;71;25;1;2;0;0;0;0;0;2;71;25;1;1;0;95,433874;142;17040;306010;204480;442500;227500;40002
10_0;6;0;0;16;25;0;0;0;78;26;2;0;0;0;0;0;0;3;78;26;2;0;1;93,754916;142;213000;249636;258866;315000;525500;106672
11_0;4;0;0;10;13;0;0;0;69;32;0;0;0;0;0;0;0;3;69;32;0;0;0;94,327679;142;110760;237850;306720;210000;272500;66670
12_0;7;1;0;19;29;0;0;0;74;31;3;1;0;0;0;0;0;4;74;31;3;1;1;92,218535;142;247080;335404;316518;652500;696500;126673
13_0;3;0;0;5;2;0;0;0;71;29;4;0;0;0;0;0;0;5;71;29;4;0;1;93,848328;142;17040;252902;440768;157500;140000;33335
14_0;5;1;1;19;16;0;0;0;89;31;5;1;8;0;0;0;0;0;89;31;5;1;3;91,831964;142;136320;1.04952e+06;0;5047500;3.169e+06;126673
15_0;2;1;0;4;0;0;0;0;83;32;2;0;0;0;0;0;0;3;83;32;2;0;3;96,685250;142;0;277326;203912;390000;69000;26668
16_0;5;1;0;14;13;0;0;0;93;36;4;0;0;0;0;0;0;4;93;36;4;0;1;94,528560;142;110760;319642;363946;547500;350500;93338
17_0;4;0;0;7;4;0;0;0;109;33;9;0;0;0;0;0;0;5;109;33;9;0;1;95,320013;142;34080;369342;414782;210000;273500;46669
18_0;4;0;0;7;4;0;0;0;110;38;2;0;0;0;0;0;0;7;110;38;2;0;2;94,623132;142;34080;351876;554084;210000;149000;46669
