Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;97,875817;142;0;36920;0;52500;4000;20001
1_0;1;0;0;4;0;0;0;0;9;3;2;0;0;0;0;0;0;0;9;3;2;0;0;97,851307;142;0;37346;0;52500;40000;26668
2_0;1;0;0;3;0;0;0;0;27;7;0;0;0;0;0;0;0;0;27;7;0;0;0;97,773693;142;0;77390;0;52500;7000;20001
3_0;1;0;0;3;0;0;0;0;20;5;0;0;0;0;0;0;0;0;20;5;0;0;0;98,366013;142;0;56800;0;52500;5000;20001
4_0;1;0;0;5;0;0;0;0;22;5;1;0;0;0;0;0;0;0;22;5;1;0;0;98,104575;142;0;65888;0;52500;23500;33335
5_0;1;0;0;5;0;0;0;0;33;10;1;0;0;0;0;0;0;0;33;10;1;0;0;98,014706;142;0;103518;0;52500;28500;33335
6_0;1;0;0;4;0;0;0;0;33;13;0;0;0;0;0;0;0;0;33;13;0;0;0;97,943900;142;0;107210;0;52500;13000;26668
7_0;1;0;0;5;0;0;0;0;36;14;1;0;0;0;0;0;0;0;36;14;1;0;0;97,674292;142;0;121268;0;52500;32500;33335
8_0;1;0;0;5;0;0;0;0;48;20;1;0;0;0;0;0;0;0;48;20;1;0;0;97,642974;142;0;163868;0;52500;38500;33335
9_0;2;0;0;3;0;0;0;0;33;17;2;0;0;0;0;0;0;0;33;17;2;0;0;98,155637;142;0;128226;0;105000;54000;20001
10_0;2;0;0;3;0;0;0;0;36;15;1;0;0;0;0;0;0;0;36;15;1;0;0;98,214869;142;0;124108;0;105000;33500;20001
11_0;4;0;0;10;14;0;0;0;43;20;4;0;0;0;0;0;0;0;43;20;4;0;0;95,872141;142;119280;167702;0;210000;353000;66670
12_0;7;0;0;20;33;0;0;0;45;25;1;0;0;0;0;0;0;0;45;25;1;0;0;93,486520;142;281160;171678;0;367500;654000;133340
13_0;1;0;0;5;0;0;0;0;46;15;0;0;0;0;0;0;0;0;46;15;0;0;0;97,977941;142;0;140580;0;52500;15000;33335
14_0;2;0;0;5;3;0;0;0;51;19;1;0;1;0;0;0;0;0;51;19;1;0;1;95,341503;142;25560;379282;0;105000;427500;33335
15_0;2;0;0;5;0;0;0;0;56;27;1;0;0;0;0;0;0;0;56;27;1;0;0;97,689542;142;0;200788;0;105000;45500;33335
16_0;2;0;0;5;0;0;0;0;47;26;1;0;1;0;0;0;0;1;47;26;1;0;2;95,173203;142;0;390642;28826;105000;379000;33335
17_0;2;0;0;5;1;0;0;0;72;29;0;2;1;0;0;0;0;1;72;29;0;2;1;93,202614;142;8520;598104;102240;105000;529000;33335
18_0;5;0;0;13;17;0;0;0;59;34;2;0;1;0;0;0;0;0;59;34;2;0;0;96,316721;142;144840;239270;0;262500;720000;86671
19_0;2;0;0;5;0;0;0;0;67;26;3;0;1;0;0;0;0;0;67;26;3;0;1;95,752996;142;0;442898;0;105000;416000;33335
20_0;2;0;0;5;0;0;0;0;79;38;5;0;0;0;0;0;0;0;79;38;5;0;0;97,552083;142;0;300330;0;105000;130500;33335
0_1;1;0;0;3;0;0;0;0;13;3;2;0;0;0;0;0;0;0;13;3;2;0;0;97,361111;142;0;45866;0;52500;40000;20001
1_1;1;0;0;4;0;0;0;0;10;7;0;0;0;0;0;0;0;0;10;7;0;0;0;97,630719;142;0;41180;0;52500;7000;26668
2_1;1;0;0;3;0;0;0;0;22;8;1;0;0;0;0;0;0;0;22;8;1;0;0;97,859477;142;0;74408;0;52500;26500;20001
3_1;1;0;0;3;0;0;0;0;22;9;1;0;0;0;0;0;1;0;22;9;1;1;0;97,369281;142;0;77248;14200;52500;27500;20001
4_1;1;0;0;5;0;0;0;0;21;7;1;1;0;0;0;0;0;0;21;7;1;0;0;97,896242;142;0;73130;0;52500;99000;33335
