Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;2;2;1;0;0;97,111111;172;0;17888;0;52500;20500;20001
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;97,569444;162;0;28350;0;52500;2000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,518519;152;0;24320;0;52500;2000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;7;1;0;0;0;0;0;0;0;9;7;1;0;0;97,854167;142;0;43878;0;52500;25500;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;2;1;0;0;0;0;0;0;0;15;2;1;0;0;98,338889;132;0;39468;0;52500;20500;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;5;3;0;0;0;0;0;0;0;11;5;3;0;0;98,300926;122;0;44774;0;52500;60500;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;0;0;24;9;0;0;0;97,857143;112;0;60480;0;52500;9000;20001
7_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;14;0;0;0;0;0;0;0;0;26;14;0;0;0;97,613960;122;0;81740;0;337500;14000;26668
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;19;0;0;0;0;0;0;0;1;25;19;0;0;1;95,494186;132;0;99660;84480;52500;19000;20001
9_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;15;0;0;0;0;0;0;1;1;28;15;0;1;0;93,291344;142;0;102240;192694;52500;15000;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;11;3;0;0;0;0;0;1;1;22;11;3;0;0;93,242894;152;0;99104;218880;52500;66500;20001
11_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;11;0;0;0;0;0;0;2;1;29;11;0;1;0;92,228682;162;0;106110;283662;52500;11000;20001
12_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;27;13;2;0;0;0;0;0;2;1;27;13;2;0;0;90,919031;172;30960;126076;371520;105000;105500;33335
13_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;36;8;1;0;0;0;0;0;2;2;36;8;1;0;1;89,779412;162;29160;118908;459918;105000;82000;33335
14_0;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;32;10;1;2;0;0;0;0;0;2;32;10;1;0;0;94,277778;152;9120;116432;218880;390000;194000;26668
