Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,809524;172;0;10320;0;52500;0;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;5;2;0;0;0;0;0;0;0;9;5;2;0;0;96,994048;162;0;49086;0;52500;42000;13334
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;5;1;0;0;0;0;0;0;0;14;5;1;0;0;97,724868;152;0;52288;0;52500;23500;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;9;1;0;0;0;0;0;0;1;15;9;1;0;1;96,349206;142;0;62338;42174;52500;27500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;11;2;0;0;0;0;0;0;1;19;11;2;0;0;94,869048;132;0;75636;95040;52500;48000;13334
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;13;2;0;0;0;0;0;0;1;23;13;2;0;0;95,281165;122;0;82106;87840;52500;50000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;12;2;0;0;0;0;1;0;2;31;12;3;0;1;93,744090;112;0;86576;150528;52500;49000;20001
7_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;30;19;2;0;0;0;0;0;0;3;30;19;1;0;1;93,561321;122;0;108092;191662;105000;56000;26668
8_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;32;15;2;0;0;0;0;0;0;3;32;15;2;0;0;92,919021;132;0;111936;285120;105000;52000;26668
9_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;47;14;2;0;0;0;1;0;0;3;47;15;2;0;0;91,388889;142;59640;149526;363094;157500;180500;53336
10_0;3;1;0;9;7;0;0;0;0;0;0;0;0;0;0;0;40;16;2;1;0;0;0;1;0;4;40;15;3;1;1;90,985915;152;63840;228912;407664;442500;256000;60003
11_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;45;21;0;0;0;3;0;4;0;4;48;21;3;0;0;87,310606;162;68040;177390;894240;157500;150500;53336
12_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;51;26;5;0;0;0;0;0;0;5;48;26;1;0;1;91,972892;172;41280;235812;547992;157500;192500;53336
13_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;55;23;1;0;0;0;0;0;0;6;55;23;1;0;1;91,658864;162;48600;213678;603612;157500;134000;53336
14_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;60;21;1;0;0;0;0;0;1;7;60;21;1;1;1;89,728070;152;45600;205808;816544;157500;132000;53336
15_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;68;22;1;0;0;0;0;0;2;7;68;22;1;1;0;88,876513;142;34080;212148;902410;157500;114500;53336
16_0;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;71;26;1;2;0;0;0;0;1;8;71;26;1;1;1;89,078401;132;31680;287100;791868;442500;265500;53336
17_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;70;29;2;0;0;0;0;1;1;9;70;29;3;0;1;89,162979;122;29280;207156;839238;157500;140000;53336
18_0;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;67;19;8;1;0;0;0;1;0;9;67;19;8;0;0;89,422269;112;20160;188496;806400;442500;296000;53336
19_0;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;84;21;3;1;0;0;0;0;0;9;84;21;2;1;0;90,044444;122;21960;280600;790560;442500;205500;53336
20_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;80;29;5;0;0;0;0;0;1;10;80;29;5;1;1;90,068914;132;15840;257400;963204;157500;158500;46669
21_0;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;79;41;4;0;0;0;0;0;1;12;79;41;4;0;2;88,947689;142;8520;304022;1.23554e+06;157500;133500;46669
22_0;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;90;39;4;0;0;0;0;1;1;13;90;39;5;0;1;88,239122;152;9120;344432;1.48702e+06;157500;131500;46669
23_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;100;39;0;0;0;0;5;3;1;14;100;44;2;0;1;85,207407;162;19440;369360;2.19931e+06;157500;76000;46669
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;97,321429;172;0;23220;0;52500;3000;6667
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;2;2;0;0;0;0;0;0;0;11;2;2;0;0;97,291667;162;0;44226;0;52500;39000;13334
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;3;1;0;0;0;0;0;0;0;16;3;1;0;0;97,791005;152;0;50768;0;52500;21500;6667
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;4;1;0;0;0;0;0;0;0;22;4;1;0;0;97,797619;142;0;63048;0;52500;22500;13334
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;9;3;0;0;0;0;0;0;0;22;9;3;0;0;97,571429;132;0;80784;0;52500;64500;13334
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;10;2;0;0;0;0;0;0;0;25;10;2;0;0;97,821816;122;0;78446;0;52500;47000;20001
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;11;0;0;0;0;0;0;0;1;25;11;0;0;1;96,784870;112;0;66640;55216;52500;11000;20001
7_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;33;14;3;0;0;0;0;0;0;1;33;14;3;0;0;95,814990;122;0;106994;87840;105000;69500;26668
8_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;43;10;3;0;0;0;0;0;0;1;43;10;3;0;0;96,075800;132;0;125004;95040;105000;65500;26668
9_1;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;42;15;2;0;0;0;0;0;0;2;42;15;2;0;1;95,393162;142;59640;141716;104796;157500;181500;53336
10_1;3;1;0;9;7;0;0;0;0;0;0;0;0;0;0;0;49;16;1;0;0;0;0;0;0;3;49;16;1;0;1;93,182707;152;63840;165528;300352;442500;164000;60003
11_1;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;47;19;0;0;0;0;0;0;0;4;47;19;0;0;1;92,196970;162;68040;175770;457002;157500;148500;53336
12_1;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;57;23;4;0;0;0;0;0;0;4;57;23;4;0;0;92,351071;172;41280;249572;495360;157500;171000;53336
13_1;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;53;19;2;0;0;0;0;0;0;4;53;19;2;0;0;93,097690;162;48600;201366;466560;157500;148500;53336
14_1;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;63;27;0;0;0;0;0;2;0;4;63;27;2;0;0;92,796784;152;45600;225720;477584;157500;119500;53336
15_1;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;55;27;4;0;0;0;0;0;0;4;55;27;2;0;0;93,678493;142;34080;209734;408960;157500;175000;53336
16_1;3;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0;62;29;1;1;0;0;0;0;0;5;62;29;1;1;1;92,588266;132;31680;273768;448272;442500;195000;53336
17_1;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;74;25;2;0;0;0;0;0;0;5;74;25;2;0;0;93,217797;122;29280;204716;439200;157500;136000;53336
18_1;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;58;34;2;0;0;0;0;0;0;7;58;34;2;0;2;92,671569;112;20160;181216;501872;442500;126500;53336
19_1;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;74;35;2;0;0;0;1;4;0;8;74;36;6;0;1;88,728889;122;21960;229116;986492;442500;127500;53336
20_1;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;83;26;6;0;0;0;0;0;0;10;83;25;2;0;2;90,928753;132;15840;251988;861564;157500;174000;46669
21_1;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;95;36;2;0;0;0;0;0;0;10;95;36;2;0;0;90,396391;142;8520;314246;1.0224e+06;157500;91500;46669
22_1;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;88;34;2;0;0;0;0;0;0;11;88;34;2;0;1;90,463287;152;9120;314336;1.16903e+06;157500;89500;46669
23_1;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;93;37;1;0;0;0;0;0;1;12;93;37;1;1;1;90,447222;162;19440;351378;1.30054e+06;157500;92500;46669
0_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,115079;172;0;16340;0;52500;1000;6667
1_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;98,214286;162;0;29160;0;52500;3000;13334
2_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;7;1;0;0;0;0;0;0;0;10;7;1;0;0;97,857143;152;0;49248;0;52500;25500;6667
3_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;9;0;0;0;0;0;0;0;0;17;9;0;0;0;97,842262;142;0;61770;0;52500;9000;13334
4_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;1;0;0;0;0;0;0;0;19;7;1;0;0;98,178571;132;0;60588;0;52500;25500;13334
5_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;9;0;0;0;0;0;0;0;0;25;9;0;0;0;98,119919;122;0;67710;0;52500;9000;20001
6_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;12;1;0;0;0;0;0;0;0;30;12;1;0;0;97,860520;112;0;81088;0;52500;30500;20001
7_2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;15;1;0;0;0;0;0;1;0;27;15;1;1;0;96,648323;122;0;90158;65880;105000;33500;26668
8_2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;30;11;2;0;0;0;0;0;2;1;30;11;2;1;1;96,047552;132;0;97416;124212;105000;48000;26668
9_2;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;40;12;2;0;0;0;0;0;2;1;40;12;2;0;0;92,547009;142;59640;128936;306720;157500;178500;53336
10_2;3;1;0;9;7;0;0;0;0;0;0;0;0;0;0;0;46;20;0;2;0;0;3;3;0;2;46;23;3;0;1;90,618153;152;63840;173584;491568;442500;296500;60003
11_2;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;50;18;0;0;0;0;0;6;0;2;50;15;3;0;0;88,955628;162;68040;173988;749898;157500;147500;53336
12_2;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;52;14;9;0;0;0;0;0;0;2;52;14;3;0;0;95,023427;172;41280;222568;247680;157500;254500;53336
13_2;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;45;22;5;0;0;0;1;1;0;3;45;23;6;0;1;93,813983;162;48600;208170;385398;157500;207000;53336
14_2;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;53;26;2;0;0;0;0;2;0;4;53;25;3;0;1;92,716374;152;45600;208392;503272;157500;155500;53336
