Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;98,263889;106.296;0;10629.6;0;0;2000;0
1_0;1;0;0;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,350694;105.205;0;9994.47;0;52500;1000;6667
2_0;1;0;0;1;0;0;0;0;11;3;0;1;0;0;0;1;0;0;11;3;1;1;0;93,521242;84.6637;0;63921.1;3217.22;52500;76500;6667
3_0;1;0;0;2;0;0;0;0;8;7;1;0;0;0;0;0;0;0;8;7;0;0;0;97,696078;83.6099;0;23578;0;52500;25500;13334
4_0;1;0;0;1;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;98,120915;93.2017;0;21436.4;0;52500;4000;6667
5_0;1;0;0;1;0;0;0;0;17;7;0;0;0;0;0;0;0;0;17;7;0;0;0;97,889957;102.297;0;40407.5;0;52500;7000;6667
6_0;1;0;0;2;0;0;0;0;16;4;0;0;0;0;0;0;0;0;16;4;0;0;0;98,290598;124.668;0;39893.9;0;52500;4000;13334
7_0;1;0;0;1;0;0;0;0;17;6;0;0;0;0;0;0;0;0;17;6;0;0;0;97,996795;128.355;0;48133.1;0;52500;6000;6667
8_0;2;0;0;1;0;0;0;0;25;10;0;0;0;0;0;0;0;0;25;10;0;0;0;97,718254;169.512;0;97469.4;0;105000;10000;6667
9_0;2;0;0;1;0;0;0;0;21;11;0;0;0;0;0;0;0;0;21;11;0;0;0;97,876984;155.618;0;83255.6;0;105000;11000;6667
10_0;1;0;0;2;0;0;0;0;21;10;0;0;0;0;0;0;0;0;21;10;0;0;0;97,956349;149.164;0;76819.3;0;52500;10000;13334
11_0;1;0;0;2;0;0;0;0;32;10;1;0;0;0;0;0;0;0;32;10;1;0;0;97,746212;125.69;0;89742.7;0;52500;28500;13334
12_0;3;0;0;6;8;0;0;0;27;9;0;0;0;0;0;0;0;0;27;9;0;0;0;96,638258;106.296;51022;62183.1;0;157500;157000;40002
13_0;1;0;0;2;0;0;0;0;25;12;1;0;0;0;0;0;0;0;25;12;1;0;0;97,951389;105.205;0;68278;0;52500;30500;13334
