Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;6;4;1;0;0;0;0;0;0;0;6;4;1;0;0;97,820513;142;0;28968;0;52500;22500;20001
1_0;1;0;0;3;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,824786;142;0;15620;0;52500;1000;20001
2_0;1;0;0;3;0;0;0;0;16;6;0;0;0;0;0;0;0;0;16;6;0;0;0;98,076923;142;0;51120;0;52500;6000;20001
3_0;1;0;0;3;0;0;0;0;15;6;1;0;0;0;0;0;0;0;15;6;1;0;0;97,975427;142;0;53818;0;52500;24500;20001
4_0;1;0;0;3;0;0;0;0;18;10;0;0;0;0;0;0;0;0;18;10;0;0;0;97,489316;142;0;66740;0;52500;10000;20001
5_0;1;0;0;3;0;0;0;0;18;8;1;0;0;0;0;0;0;0;18;8;1;0;0;98,347578;142;0;65888;0;52500;26500;20001
6_0;1;0;0;3;0;0;0;0;28;11;2;0;0;0;0;0;0;0;28;11;2;0;0;97,478632;142;0;100536;0;52500;48000;20001
7_0;1;0;0;3;0;0;0;0;20;8;1;0;0;0;0;0;0;0;20;8;1;0;0;98,240741;142;0;70148;0;52500;26500;20001
8_0;1;0;0;3;0;0;0;0;26;16;1;0;0;0;0;0;0;0;26;16;1;0;0;98,012821;142;0;105648;0;52500;34500;20001
9_0;1;0;0;3;0;0;0;0;34;8;1;0;0;0;0;0;1;0;34;8;1;1;0;97,660256;142;0;99968;24424;52500;26500;20001
10_0;1;1;0;4;0;0;0;0;33;12;0;2;0;0;0;0;0;0;33;12;0;1;0;96,551816;142;0;183322;0;337500;159000;26668
11_0;1;0;0;3;0;0;0;0;37;17;2;0;0;0;0;0;0;1;37;17;2;0;1;97,410256;142;0;136746;35358;52500;54000;20001
12_0;5;0;0;11;18;0;0;0;38;11;2;0;0;0;0;0;0;2;38;11;2;0;1;93,895299;142;153360;121836;130498;262500;381000;73337
13_0;2;0;0;4;4;0;0;0;46;17;1;0;0;0;0;0;0;3;46;17;1;0;1;93,794872;142;34080;151088;227200;105000;109500;26668
14_0;3;1;0;7;8;0;0;0;45;16;3;0;0;0;0;0;0;4;45;16;3;0;1;92,754630;142;68160;155774;353864;442500;219500;46669
15_0;3;0;0;6;6;0;0;0;50;16;3;0;0;0;0;0;0;5;50;16;3;0;1;91,086182;142;51120;166424;493308;157500;182500;40002
16_0;1;0;0;3;0;0;0;0;53;23;1;0;0;0;0;0;2;6;53;23;1;2;1;89,763177;142;0;183038;633320;52500;41500;20001
17_0;2;1;0;5;3;0;0;0;53;19;3;2;0;0;0;0;0;9;53;19;3;0;3;88,642814;142;25560;188718;853988;390000;277000;33335
18_0;3;0;0;5;4;0;0;0;61;31;3;0;0;0;0;0;0;10;61;31;3;0;1;87,255435;142;34080;232454;932230;157500;160500;33335
19_0;3;0;0;7;8;0;0;0;57;24;5;0;0;0;0;0;1;11;57;24;5;1;1;84,871679;142;68160;213710;1.14111e+06;157500;264500;46669
20_0;3;0;0;5;3;0;0;0;72;18;3;0;0;0;0;0;1;11;72;18;3;0;0;86,422956;142;25560;218964;1.22688e+06;157500;129000;33335
21_0;3;0;0;6;6;0;0;0;63;25;2;0;0;0;0;0;2;11;63;25;2;1;0;85,955189;142;51120;214846;1.25613e+06;157500;173000;40002
22_0;2;1;0;5;3;0;0;0;72;22;4;2;0;0;0;0;0;11;72;22;4;0;0;87,148847;142;25560;242536;1.12464e+06;390000;298500;33335
23_0;2;1;0;5;2;0;0;0;76;28;3;0;0;0;0;0;0;11;76;28;3;0;0;88,608796;142;17040;255884;1.12464e+06;390000;120500;33335
0_1;1;0;0;3;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;98,076923;142;0;25560;0;52500;3000;20001
1_1;1;0;0;3;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,130342;142;0;24850;0;52500;2000;20001
