Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;172;0;7740;0;52500;0;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;3;2;0;0;0;98,524306;162;0;13770;0;52500;2000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;97,974537;152;0;26600;0;52500;2000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;0;11;5;0;0;0;97,699653;142;0;37630;0;52500;5000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;0;0;0;0;0;16;5;0;0;0;97,638889;132;0;44880;0;52500;5000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;7;0;0;0;0;0;0;0;0;18;7;0;0;0;97,627315;122;0;50020;0;52500;7000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;3;0;0;0;0;0;0;1;1;22;3;0;1;1;93,268849;112;0;43680;108304;52500;3000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;6;1;0;0;0;0;0;1;1;21;6;1;0;0;91,447133;122;0;57218;175680;52500;24500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;7;1;0;0;0;0;0;2;1;24;7;1;1;0;90,482026;132;0;70488;237072;52500;25500;20001
9_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;2;1;23;9;0;0;0;89,470721;142;17040;74550;306720;105000;46000;26668
10_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;7;2;2;0;0;0;0;0;1;31;7;2;0;0;94,982639;152;0;110200;109440;337500;191000;26668
11_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;29;5;0;0;0;0;0;0;0;1;29;5;0;0;0;95,752584;162;9720;86670;116640;52500;23500;20001
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;32;10;1;0;0;0;0;0;0;1;32;10;1;0;0;95,670290;172;0;122808;123840;52500;28500;20001
13_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;36;10;0;0;0;0;0;0;0;1;36;10;0;0;0;95,351474;162;29160;119880;116640;105000;65500;33335
14_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;29;12;3;0;0;0;0;0;1;1;29;12;3;1;0;94,708868;152;27360;118104;155648;105000;123000;33335
15_0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;30;13;2;1;0;0;0;0;0;1;30;13;2;0;0;96,151515;142;0;114168;102240;390000;123500;26668
16_0;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;40;14;2;0;0;0;0;0;0;1;40;14;2;0;0;95,862069;132;7920;125136;95040;390000;69500;26668
17_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;39;17;3;0;0;0;0;0;0;2;39;17;3;0;1;94,353370;122;43920;125294;133346;157500;183500;53336
18_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;36;14;3;0;0;0;0;0;2;2;36;14;3;2;0;92,617188;112;40320;103264;237440;157500;180500;53336
19_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;40;12;2;0;0;0;0;0;2;2;40;12;2;0;0;91,401327;122;43920;110776;351360;157500;160000;53336
20_0;3;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;44;27;1;0;0;0;0;0;2;2;44;27;1;0;0;91,480159;132;23760;162888;380160;157500;101000;40002
21_0;2;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;44;15;0;0;0;0;0;0;2;2;44;15;0;0;0;92,465753;142;17040;136320;408960;105000;52000;33335
22_0;2;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;50;19;1;0;0;0;0;0;2;3;50;19;1;0;1;91,619152;152;9120;176928;511024;105000;56000;33335
23_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;48;20;0;0;0;0;0;0;2;3;48;20;0;0;0;91,805556;162;0;181440;583200;105000;20000;26668
0_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,958333;172;0;5160;0;52500;0;13334
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,958333;162;0;9720;0;52500;0;13334
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;0;6;2;1;0;0;98,101852;152;0;24928;0;52500;20500;20001
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;98,090278;142;0;31240;0;52500;5000;20001
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;1;0;0;0;0;0;0;1;11;6;1;0;1;92,888889;132;0;42108;93060;52500;24500;20001
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;5;1;0;0;0;0;0;0;1;16;5;1;0;0;93,668981;122;0;45628;87840;52500;23500;20001
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;6;3;0;0;0;0;0;0;1;17;6;3;0;0;94,062500;112;0;53424;80640;52500;61500;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;7;1;0;0;0;0;0;1;1;18;7;1;1;0;92,558244;122;0;54168;148474;52500;25500;20001
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;6;1;0;0;0;0;0;1;1;22;6;1;0;0;92,140523;132;0;63888;190080;52500;24500;20001
9_1;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;28;13;1;0;0;0;0;0;2;1;28;13;1;1;0;91,437688;142;17040;101388;205474;105000;68500;26668
10_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;6;2;2;0;0;0;0;0;1;21;6;2;0;0;95,572917;152;0;84360;109440;337500;190000;26668
11_1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;24;14;0;0;0;0;0;0;0;2;24;14;0;0;1;94,867571;162;9720;103680;144018;52500;32500;20001
12_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;11;3;0;0;0;0;0;0;2;26;11;3;0;0;93,502415;172;0;122464;247680;52500;66500;20001
13_1;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;28;11;2;0;0;0;0;0;0;3;28;11;2;0;1;93,341837;162;29160;114696;236682;105000;103500;33335
14_1;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;32;12;1;0;0;0;0;0;0;3;32;12;1;0;0;91,736111;152;27360;114608;328320;105000;86000;33335
15_1;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;35;11;1;1;0;0;0;0;0;3;35;11;1;1;0;91,239899;142;0;185878;306720;390000;103000;26668
16_1;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;42;16;2;1;0;0;0;0;0;3;42;16;2;1;0;90,977011;132;7920;204336;285120;390000;145000;26668
17_1;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;27;21;1;0;0;0;0;0;0;3;27;21;1;0;0;92,306466;122;43920;104798;263520;157500;150500;53336
18_1;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;44;14;2;0;0;0;0;0;0;3;44;14;2;0;0;92,343750;112;40320;112896;241920;157500;162000;53336
19_1;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;38;21;1;0;0;0;0;0;0;3;38;21;1;0;0;92,653400;122;43920;124928;263520;157500;150500;53336
20_1;3;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;52;23;0;0;0;0;0;0;0;3;52;23;0;0;0;92,896825;132;23760;163680;285120;157500;78500;40002
