Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;16;8;0;0;0;0;0;0;0;0;16;8;0;0;0;97,474747;106.296;0;42518.3;0;52500;8000;6667
1_0;1;0;0;1;0;0;0;0;15;8;0;0;0;0;0;0;0;0;15;8;0;0;0;97,569444;105.205;0;40503.9;0;52500;8000;6667
2_0;1;0;0;2;0;0;0;0;32;13;4;0;0;0;0;0;0;0;32;13;4;0;0;97,234848;84.6637;0;74165.4;0;52500;87000;13334
3_0;1;0;0;1;0;0;0;0;27;8;1;0;0;0;0;0;0;0;27;8;1;0;0;98,109217;83.6099;0;50082.4;0;52500;26500;6667
4_0;1;0;0;1;0;0;0;0;25;12;0;0;0;0;0;0;0;1;25;12;0;0;1;97,222222;93.2017;0;57319;24698.4;52500;12000;6667
5_0;2;1;0;2;0;0;0;0;40;20;2;0;0;0;0;0;0;2;40;20;2;0;1;95,101010;102.297;0;109254;128895;390000;57000;13334
6_0;2;0;0;2;0;0;0;0;40;19;1;0;0;0;0;0;1;2;40;19;1;1;0;93,596380;124.668;0;126414;252952;105000;37500;13334
7_0;2;0;0;2;0;0;0;0;43;17;1;0;0;0;0;0;1;3;43;17;1;0;1;92,843013;128.355;0;130794;305742;105000;35500;13334
8_0;4;0;0;3;0;0;0;0;48;22;0;0;0;0;0;0;1;3;48;22;0;0;0;93,623737;169.512;0;196634;488195;210000;22000;20001
9_0;3;1;0;3;0;0;0;0;50;15;0;2;0;0;0;0;0;3;50;15;0;1;0;94,056187;155.618;0;249922;336135;442500;162000;20001
10_0;3;0;0;3;0;0;0;0;55;19;1;0;0;0;0;0;1;4;55;19;1;1;1;92,716225;149.164;0;184814;503577;157500;37500;20001
11_0;3;1;0;3;0;0;0;0;67;29;1;1;0;0;0;0;0;5;67;29;1;0;1;93,599747;125.69;0;206760;430363;442500;121000;20001
12_0;9;0;0;16;24;0;0;0;69;25;4;0;0;0;0;0;0;6;69;25;4;0;1;91,161616;106.296;153066;177620;413385;472500;543000;106672
13_0;3;0;0;5;2;0;0;0;71;25;0;0;0;0;0;0;0;6;71;25;0;0;0;92,417929;105.205;12624.6;164646;454485;157500;62000;33335
14_0;7;0;0;14;21;0;0;0;84;36;1;0;0;0;0;0;1;7;84;36;1;1;1;91,321549;84.6637;106676;170513;421117;367500;443000;93338
15_0;11;1;0;24;39;0;0;0;82;35;1;1;0;0;0;0;0;9;82;35;1;0;2;89,365530;83.6099;195647;166384;483015;862500;848500;160008
16_0;3;0;1;11;1;0;0;0;79;36;6;0;9;0;0;0;0;0;79;36;6;0;0;97,225379;93.2017;5592.1;240181;0;4657500;3.176e+06;73337
17_0;9;1;0;15;21;0;0;0;94;37;2;0;0;0;0;0;0;2;94;37;2;0;2;96,409632;102.297;128895;226896;51455.6;757500;462500;100005
18_0;4;0;0;4;0;0;0;0;98;44;2;0;0;0;0;0;1;3;98;44;2;1;1;95,662879;124.668;0;301448;298082;210000;81000;26668
19_0;5;1;0;5;0;0;0;0;110;36;6;3;0;0;0;0;0;3;110;36;6;2;0;94,751082;128.355;0;469779;277247;547500;367500;33335
20_0;7;1;0;6;0;0;0;0;110;32;5;0;0;0;0;0;0;7;110;32;5;0;4;94,814815;169.512;0;417000;703136;652500;124500;40002
21_0;6;1;0;6;0;0;0;0;113;43;5;0;0;0;0;0;0;8;113;43;5;0;1;93,839454;155.618;0;424059;797698;600000;135500;40002
22_0;6;0;0;6;2;0;0;0;112;49;1;0;0;0;0;0;1;10;112;49;1;1;2;92,095104;149.164;17899.6;401847;1.08293e+06;315000;104500;40002
23_0;5;1;0;6;0;0;0;0;124;45;5;2;0;0;0;0;0;10;124;45;5;1;0;92,579167;125.69;0;438155;904968;547500;284500;40002
0_1;1;0;0;1;0;0;0;0;13;4;0;0;0;0;0;0;0;0;13;4;0;0;0;98,263889;106.296;0;29231.4;0;52500;4000;6667
1_1;1;0;0;1;0;0;0;0;13;7;0;0;0;0;0;0;0;0;13;7;0;0;0;97,885101;105.205;0;35243.6;0;52500;7000;6667
2_1;1;0;0;2;0;0;0;0;25;15;2;0;0;0;0;0;0;0;25;15;2;0;0;97,654672;84.6637;0;62905.1;0;52500;52000;13334
3_1;1;0;0;1;0;0;0;0;35;11;0;0;0;0;0;0;0;0;35;11;0;0;0;97,648359;83.6099;0;62289.4;0;52500;11000;6667
4_1;1;0;0;1;0;0;0;0;28;13;1;0;0;0;0;0;0;0;28;13;1;0;0;97,746212;93.2017;0;66546;0;52500;31500;6667
5_1;2;1;0;2;0;0;0;0;43;15;1;0;0;0;0;0;0;0;43;15;1;0;0;97,939815;102.297;0;100149;0;390000;33500;13334
6_1;2;0;0;2;0;0;0;0;43;14;5;0;0;0;0;0;0;0;43;14;5;0;0;97,695707;124.668;0;136512;0;105000;106500;13334
7_1;2;0;0;2;0;0;0;0;35;13;0;0;0;0;0;0;1;1;35;13;0;1;1;97,182239;128.355;0;100759;71108.7;105000;13000;13334
8_1;4;0;0;3;0;0;0;0;55;28;2;0;0;0;0;1;1;1;55;28;3;0;0;95,230429;169.512;0;246301;265964;210000;65000;20001
9_1;3;1;0;3;0;0;0;0;60;21;2;1;0;0;0;0;0;1;60;21;1;0;0;96,650884;155.618;0;218176;112045;442500;131500;20001
10_1;3;0;0;3;0;0;0;0;57;24;1;0;0;0;0;0;0;1;57;24;1;0;0;96,702967;149.164;0;204205;107398;157500;42500;20001
11_1;3;1;0;3;0;0;0;0;76;28;1;0;0;0;0;0;0;1;76;28;1;0;0;96,901515;125.69;0;217946;90496.8;442500;46500;20001
12_1;9;0;0;16;24;0;0;0;62;31;4;0;0;0;0;0;0;2;62;31;4;0;1;94,356061;106.296;153066;179215;142862;472500;549000;106672
13_1;3;0;0;5;2;0;0;0;75;31;2;0;0;0;0;0;1;3;75;31;2;1;1;95,270202;105.205;12624.6;190737;190737;157500;105000;33335
14_1;7;0;0;14;21;0;0;0;83;30;5;0;0;0;0;0;1;3;83;30;5;0;0;93,523779;84.6637;106676;170597;243831;367500;511000;93338
15_1;11;1;0;24;39;0;0;0;86;37;6;1;0;0;0;0;0;4;86;37;6;0;1;92,626263;83.6099;195647;188958;201333;862500;943000;160008
16_1;3;0;1;11;1;0;0;0;83;28;2;0;5;0;0;0;0;0;83;28;2;0;1;96,177399;93.2017;5592.1;333009;0;4657500;1.756e+06;73337
17_1;9;1;0;15;21;0;0;0;96;46;3;0;0;0;0;0;0;0;96;46;3;0;0;96,643218;102.297;128895;251856;0;757500;490000;100005
18_1;4;0;0;4;0;0;0;0;97;29;6;0;0;0;0;0;1;0;97;29;6;1;0;97,342172;124.668;0;279133;88265.3;210000;140000;26668
19_1;5;1;0;5;0;0;0;0;94;36;4;1;0;0;0;0;0;0;94;36;4;0;0;97,932900;128.355;0;294190;0;547500;183500;33335
20_1;7;1;0;6;0;0;0;0;112;44;7;1;0;0;0;0;1;1;112;44;7;2;1;96,755336;169.512;0;564136;136796;652500;247000;40002
21_1;6;1;0;6;0;0;0;0;118;36;4;1;0;0;0;0;0;1;118;36;4;0;0;97,354049;155.618;0;412699;112045;600000;183500;40002
22_1;6;0;0;6;2;0;0;0;104;40;2;0;0;0;0;0;0;3;104;40;2;0;2;96,935813;149.164;17899.6;362169;202415;315000;114000;40002
23_1;5;1;0;6;0;0;0;0;121;61;6;1;0;0;0;0;0;4;121;61;6;1;1;95,711806;125.69;0;473726;302410;547500;245500;40002
0_2;1;0;0;1;0;0;0;0;13;3;0;0;0;0;0;0;0;0;13;3;0;0;0;98,390152;106.296;0;27105.4;0;52500;3000;6667
1_2;1;0;0;1;0;0;0;0;13;6;0;0;0;0;0;0;0;0;13;6;0;0;0;98,011364;105.205;0;33139.5;0;52500;6000;6667
2_2;1;0;0;2;0;0;0;0;26;9;2;0;0;0;0;0;0;0;26;9;2;0;0;97,986111;84.6637;0;54015.4;0;52500;46000;13334
3_2;1;0;0;1;0;0;0;0;26;11;1;0;0;0;0;0;0;0;26;11;1;0;0;97,967172;83.6099;0;53844.8;0;52500;29500;6667
4_2;1;0;0;1;0;0;0;0;26;16;0;0;0;0;0;0;0;0;26;16;0;0;0;97,758838;93.2017;0;66173.2;0;52500;16000;6667
5_2;2;1;0;2;0;0;0;0;43;14;1;0;0;0;0;0;0;1;43;14;1;0;1;96,792929;102.297;0;98103.2;57798;390000;32500;13334
6_2;2;0;0;2;0;0;0;0;41;21;3;0;0;0;0;0;0;1;41;21;3;0;0;96,092172;124.668;0;141748;89761.3;105000;76500;13334
7_2;2;0;0;2;0;0;0;0;44;19;2;0;0;0;0;0;0;2;44;19;2;0;1;95,780724;128.355;0;142217;115134;105000;56000;13334
8_2;4;0;0;3;0;0;0;0;47;22;2;0;0;0;0;0;0;2;47;22;2;0;0;95,812816;169.512;0;205618;244097;210000;59000;20001
9_2;3;1;0;3;0;0;0;0;56;26;0;1;0;0;0;0;0;2;56;26;0;1;0;94,744318;155.618;0;294118;224090;442500;99500;20001
10_2;3;0;0;3;0;0;0;0;56;25;1;0;0;0;0;0;0;2;56;25;1;0;0;95,558712;149.164;0;204951;214796;157500;43500;20001
11_2;3;1;0;3;0;0;0;0;56;35;3;1;0;0;0;0;0;2;56;35;3;1;0;95,439394;125.69;0;272999;180994;442500;164000;20001
12_2;9;0;0;16;24;0;0;0;70;30;1;0;0;0;0;0;0;3;70;30;1;0;1;94,068182;106.296;153066;179002;167310;472500;492500;106672
13_2;3;0;0;5;2;0;0;0;77;22;1;0;0;0;0;0;0;4;77;22;1;0;1;94,625000;105.205;12624.6;171379;263854;157500;77500;33335
14_2;7;0;0;14;21;0;0;0;79;26;1;0;0;0;0;0;1;5;79;26;1;1;1;93,315446;84.6637;106676;147230;283962;367500;433000;93338
15_2;11;1;0;24;39;0;0;0;80;31;2;1;0;0;0;0;0;5;80;31;2;0;0;91,736111;83.6099;195647;160029;300996;862500;863000;160008
16_2;3;0;1;11;1;0;0;0;85;34;4;0;6;0;0;0;2;0;85;34;4;2;1;95,069444;93.2017;5592.1;358174;72976.9;4657500;2.1335e+06;73337
17_2;9;1;0;15;21;0;0;0;109;30;4;1;0;0;0;0;3;0;109;30;4;2;0;94,821429;102.297;128895;296765;161732;757500;566000;100005
18_2;4;0;0;4;0;0;0;0;91;42;2;0;0;0;0;0;3;0;91;42;2;0;0;96,001984;124.668;0;283371;269284;210000;79000;26668
19_2;5;1;0;5;0;0;0;0;100;32;3;4;0;0;0;0;0;0;100;32;3;1;0;97,429654;128.355;0;365812;0;547500;381500;33335
20_2;7;1;0;6;0;0;0;0;118;46;9;2;0;0;0;0;0;0;118;46;9;2;0;96,817326;169.512;0;687541;0;652500;359500;40002
21_2;6;1;0;6;0;0;0;0;103;41;7;0;0;0;0;0;0;0;103;41;7;0;0;97,957470;155.618;0;405074;0;600000;170500;40002
22_2;6;0;0;6;2;0;0;0;115;45;6;0;0;0;0;0;2;0;115;45;6;2;0;97,195543;149.164;17899.6;421984;93227.3;315000;193000;40002
23_2;5;1;0;6;0;0;0;0;127;51;4;2;0;0;0;0;0;1;127;51;4;0;1;97,646528;125.69;0;391273;34690.4;547500;272000;40002
0_3;1;0;0;1;0;0;0;0;13;8;1;0;0;0;0;0;0;0;13;8;1;0;0;97,544192;106.296;0;41349.1;0;52500;26500;6667
1_3;1;0;0;1;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,137626;105.205;0;31035.4;0;52500;5000;6667
2_3;1;0;0;2;0;0;0;0;39;12;0;0;0;0;0;0;0;0;39;12;0;0;0;97,395833;84.6637;0;69847.5;0;52500;12000;13334
3_3;1;0;0;1;0;0;0;0;25;9;1;0;0;0;0;0;0;0;25;9;1;0;0;98,140783;83.6099;0;49246.3;0;52500;27500;6667
4_3;1;0;0;1;0;0;0;0;30;7;0;0;0;0;0;0;0;0;30;7;0;0;0;98,137626;93.2017;0;54989;0;52500;7000;6667
5_3;2;1;0;2;0;0;0;0;47;18;1;1;0;0;0;0;0;0;47;18;1;1;0;96,571970;102.297;0;166642;0;390000;110000;13334
6_3;2;0;0;2;0;0;0;0;37;20;1;0;0;0;0;0;0;0;37;20;1;0;0;97,918771;124.668;0;123297;0;105000;38500;13334
7_3;2;0;0;2;0;0;0;0;47;14;0;0;0;0;0;0;0;0;47;14;0;0;0;97,927189;128.355;0;126430;0;105000;14000;13334
8_3;4;0;0;3;0;0;0;0;51;18;2;0;0;0;0;0;0;1;51;18;2;0;1;97,023359;169.512;0;202228;117472;210000;55000;20001
9_3;3;1;0;3;0;0;0;0;58;26;0;0;0;0;0;0;0;1;58;26;0;0;0;96,669823;155.618;0;216309;112045;442500;26000;20001
10_3;3;0;0;3;0;0;0;0;59;14;5;0;0;0;0;0;0;1;59;14;5;0;0;96,756629;149.164;0;199133;107398;157500;106500;20001
11_3;3;1;0;3;0;0;0;0;74;24;2;0;0;0;0;0;0;2;74;24;2;0;1;96,390152;125.69;0;208394;150954;442500;61000;20001
12_3;9;0;0;16;24;0;0;0;67;35;1;0;0;0;0;0;0;2;67;35;1;0;0;94,167929;106.296;153066;184848;153066;472500;497500;106672
13_3;3;0;0;5;2;0;0;0;60;34;0;0;0;0;0;0;0;3;60;34;0;0;1;95,345960;105.205;12624.6;166224;208937;157500;71000;33335
14_3;7;0;0;14;21;0;0;0;97;31;3;0;0;0;0;0;2;4;97;31;3;2;1;93,092382;84.6637;106676;184313;264828;367500;475000;93338
15_3;11;1;0;24;39;0;0;0;89;33;2;4;0;0;0;0;0;4;89;33;2;2;0;91,166877;83.6099;195647;265462;240797;862500;1.0855e+06;160008
16_3;3;0;1;11;1;0;0;0;83;43;9;0;5;0;0;0;0;0;83;43;9;0;1;95,611322;93.2017;5592.1;383152;0;4657500;1.9005e+06;73337
17_3;9;1;0;15;21;0;0;0;104;40;2;0;0;0;0;0;0;0;104;40;2;0;0;96,673882;102.297;128895;248378;0;757500;465500;100005
18_3;4;0;0;4;0;0;0;0;85;43;1;0;0;0;0;0;0;3;85;43;1;0;3;97,180736;124.668;0;270406;119308;210000;61500;26668
19_3;5;1;0;5;0;0;0;0;96;34;2;0;0;0;0;0;0;6;96;34;2;0;3;95,431999;128.355;0;280841;369277;547500;71000;33335
20_3;7;1;0;6;0;0;0;0;114;42;4;0;0;0;0;0;0;6;114;42;4;0;0;94,502511;169.512;0;455309;732292;652500;116000;40002
21_3;6;1;0;6;0;0;0;0;102;42;5;2;0;0;0;0;0;8;102;42;5;2;2;92,987288;155.618;0;560225;830533;600000;281500;40002
22_3;6;0;0;6;2;0;0;0;115;44;4;0;0;0;0;0;0;9;115;44;4;0;1;93,050063;149.164;17899.6;408858;894385;315000;155000;40002
23_3;5;1;0;6;0;0;0;0;128;46;7;1;0;0;0;0;0;10;128;46;7;1;1;92,615278;125.69;0;453489;883098;547500;249000;40002
0_4;1;0;0;1;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;98,358586;106.296;0;27636.9;0;52500;4000;6667
1_4;1;0;0;1;0;0;0;0;14;7;0;0;0;0;0;0;0;0;14;7;0;0;0;97,790404;105.205;0;36821.7;0;52500;7000;6667
2_4;1;0;0;2;0;0;0;0;28;13;1;0;0;0;0;0;0;0;28;13;1;0;0;97,746212;84.6637;0;60449.8;0;52500;31500;13334
3_4;1;0;0;1;0;0;0;0;30;8;0;0;0;0;0;0;2;0;30;8;0;2;0;95,533460;83.6099;0;51002.1;67306;52500;8000;6667
4_4;1;0;0;1;0;0;0;0;29;11;0;0;0;0;0;0;2;0;29;11;0;0;0;93,386995;93.2017;0;61047.1;134210;52500;11000;6667
5_4;2;1;0;2;0;0;0;0;48;14;0;3;0;0;0;0;0;0;48;14;0;1;0;96,670875;102.297;0;161834;0;390000;234500;13334
6_4;2;0;0;2;0;0;0;0;35;16;2;0;0;0;0;0;0;0;35;16;2;0;0;98,078704;124.668;0;113822;0;105000;53000;13334
