Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,194444;172;0;11180;0;52500;1000;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;97,916667;162;0;24300;0;52500;3000;6667
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;3;4;0;0;0;98,842593;152;0;19000;0;52500;4000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;98,541667;142;0;29820;0;52500;3000;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;6;0;0;0;0;0;0;0;0;17;6;0;0;0;97,916667;132;0;49500;0;52500;6000;13334
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;4;0;0;0;0;0;0;0;21;7;4;0;0;97,263889;122;0;72102;0;52500;81000;20001
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;0;0;0;0;0;0;19;6;0;0;0;98,392857;112;0;45360;0;52500;6000;13334
7_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;11;1;0;0;0;0;0;0;1;21;11;1;0;1;95,982639;122;0;69418;71736;337500;29500;20001
8_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;10;1;0;0;0;0;0;0;1;26;10;1;0;0;95,851852;132;0;82368;95040;105000;28500;20001
9_0;3;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;30;14;1;0;0;0;0;0;0;1;30;14;1;0;0;95,044444;142;42600;108488;102240;157500;125000;40002
10_0;3;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;31;14;2;0;0;0;0;0;0;1;31;14;2;0;0;95,371212;152;45600;123576;109440;157500;143500;46669
11_0;2;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;43;15;1;0;0;0;0;0;0;2;43;15;1;0;1;95,388889;162;9720;158598;154386;105000;52000;26668
12_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;37;17;3;0;0;0;0;0;0;3;37;17;3;0;1;94,448718;172;0;171484;275372;105000;72500;20001
13_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;41;17;0;0;0;0;0;0;0;3;41;17;0;0;0;93,819444;162;0;154710;349920;105000;17000;26668
