Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;98,511905;172;0;12900;0;52500;0;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;4;1;0;0;0;0;0;0;0;9;4;1;0;0;97,529762;162;0;40338;0;52500;22500;6667
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;1;0;11;5;0;1;0;95,178571;152;0;40280;70528;52500;5000;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;3;0;0;0;0;0;0;1;0;26;3;0;0;0;94,196429;142;0;63900;102240;52500;3000;13334
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;8;1;0;0;0;0;0;1;0;20;8;1;0;0;95,182540;132;0;65208;95040;52500;26500;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;11;2;0;0;0;0;0;1;1;22;11;2;0;1;94,850949;122;0;75396;110044;52500;48000;20001
6_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;15;2;1;0;0;0;0;0;1;27;15;2;0;0;95,511229;112;0;89488;80640;337500;125500;26668
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;16;1;0;0;0;0;0;0;2;31;16;1;0;1;94,871593;122;0;99918;138836;52500;34500;20001
8_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;40;11;1;0;0;0;0;0;0;2;40;11;1;0;0;94,599812;132;0;112728;190080;105000;29500;20001
9_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;39;14;2;0;0;0;0;0;1;2;39;14;2;1;0;93,743590;142;59640;132486;223650;157500;180500;53336
10_0;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;43;12;3;0;0;0;0;0;1;2;43;12;3;0;0;93,022300;152;63840;150024;328320;157500;197000;53336
11_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;49;15;4;0;0;0;0;0;1;2;49;15;4;0;0;93,342352;162;58320;189702;349920;157500;200000;53336
12_0;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;49;21;2;2;0;0;0;1;0;3;49;21;3;1;1;93,425368;172;61920;305988;307880;442500;316000;60003
13_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;62;21;3;0;0;0;0;2;0;3;62;21;4;0;0;92,038077;162;48600;235224;542700;157500;169000;53336
14_0;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;65;32;1;0;0;0;1;1;0;3;65;33;0;0;0;92,827485;152;36480;248824;460408;157500;124500;53336
15_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;55;26;2;0;0;0;0;2;1;3;55;25;3;1;0;92,396865;142;42600;198942;543576;157500;155500;53336
16_0;3;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;61;28;4;0;0;0;0;0;1;3;61;28;2;0;0;93,968069;132;23760;209484;380160;157500;157500;46669
17_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;82;22;0;0;0;0;2;0;1;4;82;24;0;0;1;92,547935;122;36600;203740;499346;157500;114500;53336
18_0;3;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;81;37;6;2;0;0;1;0;0;4;81;36;6;1;0;92,573529;112;6720;302736;403200;442500;313500;53336
19_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;80;34;4;0;0;0;0;0;2;5;80;33;4;2;1;93,105556;122;14640;244488;497882;157500;145000;46669
20_0;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;84;34;1;2;0;0;2;2;1;6;84;36;3;1;1;90,593723;132;23760;333960;813384;442500;255000;53336
21_0;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;82;39;5;0;0;0;0;0;2;7;82;37;3;1;1;91,850162;142;8520;302744;830274;157500;150000;46669
22_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;97;32;2;0;0;0;0;5;2;7;97;32;7;0;0;89,338578;152;18240;328776;1.32149e+06;157500;106000;46669
23_0;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;96;36;1;0;0;0;2;8;3;7;96;38;4;1;0;85,972222;162;19440;355428;2.07943e+06;157500;91500;46669
0_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;4;0;0;0;96,924603;172;0;26660;0;52500;4000;6667
1_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;10;1;0;0;0;98,313492;162;0;27540;0;52500;1000;6667
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;0;13;7;0;0;0;97,784392;152;0;50920;0;52500;7000;6667
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;11;0;0;0;0;0;0;0;0;15;11;0;0;0;97,792659;142;0;63190;0;52500;11000;13334
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;7;1;0;0;0;0;0;0;0;22;7;1;0;0;98,000000;132;0;66528;0;52500;25500;20001
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;12;2;0;0;0;0;2;0;0;30;12;4;0;0;95,968835;122;0;92476;52704;52500;49000;20001
6_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;35;9;2;1;0;0;0;0;0;0;35;9;0;1;0;96,220449;112;0;143248;0;337500;119500;26668
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;10;0;0;0;0;0;0;0;0;34;10;0;0;0;98,139413;122;0;86620;0;52500;10000;20001
8_1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;32;10;1;0;0;0;0;0;0;0;32;10;1;0;0;98,319209;132;0;94248;0;105000;28500;20001
9_1;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;44;15;2;0;0;0;0;0;1;1;44;15;2;1;1;95,707265;142;59640;145976;79662;157500;181500;53336
10_1;3;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;47;16;1;0;0;0;0;2;1;1;47;16;3;0;0;92,089202;152;63840;160968;389880;157500;164000;53336
11_1;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;44;17;4;0;0;0;0;0;1;1;44;17;2;0;0;94,747475;162;58320;180144;233280;157500;202000;53336
12_1;3;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;50;21;1;1;0;0;0;0;0;2;50;21;1;0;1;95,535475;172;61920;211560;185416;442500;224000;60003
13_1;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;49;18;1;0;0;0;0;0;0;2;49;18;1;0;0;95,522784;162;48600;182898;233280;157500;129000;53336
14_1;3;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;64;22;4;0;0;0;0;0;0;2;64;22;4;0;0;95,298246;152;36480;233472;218880;157500;170000;53336
15_1;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;58;23;3;0;0;0;1;1;0;3;58;24;4;0;1;93,773377;142;42600;203344;397032;157500;171000;53336
16_1;3;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;69;33;1;0;0;0;0;0;1;4;69;32;0;1;1;93,161994;132;23760;225060;446556;157500;107000;46669
17_1;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;78;21;0;0;0;0;0;3;1;4;78;21;3;0;0;91,914946;122;36600;193980;571936;157500;113500;53336
18_1;3;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;70;25;7;2;0;0;0;0;0;5;70;25;4;1;1;93,514239;112;6720;258496;357168;442500;320000;53336
19_1;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;87;28;1;0;0;0;0;0;0;5;87;28;1;0;0;93,756667;122;14640;231678;439200;157500;83500;46669
20_1;3;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0;80;31;1;0;0;0;0;0;0;7;80;31;1;0;2;93,092663;132;23760;244728;591492;442500;105000;53336
21_1;3;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;81;37;2;0;0;0;0;0;0;7;81;37;2;0;0;92,778792;142;8520;287266;715680;157500;92500;46669
22_1;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;88;30;4;0;0;0;0;0;0;8;88;30;4;0;1;92,460179;152;18240;312512;849224;157500;141000;46669
23_1;3;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;95;35;2;0;0;0;3;2;0;9;95;38;4;0;1;90,531481;162;19440;355266;1.28191e+06;157500;109000;46669
0_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;96,626984;172;0;29240;0;52500;4000;6667
1_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,412698;162;0;25920;0;52500;2000;6667
2_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;4;1;0;0;0;0;0;0;0;15;4;1;0;0;97,757937;152;0;51528;0;52500;22500;6667
3_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;0;0;0;0;0;0;0;18;8;0;0;0;97,867063;142;0;61060;0;52500;8000;13334
4_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;13;1;0;0;0;0;0;0;0;23;13;1;0;0;97,464286;132;0;84348;0;52500;31500;20001
5_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;0;0;24;11;1;0;0;97,920054;122;0;74908;0;52500;29500;20001
