Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;4;3;0;0;0;97,916667;106.296;0;12755.5;0;0;3000;0
1_0;1;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;4;3;0;0;0;97,916667;105.205;0;12624.6;0;52500;3000;0
2_0;1;0;0;1;0;0;0;0;13;2;0;0;0;0;0;0;0;0;13;2;0;0;0;98,080065;84.6637;0;19896;0;52500;2000;6667
3_0;1;0;0;1;0;0;0;0;11;6;1;0;0;0;0;0;0;0;11;6;1;0;0;97,393791;83.6099;0;26671.6;0;52500;24500;6667
4_0;1;0;0;1;0;0;0;0;8;6;0;0;0;0;0;0;0;0;8;6;0;0;0;98,039216;93.2017;0;22368.4;0;52500;6000;6667
5_0;1;0;0;1;0;0;0;0;17;8;0;0;0;0;0;0;0;0;17;8;0;0;0;97,783120;102.297;0;42453.4;0;52500;8000;6667
6_0;1;0;0;1;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,424145;124.668;0;36777.2;0;52500;5000;6667
7_0;1;0;0;2;0;0;0;0;11;3;1;0;0;0;0;0;0;0;11;3;1;0;0;98,616453;128.355;0;33243.9;0;52500;21500;13334
8_0;2;0;0;1;0;0;0;0;25;11;2;0;0;0;0;0;0;1;25;11;2;0;1;95,666667;169.512;0;112386;72720.6;105000;48000;6667
9_0;2;0;0;1;0;0;0;0;26;4;1;0;0;0;0;0;0;1;26;4;1;0;0;95,142857;155.618;0;78431.5;112045;105000;22500;6667
10_0;2;0;0;2;0;0;0;0;17;12;0;0;1;0;0;0;0;0;17;12;0;0;0;97,829365;149.164;0;81592.5;0;105000;346500;13334
11_0;1;0;0;2;0;0;0;0;31;11;1;0;1;0;0;0;0;0;31;11;1;0;1;93,020833;125.69;0;277901;0;52500;364000;13334
12_0;3;1;0;6;8;0;0;0;25;10;0;0;0;0;0;0;0;0;25;10;0;0;0;96,669823;106.296;51022;61120.1;0;442500;158000;40002
13_0;1;0;0;2;0;0;0;0;31;11;0;0;0;0;0;0;0;0;31;11;0;0;0;97,837753;105.205;0;72065.4;0;52500;11000;13334
14_0;3;0;0;7;9;0;0;0;30;15;1;0;0;0;0;0;0;0;30;15;1;0;0;96,530398;84.6637;45718.4;66376.3;0;157500;200000;46669
15_0;5;0;0;11;18;0;0;0;33;10;0;0;0;0;0;0;0;0;33;10;0;0;0;95,348532;83.6099;90298.7;58108.9;0;262500;343000;73337
16_0;2;0;0;2;0;0;0;0;36;20;1;0;0;0;0;0;1;0;36;20;1;1;0;95,807128;93.2017;0;90778.4;58344.2;105000;38500;13334
17_0;4;0;0;6;8;0;0;0;41;15;3;0;0;0;0;0;1;0;41;15;3;0;0;95,033602;102.297;49102.7;104036;73654.1;210000;218500;40002
18_0;2;0;0;3;0;0;0;0;34;19;1;0;0;0;0;0;1;0;34;19;1;0;0;96,317204;124.668;0;115194;89761.3;105000;37500;20001
19_0;2;0;0;2;0;0;0;0;37;12;2;0;1;0;0;0;1;0;37;12;2;0;1;93,111559;128.355;0;302276;92415.6;105000;383500;13334
20_0;3;0;0;2;0;0;0;0;49;18;1;0;0;0;0;0;1;1;49;18;1;0;1;95,277778;169.512;0;191379;217823;157500;36500;13334
