Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,482639;106.296;0;15412.9;0;52500;2000;13334
1_0;1;0;0;3;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,090278;105.205;0;11572.5;0;52500;1000;20001
2_0;1;0;0;2;0;0;0;0;11;4;0;0;0;0;0;0;0;0;11;4;0;0;0;97,998366;84.6637;0;20742.6;0;52500;4000;13334
3_0;1;0;0;3;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;97,589869;83.6099;0;24664.9;0;52500;5000;20001
4_0;1;0;0;2;0;0;0;0;13;3;0;0;0;0;0;0;0;0;13;3;0;0;0;97,916667;93.2017;0;23766.4;0;52500;3000;13334
5_0;1;0;0;3;0;0;0;0;16;9;1;0;0;0;0;0;0;0;16;9;1;0;0;97,574786;102.297;0;46443;0;52500;27500;20001
6_0;1;1;0;4;0;0;0;0;16;8;0;0;0;0;0;0;0;0;16;8;0;0;0;97,863248;124.668;0;49867.4;0;337500;8000;26668
7_0;1;0;0;3;0;0;0;0;18;8;1;0;0;0;0;0;0;1;18;8;1;0;1;95,389957;128.355;0;59556.7;51213.6;52500;26500;20001
8_0;2;0;0;3;0;0;0;0;21;7;1;0;0;0;0;0;0;1;21;7;1;0;0;95,202381;169.512;0;82891.4;122049;105000;25500;20001
9_0;2;0;0;3;0;0;0;0;22;17;1;0;0;0;0;0;0;1;22;17;1;0;0;94,349206;155.618;0;109555;112045;105000;35500;20001
10_0;2;1;0;4;0;0;0;0;22;8;1;0;0;0;0;0;0;1;22;8;1;0;0;95,063492;149.164;0;78161.8;107398;390000;26500;26668
11_0;1;0;0;3;0;0;0;0;26;9;1;0;0;0;0;0;0;1;26;9;1;0;0;95,820707;125.69;0;75916.8;90496.8;52500;27500;20001
12_0;5;0;0;8;12;0;0;0;24;11;0;0;0;0;0;0;0;1;24;11;0;0;0;93,623737;106.296;76533;61651.6;76533;262500;233000;53336
13_0;2;0;0;3;3;0;0;0;30;10;0;0;0;0;0;0;1;2;30;10;0;1;1;92,613636;105.205;18936.9;68383.2;158859;105000;65500;20001
14_0;2;0;0;3;2;0;0;0;32;12;3;0;0;0;0;0;1;3;32;12;3;0;1;91,158281;84.6637;10159.6;69593.5;205902;105000;104500;20001
15_0;5;0;0;9;15;0;0;0;28;10;0;0;0;0;0;0;1;3;28;10;0;0;0;88,469602;83.6099;75248.9;51838.2;240797;262500;287500;60003
16_0;2;1;0;5;3;0;0;0;36;9;1;1;0;0;0;0;0;3;36;9;1;0;0;91,823899;93.2017;16776.3;72697.3;201316;390000;156500;33335
17_0;2;0;0;3;2;0;0;0;34;7;3;0;0;0;0;0;0;3;34;7;3;0;0;93,207885;102.297;12275.7;76927.6;220962;105000;99500;20001
18_0;2;0;0;3;1;0;0;0;44;14;1;0;0;0;0;0;0;3;44;14;1;0;0;92,844982;124.668;7480.11;121427;269284;105000;51000;20001
19_0;3;1;0;4;2;0;0;0;42;16;1;0;0;0;0;0;0;4;42;16;1;0;1;91,276882;128.355;15402.6;126301;358110;442500;71500;26668
20_0;4;0;0;3;1;0;0;0;46;23;1;0;0;0;0;0;0;4;46;23;1;0;0;91,932707;169.512;10170.7;200702;488195;210000;60000;20001
21_0;4;0;0;3;2;0;0;0;48;15;1;0;0;0;0;0;1;4;48;15;1;1;0;91,940532;155.618;18674.2;164021;458451;210000;70500;20001
22_0;2;1;0;4;0;0;0;0;47;22;1;2;0;0;0;0;0;4;47;22;1;1;0;90,972222;149.164;0;258799;429591;390000;187500;26668
23_0;3;0;0;3;1;0;0;0;41;16;1;0;0;0;0;0;0;4;41;16;1;0;0;93,213542;125.69;7541.4;121794;361987;157500;53000;20001
0_1;1;0;0;2;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,350694;106.296;0;10098.1;0;52500;1000;13334
1_1;1;0;0;3;0;0;0;0;4;1;1;0;0;0;0;0;0;0;4;1;1;0;0;98,020833;105.205;0;11993.4;0;52500;19500;20001
2_1;1;0;0;2;0;0;0;0;10;1;0;0;0;0;0;0;0;0;10;1;0;0;0;98,611111;84.6637;0;14392.8;0;52500;1000;13334
3_1;1;0;0;3;0;0;0;0;12;3;1;0;0;0;0;0;0;1;12;3;1;0;1;97,679739;83.6099;0;22909.1;836.099;52500;21500;20001
4_1;1;0;0;2;0;0;0;0;12;4;0;0;0;0;0;0;0;1;12;4;0;0;0;91,993464;93.2017;0;24232.4;67105.2;52500;4000;13334
5_1;1;0;0;3;0;0;0;0;21;5;1;0;0;0;0;0;0;1;21;5;1;0;0;93,755342;102.297;0;45931.5;73654.1;52500;23500;20001
6_1;1;1;0;4;0;0;0;0;10;11;0;0;0;0;0;0;0;1;10;11;0;0;0;94,177350;124.668;0;46127.3;89761.3;337500;11000;26668
7_1;1;0;0;3;0;0;0;0;17;8;1;0;0;0;0;0;0;1;17;8;1;0;0;93,755342;128.355;0;57631.4;92415.6;52500;26500;20001
8_1;2;0;0;3;0;0;0;0;21;6;1;0;0;0;0;0;0;1;21;6;1;0;0;95,281746;169.512;0;79501.1;122049;105000;24500;20001
9_1;2;0;0;3;0;0;0;0;23;6;2;0;0;0;0;0;0;1;23;6;2;0;0;95,027778;155.618;0;82944.4;112045;105000;43000;20001
10_1;2;1;0;4;0;0;0;0;19;8;0;0;0;0;0;0;0;1;19;8;0;0;0;95,376984;149.164;0;66377.8;107398;390000;8000;26668
11_1;1;0;0;3;0;0;0;0;25;12;1;0;0;0;0;0;0;1;25;12;1;0;0;95,678662;125.69;0;81572.8;90496.8;52500;30500;20001
12_1;5;0;0;8;12;0;0;0;25;9;1;0;0;0;0;0;0;2;25;9;1;0;1;91,739268;106.296;76533;62608.2;139035;262500;249500;53336
13_1;2;0;0;3;3;0;0;0;34;13;1;0;0;0;0;0;0;4;34;13;1;0;2;91,606692;105.205;18936.9;84584.7;176218;105000;87000;20001
14_1;2;0;0;3;2;0;0;0;39;9;1;0;0;0;0;0;0;4;39;9;1;0;0;90,044549;84.6637;10159.6;67646.3;243831;105000;64500;20001
15_1;5;0;0;9;15;0;0;0;39;12;0;0;0;0;0;0;0;4;39;12;0;0;0;87,932390;83.6099;75248.9;68978.2;240797;262500;289500;60003
16_1;2;1;0;5;3;0;0;0;38;12;2;0;0;0;0;0;0;5;38;12;2;0;1;87,937631;93.2017;16776.3;81831;330400;390000;104500;33335
17_1;2;0;0;3;2;0;0;0;36;18;2;0;0;0;0;0;1;5;36;18;2;1;0;89,444444;102.297;12275.7;99023.9;370726;105000;92000;20001
18_1;2;0;0;3;1;0;0;0;35;13;0;0;0;0;0;0;1;5;35;13;0;0;0;88,429659;124.668;7480.11;97864.7;538568;105000;31500;20001
19_1;3;1;0;4;2;0;0;0;40;23;1;1;0;0;0;0;0;5;40;23;1;0;0;89,157706;128.355;15402.6;143758;462078;442500;152000;26668
20_1;4;0;0;3;1;0;0;0;50;20;1;0;0;0;0;0;1;5;50;20;1;1;0;90,381455;169.512;10170.7;200702;622618;210000;57000;20001
21_1;4;0;0;3;2;0;0;0;54;19;1;0;0;0;0;0;1;5;54;19;1;0;0;88,920188;155.618;18674.2;190476;672270;210000;74500;20001
22_1;2;1;0;4;0;0;0;0;45;18;1;1;0;0;0;0;0;5;45;18;1;0;0;90,815728;149.164;0;163334;536989;390000;110000;26668
23_1;3;0;0;3;1;0;0;0;52;20;3;0;0;0;0;0;0;5;52;20;3;0;0;91,420139;125.69;7541.4;161135;452484;157500;94000;20001
0_2;1;0;0;2;0;0;0;0;4;4;0;0;0;0;0;0;1;0;4;4;0;1;0;92,378472;106.296;0;14881.4;31782.5;52500;4000;13334
1_2;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;1;0;7;2;0;0;0;84,982639;105.205;0;15254.7;75747.5;52500;2000;20001
