Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,194444;172;0;11180;0;52500;1000;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;0;7;2;1;0;0;97,513889;162;0;28998;0;52500;20500;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,518519;152;0;24320;0;52500;2000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;7;0;0;0;0;0;0;0;0;15;7;0;0;0;97,465278;142;0;51830;0;52500;7000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;6;0;0;0;0;0;0;0;0;17;6;0;0;0;97,916667;132;0;49500;0;52500;6000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;0;0;0;0;0;0;19;6;0;0;0;98,125000;122;0;49410;0;52500;6000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;8;0;0;0;0;0;0;0;0;26;8;0;0;0;97,817460;112;0;61600;0;52500;8000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;8;1;0;0;0;0;0;1;0;22;8;1;1;0;96,149306;122;0;63928;71370;52500;26500;20001
8_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;6;2;1;0;0;0;0;0;1;31;6;2;0;1;96,527778;132;0;89628;58872;337500;116500;26668
9_0;3;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;25;14;0;0;0;0;0;0;0;1;25;14;0;0;0;95,347222;142;42600;93010;102240;157500;106500;40002
10_0;3;1;0;8;5;0;0;0;0;0;0;0;0;0;0;0;36;18;6;0;0;0;0;0;0;1;36;18;6;0;0;94,636364;152;45600;167808;109440;442500;221500;53336
11_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;16;1;0;0;0;0;0;0;1;36;16;1;0;0;96,263889;162;0;144828;116640;105000;34500;20001
12_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;20;1;0;0;0;0;0;0;1;35;20;1;0;0;96,412393;172;0;164948;123840;105000;38500;20001
13_0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;43;21;3;0;0;0;0;0;0;1;43;21;3;0;0;96,255952;162;0;189054;116640;390000;76500;26668
14_0;3;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;47;17;3;0;0;0;0;0;0;1;47;17;3;0;0;95,875926;152;54720;174344;109440;157500;183500;53336
15_0;3;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;57;17;2;0;0;0;0;0;0;1;57;17;2;0;0;96,036458;142;42600;179346;102240;157500;146500;53336
