Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;11;4;0;0;0;0;0;0;0;0;11;4;0;0;0;98,453283;142;0;34790;0;52500;4000;13334
1_0;1;0;0;3;0;0;0;0;14;5;1;0;0;0;0;0;0;0;14;5;1;0;0;97,828283;142;0;48848;0;52500;23500;20001
2_0;1;0;0;3;0;0;0;0;26;8;0;0;0;0;0;0;0;0;26;8;0;0;0;98,263889;142;0;78100;0;52500;8000;20001
3_0;1;0;0;3;0;0;0;0;24;10;0;0;0;0;0;0;0;0;24;10;0;0;0;98,232323;142;0;79520;0;52500;10000;20001
4_0;1;0;0;4;0;0;0;0;28;8;0;0;0;0;0;0;0;1;28;8;0;0;1;95,915404;142;0;82360;101388;52500;8000;26668
5_0;2;0;0;4;0;0;0;0;33;12;2;1;0;0;0;0;0;2;33;12;2;1;1;94,617003;142;0;189286;173950;105000;122500;26668
6_0;3;0;0;8;10;0;0;0;42;21;4;0;0;0;0;0;0;2;42;21;4;0;0;93,211279;142;85200;168412;204480;157500;280000;53336
7_0;2;0;0;4;2;0;0;0;43;19;1;1;0;0;0;0;0;2;43;19;1;1;0;93,373316;142;17040;225638;204480;105000;148000;26668
8_0;2;0;0;4;1;0;0;0;56;19;0;0;0;0;0;0;0;3;56;19;0;0;1;95,159407;142;8520;173240;253754;105000;37500;26668
9_0;3;0;0;8;9;0;0;0;58;22;2;0;0;0;0;0;0;3;58;22;2;0;0;93,563763;142;76680;195676;306720;157500;225500;53336
10_0;3;0;0;8;10;0;0;0;60;24;1;0;0;0;0;0;0;3;60;24;1;0;0;93,412247;142;85200;200788;306720;157500;227500;53336
11_0;2;0;0;4;0;0;0;0;79;31;5;0;0;0;0;0;0;3;79;31;5;0;0;94,779040;142;0;280450;306720;105000;123500;26668
12_0;3;0;0;8;8;0;0;0;76;24;4;1;0;0;0;0;0;4;76;24;4;1;1;93,530303;142;68160;324612;334836;157500;319500;53336
13_0;3;0;0;8;9;0;0;0;69;19;2;0;0;0;0;0;0;5;69;19;2;0;1;93,662879;142;76680;210586;425432;157500;222500;53336
14_0;2;0;0;4;0;0;0;0;82;41;0;0;0;0;0;0;0;5;82;41;0;0;0;94,055135;142;0;291100;511200;105000;41000;26668
15_0;3;0;0;8;7;0;0;0;85;24;3;1;0;0;0;0;0;5;85;24;3;1;0;93,258628;142;59640;338954;511200;157500;282500;53336
16_0;2;0;0;5;0;0;0;0;77;30;3;1;0;0;0;0;0;5;77;30;3;1;0;93,700547;142;0;338954;511200;105000;159000;33335
17_0;3;0;0;5;0;0;0;0;105;34;3;0;0;0;0;0;0;5;105;34;3;0;0;94,627525;142;0;334694;511200;157500;89500;33335
18_0;3;1;0;5;0;0;0;0;87;42;4;0;0;0;0;0;0;6;87;42;4;0;1;94,080988;142;0;323902;608044;442500;116000;33335
19_0;3;0;0;8;5;0;0;0;97;33;2;1;0;0;0;0;0;6;97;33;2;1;0;93,386544;142;42600;385246;613440;157500;236000;53336
20_0;3;0;0;5;0;0;0;0;105;44;5;0;0;0;0;0;0;7;105;44;5;0;1;94,044256;142;0;372750;705030;157500;136500;33335
21_0;3;0;0;6;1;0;0;0;98;45;7;0;0;0;0;0;0;8;98;45;7;0;1;93,656623;142;8520;370336;769072;157500;193000;40002
22_0;3;0;0;7;3;0;0;0;109;36;5;1;0;0;0;0;0;9;109;36;5;1;1;92,499215;142;25560;433810;898008;157500;257500;46669
23_0;3;1;0;7;1;0;0;0;126;56;6;0;0;0;0;0;0;10;126;56;6;0;1;93,157639;142;8520;456388;934218;442500;185500;46669
0_1;1;0;0;2;0;0;0;0;12;8;0;0;0;0;0;0;0;0;12;8;0;0;0;97,853535;142;0;48280;0;52500;8000;13334
1_1;1;0;0;3;0;0;0;0;14;1;0;0;0;0;0;0;0;0;14;1;0;0;0;98,547980;142;0;32660;0;52500;1000;20001
2_1;1;0;0;3;0;0;0;0;18;15;1;0;0;0;0;0;0;0;18;15;1;0;0;98,093434;142;0;85768;0;52500;33500;20001
3_1;1;0;0;3;0;0;0;0;31;11;1;0;0;0;0;0;0;0;31;11;1;0;0;97,730429;142;0;102098;0;52500;29500;20001
4_1;1;0;0;4;0;0;0;0;32;10;1;0;0;0;0;0;0;1;32;10;1;0;1;95,928030;142;0;101388;81792;52500;28500;26668
5_1;2;0;0;4;0;0;0;0;45;22;3;1;0;0;0;0;0;1;45;22;3;1;0;94,808502;142;0;248074;102240;105000;151000;26668
6_1;3;0;0;8;10;0;0;0;44;15;0;1;0;0;0;0;0;1;44;15;0;1;0;94,086700;142;85200;211580;102240;157500;273500;53336
7_1;2;0;0;4;2;0;0;0;40;18;2;0;0;0;0;0;0;1;40;18;2;0;0;96,069024;142;17040;145976;102240;105000;92000;26668
