Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;1;0;5;1;0;1;0;92,202381;172;0;16340;51256;52500;1000;6667
1_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;1;0;10;2;0;0;0;90,972222;162;0;30780;116640;52500;2000;6667
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;1;0;11;1;0;0;0;94,014550;152;0;28120;109440;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;6;1;0;0;0;0;0;1;0;21;6;1;0;0;94,102183;142;0;66598;102240;52500;24500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;7;1;0;0;0;0;0;1;1;23;7;1;0;1;94,948413;132;0;68508;99528;52500;25500;13334
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;1;2;24;11;1;0;1;92,238757;122;0;74908;211426;52500;29500;13334
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;9;1;0;0;0;0;0;3;2;31;9;1;2;0;88,446382;112;0;76048;324576;52500;27500;20001
7_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;32;10;2;3;0;0;0;0;0;2;32;10;2;0;0;92,847222;122;0;100772;175680;337500;267500;26668
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;10;3;0;0;0;0;0;0;2;28;10;3;0;0;93,327160;132;0;95304;190080;52500;65500;20001
9_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;23;14;0;0;0;0;0;0;0;2;23;14;0;0;0;93,221618;142;25560;88750;204480;105000;69500;33335
10_0;2;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;28;18;4;0;0;0;0;0;1;2;28;18;4;1;0;92,526596;152;18240;139232;226936;105000;129000;33335
11_0;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;26;13;3;1;0;0;0;0;0;2;26;13;3;0;0;93,268322;162;9720;126036;233280;390000;160500;26668
12_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;31;13;1;0;0;0;0;0;0;3;31;13;1;0;1;94,127358;172;0;130548;254904;52500;31500;13334
