Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;15;4;0;0;0;0;0;0;0;0;15;4;0;0;0;98,487103;106.296;0;32420.2;0;52500;4000;6667
1_0;1;0;0;1;0;0;0;0;16;12;1;0;0;0;0;0;0;0;16;12;1;0;0;97,450397;105.205;0;54075.3;0;52500;30500;6667
2_0;1;0;0;2;0;0;0;0;39;11;0;0;0;0;0;0;2;0;39;11;0;2;0;95,359623;84.6637;0;68154.2;90251.5;52500;11000;13334
3_0;1;0;0;2;0;0;0;0;36;15;2;0;0;0;0;0;3;0;36;15;2;1;0;93,549107;83.6099;0;75917.8;141552;52500;52000;13334
4_0;1;1;0;2;0;0;0;0;33;9;1;2;0;0;0;0;1;0;33;9;1;0;0;96,326885;93.2017;0;70926.5;67105.2;337500;174500;13334
5_0;2;0;0;3;0;0;0;0;47;18;1;0;0;0;0;0;1;1;47;18;1;0;1;95,934193;102.297;0;112425;139124;105000;36500;20001
6_0;3;1;0;4;2;0;0;0;48;26;3;1;0;0;0;0;1;1;48;26;3;1;0;94,325397;124.668;14960.2;233379;179523;442500;192000;26668
7_0;3;0;0;3;0;0;0;0;52;23;4;0;0;0;0;0;1;1;52;23;4;0;0;95,343915;128.355;0;176616;184831;157500;97000;20001
8_0;3;1;0;4;0;0;0;0;45;23;2;1;0;0;0;0;0;3;45;23;2;0;2;95,715939;169.512;0;208330;230875;442500;133500;26668
9_0;4;0;0;4;1;0;0;0;47;20;5;0;0;0;0;0;0;3;47;20;5;0;0;94,221230;155.618;9337.08;198413;336135;210000;131000;26668
10_0;3;0;0;3;1;0;0;0;48;21;2;0;0;0;0;0;0;3;48;21;2;0;0;94,332011;149.164;8949.82;180190;322194;157500;76500;20001
11_0;2;0;0;3;0;0;0;0;56;18;5;0;0;0;0;0;0;3;56;18;5;0;0;94,163360;125.69;0;172195;271490;105000;110500;20001
12_0;8;0;0;15;24;0;0;0;54;32;3;0;0;0;0;0;0;3;54;32;3;0;0;91,481481;106.296;153066;164971;229599;420000;531500;100005
13_0;4;0;0;7;7;1;0;0;51;24;1;0;0;0;0;0;0;4;51;24;1;0;1;92,428902;105.205;50498.4;134557;296678;210000;190500;46669
14_0;8;1;0;16;22;0;0;0;77;39;5;2;0;0;0;0;0;5;77;39;5;2;1;90,170846;84.6637;111756;267960;297339;705000;685500;106672
15_0;8;0;0;15;25;0;0;0;67;29;1;0;0;0;0;0;0;5;67;29;1;0;0;91,741642;83.6099;125415;135364;300996;420000;510000;100005
16_0;3;0;1;12;2;0;0;0;68;29;5;0;6;0;0;0;1;0;68;29;5;1;1;94,805801;93.2017;11184.2;328256;54429.8;4657500;2.1655e+06;80004
17_0;3;0;0;4;0;0;0;0;88;28;2;0;0;0;0;0;1;1;88;28;2;0;1;96,920970;102.297;0;199275;122757;157500;65000;26668
18_0;5;1;1;10;0;1;0;0;84;23;1;1;1;0;0;0;0;0;84;23;1;0;0;98,149452;124.668;7480.11;228393;0;5047500;468000;66670
19_0;6;0;0;6;0;3;1;0;78;30;3;0;0;0;0;0;0;0;78;30;3;0;0;97,934272;128.355;30805.2;240281;0;315000;159500;40002
20_0;6;0;0;5;0;0;0;0;93;27;1;0;0;0;0;0;1;0;93;27;1;1;0;97,717136;169.512;0;333769;61871.9;315000;45500;33335
21_0;5;0;0;4;0;0;0;0;86;27;1;0;0;0;0;0;1;0;86;27;1;0;0;97,472613;155.618;0;290072;112045;262500;45500;26668
22_0;4;0;0;4;0;0;0;0;79;38;3;0;0;0;0;0;2;1;79;38;3;1;1;96,503326;149.164;0;305338;227922;210000;93500;26668
23_0;4;0;0;6;1;1;0;0;84;37;5;0;0;0;0;0;3;1;84;37;5;1;0;95,363850;125.69;15082.8;272747;307940;210000;166500;40002
24_0;9;1;0;18;0;23;0;0;99;39;6;5;0;0;0;0;0;2;99;39;6;2;1;93,754890;106.296;146688;383409;148602;757500;943000;120006
25_0;8;0;0;17;18;7;0;0;82;34;2;0;0;0;0;0;1;2;82;34;2;1;0;94,729069;105.205;157807;208095;201047;420000;533500;113339
26_0;10;0;0;21;11;22;0;0;107;36;2;0;0;0;0;0;2;6;107;36;2;1;4;92,848441;84.6637;167634;202600;375229;525000;683500;140007
27_0;11;0;0;21;9;24;0;0;112;49;2;0;0;0;0;0;2;6;112;49;2;0;0;91,497726;83.6099;165548;228088;481593;577500;696500;140007
28_0;7;1;0;14;15;2;0;0;96;39;6;2;0;0;0;0;0;7;96;39;6;0;1;93,125406;93.2017;95065.7;230767;463026;652500;611500;93338
29_0;5;0;0;8;4;0;0;0;114;43;2;0;0;0;0;0;0;9;114;43;2;0;2;94,316667;102.297;24551.4;269860;542790;262500;154000;53336
0_1;1;0;0;1;0;0;0;0;21;5;1;0;0;0;0;0;0;0;21;5;1;0;0;97,772817;106.296;0;47726.8;0;52500;23500;6667
1_1;1;0;0;1;0;0;0;0;15;6;0;0;0;0;0;0;0;0;15;6;0;0;0;98,288690;105.205;0;36295.7;0;52500;6000;6667
2_1;1;0;0;2;0;0;0;0;37;9;1;0;0;0;0;0;0;0;37;9;1;0;0;98,092758;84.6637;0;65106.3;0;52500;27500;13334
3_1;1;0;0;2;0;0;0;0;41;12;1;0;0;0;0;0;0;1;41;12;1;0;1;96,862599;83.6099;0;74329.2;31437.3;52500;30500;13334
4_1;1;1;0;2;0;0;0;0;34;14;1;0;0;0;0;0;0;2;34;14;1;0;1;96,125992;93.2017;0;76798.2;68782.8;337500;32500;13334
5_1;2;0;0;3;0;0;0;0;66;19;1;0;0;0;0;0;0;2;66;19;1;0;0;95,297619;102.297;0;143626;147308;105000;37500;20001
6_1;3;1;0;4;2;0;0;0;46;25;1;0;0;0;0;0;0;2;46;25;1;0;0;95,396825;124.668;14960.2;152594;179523;442500;80500;26668
7_1;3;0;0;3;0;0;0;0;55;18;1;0;0;0;0;0;0;3;55;18;1;0;1;95,013228;128.355;0;156465;230654;157500;36500;20001
8_1;3;1;0;4;0;0;0;0;57;16;1;0;0;0;0;0;0;3;57;16;1;0;0;94,429563;169.512;0;204940;366146;442500;34500;26668
9_1;4;0;0;4;1;0;0;0;51;24;0;0;0;0;0;0;0;6;51;24;0;0;3;92,154431;155.618;9337.08;193744;535326;210000;42500;26668
10_1;3;0;0;3;1;0;0;0;51;22;1;0;0;0;0;0;0;6;51;22;1;0;0;90,709325;149.164;8949.82;184814;644387;157500;59000;20001
11_1;2;0;0;3;0;0;0;0;54;19;1;0;0;0;0;0;0;6;54;19;1;0;0;90,833333;125.69;0;153845;542981;105000;37500;20001
12_1;8;0;0;15;24;0;0;0;52;28;2;0;0;0;0;0;0;7;52;28;2;0;1;87,147817;106.296;153066;149665;523507;420000;509000;100005
13_1;4;0;0;7;7;1;0;0;48;25;3;0;0;0;0;0;1;9;48;25;3;1;2;87,695106;105.205;50498.4;139081;593356;210000;228500;46669
14_1;8;1;0;16;22;0;0;0;69;36;3;3;0;0;0;0;0;10;69;36;3;2;1;86,466323;84.6637;111756;249165;571310;705000;719000;106672
15_1;8;0;0;15;25;0;0;0;73;25;2;0;0;0;0;0;1;11;73;25;2;1;1;86,154130;83.6099;125415;139043;677408;420000;524500;100005
16_1;3;0;1;12;2;0;0;0;62;29;3;0;11;0;0;0;1;1;62;29;3;0;1;93,628319;93.2017;11184.2;337763;134210;4657500;3.801e+06;80004
17_1;3;0;0;4;0;0;0;0;84;32;4;0;0;0;0;0;2;1;84;32;4;1;0;96,222613;102.297;0;208277;186795;157500;106000;26668
18_1;5;1;1;10;0;1;0;0;92;43;4;4;2;0;0;0;0;0;92;43;4;2;1;95,019562;124.668;7480.11;627332;0;5047500;1.0985e+06;66670
19_1;6;0;0;6;0;3;1;0;99;24;3;0;0;0;0;0;0;2;99;24;3;0;2;97,411972;128.355;30805.2;265310;43512.3;315000;153500;40002
20_1;6;0;0;5;0;0;0;0;88;42;7;0;0;0;0;0;0;3;88;42;7;0;1;96,114045;169.512;0;406490;266981;315000;171500;33335
21_1;5;0;0;4;0;0;0;0;89;41;3;0;0;0;0;0;0;3;89;41;3;0;0;95,679773;155.618;0;351230;336135;262500;96500;26668
22_1;4;0;0;4;0;0;0;0;102;41;2;0;0;0;0;1;2;3;102;41;3;2;0;93,957355;149.164;0;360678;560855;210000;78000;26668
23_1;4;0;0;6;1;1;0;0;86;40;6;0;0;0;0;0;3;3;86;40;5;1;0;94,073748;125.69;15082.8;286825;459648;210000;188000;40002
24_1;9;1;0;18;0;23;0;0;93;36;4;4;0;0;0;0;0;4;93;36;4;1;1;93,717723;106.296;146688;303900;232150;757500;829500;120006
25_1;8;0;0;17;18;7;0;0;97;40;1;0;0;0;0;0;1;6;97;40;1;1;2;92,183099;105.205;157807;240814;442176;420000;521000;113339
26_1;10;0;0;21;11;22;0;0;106;38;4;0;0;0;0;0;1;6;106;38;4;0;0;92,279077;84.6637;167634;210474;426705;525000;722500;140007
27_1;11;0;0;21;9;24;0;0;97;40;3;0;0;0;0;0;1;7;97;40;3;0;1;92,280702;83.6099;165548;197069;432013;577500;706000;140007
28_1;7;1;0;14;15;2;0;0;121;36;3;3;0;0;0;0;0;10;121;36;3;2;3;91,277615;93.2017;95065.7;346990;558837;652500;626500;93338
29_1;5;0;0;8;4;0;0;0;120;52;6;0;0;0;0;0;0;12;120;52;6;0;2;92,000000;102.297;24551.4;311393;842521;262500;237000;53336
0_2;1;0;0;1;0;0;0;0;19;5;2;0;0;0;0;0;0;0;19;5;2;0;0;97,752976;106.296;0;48152;0;52500;42000;6667
1_2;1;0;0;1;0;0;0;0;17;8;0;0;0;0;0;0;0;0;17;8;0;0;0;97,941468;105.205;0;43660;0;52500;8000;6667
2_2;1;0;0;2;0;0;0;0;36;8;0;0;0;0;0;0;0;0;36;8;0;0;0;98,263889;84.6637;0;59264.6;0;52500;8000;13334
3_2;1;0;0;2;0;0;0;0;36;14;2;0;0;0;0;0;0;0;36;14;2;0;0;97,797619;83.6099;0;74245.6;0;52500;51000;13334
4_2;1;1;0;2;0;0;0;0;30;14;1;1;0;0;0;0;0;1;30;14;1;1;1;95,019841;93.2017;0;120603;66546;337500;106000;13334
5_2;2;0;0;3;0;0;0;0;48;23;2;0;0;0;0;0;0;1;48;23;2;0;0;96,746032;102.297;0;127667;73654.1;105000;60000;20001
6_2;3;1;0;4;2;0;0;0;53;21;3;0;0;0;0;0;1;3;53;21;3;1;2;94,758598;124.668;14960.2;164188;216050;442500;113500;26668
7_2;3;0;0;3;0;0;0;0;64;16;0;0;0;0;0;0;1;5;64;16;0;0;2;91,951058;128.355;0;164294;460538;157500;16000;20001
8_2;3;1;0;4;0;0;0;0;55;23;0;2;0;0;0;0;0;5;55;23;0;1;0;91,003638;169.512;0;312072;610243;442500;170000;26668
9_2;4;0;0;4;1;0;0;0;49;20;3;0;0;0;0;0;0;5;49;20;3;0;0;91,903108;155.618;9337.08;192499;560225;210000;94000;26668
10_2;3;0;0;3;1;0;0;0;51;28;1;0;0;0;0;0;1;5;51;28;1;1;0;91,200397;149.164;8949.82;202713;582186;157500;65000;20001
