Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;99,131944;142;0;7100;0;52500;1000;13334
1_0;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;99,218750;142;0;6390;0;52500;0;20001
2_0;1;0;0;2;0;0;0;0;7;8;0;0;0;0;0;0;0;0;7;8;0;0;0;97,699653;142;0;37630;0;52500;8000;13334
3_0;1;0;0;2;0;0;0;0;8;2;0;0;0;0;0;0;0;1;8;2;0;0;1;95,199653;142;0;22720;55806;52500;2000;13334
4_0;1;0;0;3;0;0;0;0;11;2;0;0;0;0;0;0;0;1;11;2;0;0;0;91,970486;142;0;29110;102240;52500;2000;20001
5_0;1;0;0;3;0;0;0;0;12;2;1;0;0;0;0;0;0;1;12;2;1;0;0;94,363426;142;0;36068;102240;52500;20500;20001
6_0;1;0;0;3;0;0;0;0;15;7;0;0;0;0;0;0;0;1;15;7;0;0;0;93,721065;142;0;51830;102240;52500;7000;20001
7_0;1;0;0;3;0;0;0;0;11;4;1;0;0;0;0;0;0;1;11;4;1;0;0;94,218750;142;0;39618;102240;52500;22500;20001
8_0;1;0;0;3;0;0;0;0;21;4;0;0;0;0;0;0;0;1;21;4;0;0;0;95,160590;142;0;56090;102240;52500;4000;20001
9_0;1;0;0;3;0;0;0;0;23;7;0;0;0;0;0;0;0;1;23;7;0;0;0;94,769965;142;0;68870;102240;52500;7000;20001
10_0;1;0;0;3;0;0;0;0;21;7;1;0;0;0;0;0;0;1;21;7;1;0;0;94,752604;142;0;69438;102240;52500;25500;20001
11_0;1;0;0;3;0;0;0;0;19;12;0;0;0;0;0;0;0;1;19;12;0;0;0;94,596354;142;0;74550;102240;52500;12000;20001
12_0;1;0;0;3;0;0;0;0;25;9;1;0;0;0;0;0;0;1;25;9;1;0;0;94,318576;142;0;83638;102240;52500;27500;20001
13_0;1;0;0;3;0;0;0;0;19;8;0;0;0;0;0;0;0;1;19;8;0;0;0;94,943576;142;0;63190;102240;52500;8000;20001
14_0;1;0;0;3;0;0;0;0;22;15;2;0;0;0;0;0;0;1;22;15;2;0;0;95,076389;142;0;99116;102240;52500;52000;20001
15_0;3;1;0;9;13;0;0;0;25;12;1;0;0;0;0;0;0;2;25;12;1;0;1;91,128472;142;110760;92158;159892;442500;271000;60003
16_0;1;0;0;3;0;0;0;0;25;15;1;0;0;0;0;0;0;2;25;15;1;0;0;92,538194;142;0;100678;204480;52500;33500;20001
17_0;1;0;0;3;0;0;0;0;33;11;1;0;0;0;0;0;0;2;33;11;1;0;0;93,666088;142;0;106358;204480;52500;29500;20001
18_0;1;0;0;3;0;0;0;0;24;14;1;0;0;0;0;0;0;2;24;14;1;0;0;93,883102;142;0;95708;204480;52500;32500;20001
19_0;1;0;0;3;0;0;0;0;33;15;0;0;0;0;0;0;0;3;33;15;0;0;1;91,762153;142;0;112890;291384;52500;15000;20001
20_0;2;0;0;4;3;0;0;0;30;14;2;0;0;0;0;0;0;3;30;14;2;0;0;92,217262;142;25560;113316;306720;105000;106500;26668
21_0;1;1;0;4;1;0;0;0;36;16;1;0;0;0;0;0;0;3;36;16;1;0;0;92,276786;142;8520;126948;306720;337500;53000;26668
22_0;2;0;0;5;4;0;0;0;39;13;0;0;0;0;0;0;0;4;39;13;0;0;1;90,724206;142;34080;119990;377010;105000;87000;33335
23_0;3;0;0;8;11;0;0;0;33;23;1;0;0;0;0;0;1;5;33;23;1;1;1;86,537698;142;93720;140438;536618;157500;245000;53336
24_0;1;1;0;4;0;0;0;0;31;14;1;1;0;0;0;0;0;6;31;14;1;0;1;87,318948;142;0;114310;611736;337500;106000;26668
25_0;1;1;0;4;0;0;0;0;35;12;2;0;0;0;0;0;0;7;35;12;2;0;1;86,401290;142;0;118286;660300;337500;49000;26668
26_0;1;0;0;3;0;0;0;0;35;18;4;0;0;0;0;0;0;8;35;18;4;0;1;86,210938;142;0;144982;757286;52500;92000;20001
27_0;3;0;0;7;8;0;0;0;40;13;1;0;0;0;0;0;0;8;40;13;1;0;0;84,518229;142;68160;126948;817920;157500;179500;46669
28_0;1;0;0;3;0;0;0;0;39;15;1;0;0;0;0;0;0;8;39;15;1;0;0;85,505642;142;0;130498;817920;52500;33500;20001
29_0;2;0;0;3;0;0;0;0;41;13;3;0;0;0;0;0;0;10;41;13;3;0;2;85,900849;142;0;138734;899144;105000;68500;20001
30_0;2;0;0;3;0;0;0;0;40;17;1;0;0;0;0;0;0;10;40;17;1;0;0;84,232253;142;0;138308;1.0224e+06;105000;35500;20001
31_0;1;0;0;3;0;0;0;0;45;18;3;0;0;0;0;0;1;10;45;18;3;1;0;83,883102;142;0;161454;1.02496e+06;52500;73500;20001
