Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;33;16;0;0;0;0;0;0;0;0;33;16;0;0;0;97,736111;142;0;115730;0;52500;16000;6667
1_0;1;0;0;2;0;0;0;0;35;11;1;0;0;0;0;0;0;0;35;11;1;0;0;97,836111;142;0;110618;0;52500;29500;13334
2_0;2;0;0;4;0;0;0;0;62;33;2;0;1;0;0;0;0;1;62;33;2;0;2;94,708333;142;0;447300;93720;105000;404500;26668
3_0;2;0;0;4;0;0;0;0;69;25;4;0;1;0;0;0;0;2;69;25;4;0;2;93,745833;142;0;449146;190280;105000;433500;26668
4_0;2;0;0;3;0;0;0;0;62;27;3;0;1;0;0;0;0;1;62;27;3;0;0;96,744444;142;0;230608;102240;105000;417000;20001
5_0;3;0;0;5;0;0;0;0;90;41;2;1;1;0;0;0;0;0;90;41;2;1;0;97,388889;142;0;400440;0;157500;486000;33335
0_1;1;0;0;1;0;0;0;0;31;10;1;0;0;0;0;0;0;0;31;10;1;0;0;98,058333;142;0;99258;0;52500;28500;6667
1_1;1;0;0;2;0;0;0;0;33;11;3;0;0;0;0;0;0;0;33;11;3;0;0;97,730556;142;0;116014;0;52500;66500;13334
2_1;2;0;0;4;0;0;0;0;61;27;1;0;0;0;0;0;0;0;61;27;1;0;0;97,931944;142;0;211438;0;105000;45500;26668
3_1;2;0;0;4;0;0;0;0;67;22;1;0;1;0;0;0;0;0;67;22;1;0;1;95,873611;142;0;421882;0;105000;375000;26668
4_1;2;0;0;3;0;0;0;0;65;31;3;1;0;0;0;0;0;0;65;31;3;1;0;96,906944;142;0;316234;0;105000;160000;20001
5_1;3;0;0;5;0;0;0;0;85;36;3;0;0;0;0;0;0;0;85;36;3;0;0;98,058333;142;0;297774;0;157500;91500;33335
0_2;1;0;0;1;0;0;0;0;29;12;0;0;0;0;0;0;0;0;29;12;0;0;0;98,125000;142;0;95850;0;52500;12000;6667
1_2;1;0;0;2;0;0;0;0;32;13;0;0;0;0;0;0;0;0;32;13;0;0;0;97,944444;142;0;105080;0;52500;13000;13334
2_2;2;0;0;4;0;0;0;0;68;22;1;0;0;0;0;0;0;0;68;22;1;0;0;97,925000;142;0;212148;0;105000;40500;26668
3_2;2;0;0;4;0;0;0;0;59;20;2;0;0;0;0;0;0;0;59;20;2;0;0;98,120833;142;0;192126;0;105000;57000;26668
4_2;2;0;0;3;0;0;0;0;54;23;3;0;1;0;0;0;0;0;54;23;3;0;1;96,022222;142;0;406688;0;105000;413000;20001
5_2;3;0;0;5;0;0;0;0;95;41;3;0;1;0;0;0;0;0;95;41;3;0;1;96,445370;142;0;545138;0;157500;431000;33335
0_3;1;0;0;1;0;0;0;0;28;6;0;0;0;0;0;0;0;0;28;6;0;0;0;98,500000;142;0;76680;0;52500;6000;6667
1_3;1;0;0;2;0;0;0;0;34;14;3;0;0;0;0;0;0;0;34;14;3;0;0;97,522222;142;0;126664;0;52500;69500;13334
2_3;2;0;0;4;0;0;0;0;70;23;2;0;0;0;0;0;0;0;70;23;2;0;0;97,808333;142;0;224076;0;105000;60000;26668
3_3;2;0;0;4;0;0;0;0;63;22;2;1;0;0;0;0;0;0;63;22;2;1;0;97,245833;142;0;281586;0;105000;132500;26668
4_3;2;0;0;3;0;0;0;0;55;24;3;1;0;0;0;0;0;0;55;24;3;1;0;97,309722;142;0;275054;0;105000;153000;20001
5_3;3;0;0;5;0;0;0;0;80;28;6;0;1;0;0;0;0;0;80;28;6;0;1;96,800000;142;0;490752;0;157500;473500;33335
0_4;1;0;0;1;0;0;0;0;28;12;0;0;0;0;0;0;0;0;28;12;0;0;0;98,166667;142;0;93720;0;52500;12000;6667
1_4;1;0;0;2;0;0;0;0;29;15;3;0;0;0;0;0;0;0;29;15;3;0;0;97,675000;142;0;118854;0;52500;70500;13334
2_4;2;0;0;4;0;0;0;0;65;28;4;1;1;0;0;0;0;0;65;28;4;1;1;94,870833;142;0;524406;0;105000;510000;26668
3_4;2;0;0;4;0;0;0;0;75;22;2;0;0;0;0;0;0;0;75;22;2;0;0;97,731944;142;0;231886;0;105000;59000;26668
4_4;2;0;0;3;0;0;0;0;63;24;1;0;1;0;0;0;0;1;63;24;1;0;2;95,591667;142;0;419042;31666;105000;377000;20001
5_4;3;0;0;5;0;0;0;0;82;48;5;0;1;0;0;0;0;0;82;48;5;0;0;97,766667;142;0;342504;0;157500;475000;33335
