Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;16;4;1;0;0;0;0;0;0;0;16;4;1;0;0;98,108974;106.296;0;37628.7;0;52500;22500;20001
1_0;1;0;0;3;0;0;0;0;19;5;0;0;0;0;0;0;0;0;19;5;0;0;0;97,943376;105.205;0;40503.9;0;52500;5000;20001
2_0;1;0;0;3;0;0;0;0;31;17;1;0;0;0;0;0;0;0;31;17;1;0;0;97,801363;84.6637;0;71032.8;0;52500;35500;20001
3_0;1;0;0;3;0;0;0;0;36;15;1;0;0;0;0;0;0;0;36;15;1;0;0;97,709644;83.6099;0;73075.1;0;52500;33500;20001
4_0;1;0;0;3;0;0;0;0;36;14;0;0;0;0;0;0;0;1;36;14;0;0;1;96,871069;93.2017;0;76425.4;34857.4;52500;14000;20001
5_0;2;1;0;4;0;0;0;0;43;18;3;0;0;0;0;0;0;1;43;18;3;0;0;96,828125;102.297;0;113243;73654.1;390000;73500;26668
0_1;1;0;0;3;0;0;0;0;17;5;0;0;0;0;0;0;0;0;17;5;0;0;0;98,103632;106.296;0;37735;0;52500;5000;20001
1_1;1;0;0;3;0;0;0;0;16;2;0;0;0;0;0;0;0;0;16;2;0;0;0;98,504274;105.205;0;29457.4;0;52500;2000;20001
2_1;1;0;0;3;0;0;0;0;34;15;2;0;0;0;0;0;0;1;34;15;2;0;1;96,774109;84.6637;0;74334.7;29886.3;52500;52000;20001
3_1;1;0;0;3;0;0;0;0;30;9;2;0;0;0;0;0;0;2;30;9;2;0;1;94,706499;83.6099;0;58359.7;110532;52500;46000;20001
