Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;14;2;0;0;0;0;0;0;0;0;14;2;0;0;0;98,664530;142;0;35500;0;52500;2000;6667
1_0;1;0;0;1;0;0;0;0;20;7;0;0;0;0;0;0;0;0;20;7;0;0;0;97,649573;142;0;62480;0;52500;7000;6667
2_0;1;0;0;2;0;0;0;0;36;10;2;0;0;0;0;0;0;1;36;10;2;0;1;96,556604;142;0;114736;71852;52500;47000;13334
3_0;1;0;0;2;0;0;0;0;36;12;1;0;0;0;0;0;1;1;36;12;1;1;0;94,719602;142;0;115588;170542;52500;30500;13334
4_0;1;1;0;2;0;0;0;0;37;10;2;1;0;0;0;0;0;1;37;10;2;0;0;95,888365;142;0;120558;102240;337500;120500;13334
5_0;2;0;0;3;0;0;0;0;44;23;1;0;0;0;0;0;0;2;44;23;1;0;1;96,199653;142;0;163868;146970;105000;41500;20001
0_1;1;0;0;1;0;0;0;0;16;3;1;0;0;0;0;0;1;0;16;3;1;1;0;95,320513;142;0;47428;76964;52500;21500;6667
1_1;1;0;0;1;0;0;0;0;13;7;0;0;0;0;0;0;1;0;13;7;0;0;0;94,364316;142;0;47570;102240;52500;7000;6667
2_1;1;0;0;2;0;0;0;0;27;9;0;0;0;0;0;0;1;0;27;9;0;0;0;96,580189;142;0;83070;102240;52500;9000;13334
3_1;1;0;0;2;0;0;0;0;36;15;2;0;0;0;0;0;1;0;36;15;2;0;0;95,733753;142;0;128936;102240;52500;52000;13334
4_1;1;1;0;2;0;0;0;0;40;21;0;1;0;0;0;0;0;1;40;21;0;0;1;96,464885;142;0;148532;43026;337500;94500;13334
5_1;2;0;0;3;0;0;0;0;53;23;2;0;0;0;0;0;0;2;53;23;2;0;1;95,326389;142;0;187866;194398;105000;60000;20001
0_2;1;0;0;1;0;0;0;0;16;9;1;0;0;0;0;0;0;0;16;9;1;0;0;97,574786;142;0;64468;0;52500;27500;6667
1_2;1;0;0;1;0;0;0;0;13;4;1;0;0;0;0;0;0;0;13;4;1;0;0;98,349359;142;0;43878;0;52500;22500;6667
2_2;1;0;0;2;0;0;0;0;30;16;2;0;0;0;0;0;0;1;30;16;2;0;1;96,483229;142;0;118996;71568;52500;53000;13334
3_2;1;0;0;2;0;0;0;0;29;18;3;0;0;0;0;0;0;1;29;18;3;0;0;95,762579;142;0;127374;102240;52500;73500;13334
4_2;1;1;0;2;0;0;0;0;35;19;1;0;0;0;0;0;0;1;35;19;1;0;0;95,652516;142;0;133338;102240;337500;37500;13334
5_2;2;0;0;3;0;0;0;0;56;22;3;0;0;0;0;0;0;1;56;22;3;0;0;96,350694;142;0;196244;102240;105000;77500;20001
0_3;1;0;0;1;0;0;0;0;12;3;1;0;0;0;0;0;0;0;12;3;1;0;0;98,536325;142;0;38908;0;52500;21500;6667
1_3;1;0;0;1;0;0;0;0;15;3;0;0;0;0;0;0;0;0;15;3;0;0;0;98,477564;142;0;40470;0;52500;3000;6667
2_3;1;0;0;2;0;0;0;0;31;12;4;0;0;0;0;0;0;0;31;12;4;0;0;97,796122;142;0;119422;0;52500;86000;13334
3_3;1;0;0;2;0;0;0;0;34;18;1;0;0;0;0;0;0;0;34;18;1;0;0;97,631027;142;0;128368;0;52500;36500;13334
4_3;1;1;0;2;0;0;0;0;30;17;2;1;0;0;0;0;0;0;30;17;2;1;0;96,362683;142;0;197096;0;337500;127500;13334
5_3;2;0;0;3;0;0;0;0;51;25;2;0;0;0;0;0;0;0;51;25;2;0;0;97,685764;142;0;189286;0;105000;62000;20001
0_4;1;0;0;1;0;0;0;0;18;6;0;0;0;0;0;0;0;0;18;6;0;0;0;97,916667;142;0;55380;0;52500;6000;6667
1_4;1;0;0;1;0;0;0;0;12;9;1;0;0;0;0;0;0;0;12;9;1;0;0;97,895299;142;0;55948;0;52500;27500;6667
2_4;1;0;0;2;0;0;0;0;34;12;0;0;0;0;0;0;0;0;34;12;0;0;0;98,034591;142;0;106500;0;52500;12000;13334
3_4;1;0;0;2;0;0;0;0;34;8;1;0;0;0;0;0;0;0;34;8;1;0;0;98,155136;142;0;99968;0;52500;26500;13334
4_4;1;1;0;2;0;0;0;0;30;12;2;1;0;0;0;0;0;0;30;12;2;1;0;96,624738;142;0;182896;0;337500;122500;13334
5_4;2;0;0;3;0;0;0;0;49;25;5;0;0;0;0;0;0;1;49;25;5;0;1;97,326389;142;0;199510;19170;105000;117500;20001
