Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;27;12;2;0;0;0;0;0;0;0;27;12;2;0;0;98,019444;106.296;0;75788.9;0;52500;49000;13334
1_0;1;0;0;2;0;0;0;0;25;9;0;0;0;0;0;0;0;0;25;9;0;0;0;98,458333;105.205;0;58388.7;0;52500;9000;13334
2_0;2;0;0;3;0;0;0;0;62;16;3;0;1;0;0;0;0;0;62;16;3;0;1;96,050000;84.6637;0;240783;0;105000;406000;20001
3_0;2;0;0;3;0;0;0;0;58;27;1;0;0;0;0;0;0;0;58;27;1;0;0;97,994444;83.6099;0;120733;0;105000;45500;20001
4_0;2;0;0;4;0;0;0;0;68;24;0;0;0;0;0;0;0;0;68;24;0;0;0;97,916667;93.2017;0;139802;0;105000;24000;26668
5_0;3;1;0;5;0;0;0;0;96;45;3;1;0;0;0;0;0;0;96;45;3;1;0;97,248148;102.297;0;304028;0;442500;174000;33335
0_1;1;0;0;2;0;0;0;0;33;12;2;0;0;0;0;0;1;0;33;12;2;1;0;97,400000;106.296;0;85355.6;14137.3;52500;49000;13334
1_1;1;0;0;2;0;0;0;0;29;16;1;0;0;0;0;0;1;0;29;16;1;0;0;95,808333;105.205;0;83006.7;75747.5;52500;34500;13334
2_1;2;0;0;3;0;0;0;0;65;20;1;0;0;0;0;0;1;0;65;20;1;0;0;97,043056;84.6637;0;119291;60957.8;105000;38500;20001
3_1;2;0;0;3;0;0;0;0;59;27;2;0;1;0;0;0;2;0;59;27;2;1;1;94,619444;83.6099;0;249576;74329.2;105000;398500;20001
4_1;2;0;0;4;0;0;0;0;61;34;3;0;1;0;0;0;2;0;61;34;3;0;1;93,570833;93.2017;0;297220;134210;105000;424000;26668
5_1;3;1;0;5;0;0;0;0;106;36;1;2;1;0;0;0;0;0;106;36;1;0;1;96,400000;102.297;0;397732;0;442500;536000;33335
0_2;1;0;0;2;0;0;0;0;31;16;2;0;0;0;0;0;0;0;31;16;2;0;0;97,630556;106.296;0;90670.4;0;52500;53000;13334
1_2;1;0;0;2;0;0;0;0;30;16;2;0;0;0;0;0;0;0;30;16;2;0;0;97,672222;105.205;0;88161.7;0;52500;53000;13334
2_2;2;0;0;3;0;0;0;0;52;28;1;0;0;0;0;0;0;0;52;28;1;0;0;98,091667;84.6637;0;116328;0;105000;46500;20001
3_2;2;0;0;3;0;0;0;0;55;24;2;0;1;0;0;0;0;0;55;24;2;0;1;96,020833;83.6099;0;239542;0;105000;395500;20001
4_2;2;0;0;4;0;0;0;0;64;23;3;0;0;0;0;0;2;0;64;23;3;2;0;96,281944;93.2017;0;141853;107648;105000;78500;26668
5_2;3;1;0;5;0;0;0;0;94;35;5;2;0;0;0;0;0;0;94;35;5;0;0;97,840741;102.297;0;238557;0;442500;274500;33335
0_3;1;0;0;2;0;0;0;0;26;13;2;0;0;0;0;0;0;0;26;13;2;0;0;98,005556;106.296;0;76320.4;0;52500;50000;13334
1_3;1;0;0;2;0;0;0;0;33;13;0;0;0;0;0;0;1;0;33;13;0;1;0;96,863889;105.205;0;79429.7;39346.6;52500;13000;13334
2_3;2;0;0;3;0;0;0;0;68;22;1;0;0;0;0;0;1;0;68;22;1;0;0;96,925000;84.6637;0;126487;60957.8;105000;40500;20001
3_3;2;0;0;3;0;0;0;0;60;24;3;0;0;0;0;0;1;0;60;24;3;0;0;96,941667;83.6099;0;123910;60199.2;105000;79500;20001
4_3;2;0;0;4;0;0;0;0;55;32;2;0;0;0;0;0;1;0;55;32;2;0;0;96,870833;93.2017;0;142878;67105.2;105000;69000;26668
5_3;3;1;0;5;0;0;0;0;95;32;3;1;0;0;0;0;0;0;95;32;3;0;0;97,969444;102.297;0;224338;0;442500;161000;33335
0_4;1;0;0;2;0;0;0;0;31;11;0;0;0;0;0;0;0;0;31;11;0;0;0;98,097222;106.296;0;72812.7;0;52500;11000;13334
1_4;1;0;0;2;0;0;0;0;28;13;1;0;0;0;0;0;0;0;28;13;1;0;0;98,016667;105.205;0;75116.3;0;52500;31500;13334
2_4;2;0;0;3;0;0;0;0;60;29;4;0;0;0;0;0;0;0;60;29;4;0;0;97,755556;84.6637;0;136816;0;105000;103000;20001
3_4;2;0;0;3;0;0;0;0;60;22;5;0;0;0;0;0;0;0;60;22;5;0;0;97,902778;83.6099;0;126251;0;105000;114500;20001
4_4;2;0;0;4;0;0;0;0;57;22;2;0;1;0;0;0;0;0;57;22;2;0;1;96,034722;93.2017;0;266091;0;105000;393500;26668
5_4;3;1;0;5;0;0;0;0;80;29;2;0;1;0;0;0;0;0;80;29;2;0;1;96,907407;102.297;0;341673;0;442500;400500;33335
