Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;11;5;0;0;0;0;0;0;0;0;11;5;0;0;0;98,584402;142;0;37630;0;52500;5000;20001
1_0;1;0;0;3;0;0;0;0;16;7;0;0;0;0;0;0;0;0;16;7;0;0;0;97,970085;142;0;53960;0;52500;7000;20001
2_0;1;0;0;3;0;0;0;0;34;10;1;0;0;0;0;0;1;0;34;10;1;1;0;97,717505;142;0;105648;18034;52500;28500;20001
3_0;1;0;0;3;0;0;0;0;24;10;3;0;0;0;0;0;1;0;24;10;3;0;0;96,378407;142;0;94004;102240;52500;65500;20001
4_0;1;0;0;3;0;0;0;0;30;13;2;0;0;0;0;0;1;0;30;13;2;0;0;96,074423;142;0;110476;102240;52500;50000;20001
5_0;2;1;0;4;0;0;0;0;47;16;4;1;0;0;0;0;0;0;47;16;4;0;0;97,939236;142;0;168554;0;390000;163500;26668
0_1;1;0;0;3;0;0;0;0;15;7;0;0;0;0;0;0;0;0;15;7;0;0;0;98,050214;142;0;51830;0;52500;7000;20001
1_1;1;0;0;3;0;0;0;0;14;5;0;0;0;0;0;0;0;0;14;5;0;0;0;98,344017;142;0;44020;0;52500;5000;20001
2_1;1;0;0;3;0;0;0;0;35;9;2;0;0;0;0;0;0;0;35;9;2;0;0;97,974319;142;0;109766;0;52500;46000;20001
3_1;1;0;0;3;0;0;0;0;34;9;3;0;0;0;0;0;1;0;34;9;3;1;0;97,389937;142;0;112464;28968;52500;64500;20001
4_1;1;0;0;3;0;0;0;0;27;12;2;0;0;0;0;0;1;0;27;12;2;0;0;96,244759;142;0;101246;102240;52500;49000;20001
5_1;2;1;0;4;0;0;0;0;48;22;3;1;0;0;0;0;0;2;48;22;3;0;2;97,557292;142;0;182896;16898;390000;151000;26668
0_2;1;0;0;3;0;0;0;0;15;5;0;0;0;0;0;0;0;0;15;5;0;0;0;98,263889;142;0;46150;0;52500;5000;20001
1_2;1;0;0;3;0;0;0;0;16;4;0;0;0;0;0;0;0;0;16;4;0;0;0;98,290598;142;0;45440;0;52500;4000;20001
2_2;1;0;0;3;0;0;0;0;32;17;0;0;0;0;0;0;0;0;32;17;0;0;0;97,851153;142;0;116440;0;52500;17000;20001
3_2;1;0;0;3;0;0;0;0;30;13;0;0;0;0;0;0;0;0;30;13;0;0;0;98,139413;142;0;100820;0;52500;13000;20001
4_2;1;0;0;3;0;0;0;0;34;14;1;0;0;0;0;0;0;1;34;14;1;0;1;96,354822;142;0;117008;80514;52500;32500;20001
5_2;2;1;0;4;0;0;0;0;50;23;2;0;0;0;0;0;0;1;50;23;2;0;0;96,531250;142;0;181476;102240;390000;60000;26668
0_3;1;0;0;3;0;0;0;0;14;12;1;0;0;0;0;0;0;0;14;12;1;0;0;97,414530;142;0;68728;0;52500;30500;20001
1_3;1;0;0;3;0;0;0;0;18;10;1;0;0;0;0;0;0;0;18;10;1;0;0;97,307692;142;0;71568;0;52500;28500;20001
2_3;1;0;0;3;0;0;0;0;35;11;0;0;0;0;0;0;0;0;35;11;0;0;0;98,047694;142;0;105790;0;52500;11000;20001
3_3;1;0;0;3;0;0;0;0;33;17;2;0;0;0;0;0;0;1;33;17;2;0;1;97,424004;142;0;128226;11360;52500;54000;20001
4_3;1;0;0;3;0;0;0;0;38;15;1;0;0;0;0;0;0;2;38;15;1;0;1;94,800839;142;0;128368;153360;52500;33500;20001
5_3;2;1;0;4;0;0;0;0;53;20;1;1;0;0;0;0;0;2;53;20;1;1;0;94,446181;142;0;249778;204480;390000;112000;26668
0_4;1;0;0;3;0;0;0;0;18;7;1;0;0;0;0;0;0;0;18;7;1;0;0;97,628205;142;0;63048;0;52500;25500;20001
1_4;1;0;0;3;0;0;0;0;20;5;1;0;0;0;0;0;0;0;20;5;1;0;0;97,681624;142;0;61628;0;52500;23500;20001
2_4;1;0;0;3;0;0;0;0;31;15;1;0;0;0;0;0;0;1;31;15;1;0;1;97,497379;142;0;113458;22152;52500;33500;20001
3_4;1;0;0;3;0;0;0;0;29;14;2;0;0;0;0;0;0;1;29;14;2;0;0;96,061321;142;0;111186;102240;52500;51000;20001
4_4;1;0;0;3;0;0;0;0;30;11;1;0;0;0;0;0;0;4;30;11;1;0;3;93,448637;142;0;99968;255032;52500;29500;20001
5_4;2;1;0;4;0;0;0;0;39;24;4;0;0;0;0;0;0;4;39;24;4;0;0;92,914931;142;0;170542;408960;390000;98000;26668
