Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;41;22;1;0;0;0;0;0;2;0;41;22;1;2;0;96,247896;142;0;154638;98548;105000;40500;20001
1_0;1;0;0;4;0;0;0;0;36;23;0;1;0;0;0;0;1;0;36;23;0;0;0;96,325758;142;0;145692;102240;52500;96500;26668
2_0;2;0;0;4;0;0;0;0;82;35;2;1;0;0;0;0;0;0;82;35;2;0;0;97,886383;142;0;287408;0;105000;145500;26668
3_0;2;0;0;5;0;0;0;0;83;36;4;0;0;0;0;0;0;0;83;36;4;0;0;97,805973;142;0;298342;0;105000;110000;33335
4_0;2;0;0;5;0;0;0;0;82;28;3;1;0;0;0;0;2;0;82;28;3;3;0;96,964286;142;0;343924;68870;105000;157000;33335
5_0;3;0;0;6;0;0;0;0;119;42;3;1;0;0;0;0;2;1;119;42;3;1;1;96,306250;142;0;462494;292804;157500;171000;40002
0_1;2;0;0;3;0;0;0;0;45;15;2;0;0;0;0;0;0;0;45;15;2;0;0;97,805135;142;0;148106;0;105000;52000;20001
1_1;1;0;0;4;0;0;0;0;39;18;0;1;0;0;0;0;0;0;39;18;0;1;0;96,896044;142;0;209450;0;52500;91500;26668
2_1;2;0;0;4;0;0;0;0;73;29;2;0;0;0;0;0;0;0;73;29;2;0;0;98,179825;142;0;247506;0;105000;66000;26668
3_1;2;0;0;5;0;0;0;0;82;42;4;1;0;0;0;0;1;1;82;42;4;2;1;96,309524;142;0;388512;113316;105000;189500;33335
4_1;2;0;0;5;0;0;0;0;91;26;9;1;0;0;0;0;1;1;91;26;9;1;0;95,654762;142;0;386382;204480;105000;266000;33335
5_1;3;0;0;6;0;0;0;0;135;48;5;1;0;0;0;0;0;3;135;48;5;0;2;96,934722;142;0;451702;175086;157500;214000;40002
0_2;2;0;0;3;0;0;0;0;43;22;4;0;0;0;0;0;0;0;43;22;4;0;0;97,430556;142;0;173382;0;105000;96000;20001
1_2;1;0;0;4;0;0;0;0;39;13;1;0;0;0;0;0;0;0;39;13;1;0;0;98,150253;142;0;124818;0;52500;31500;26668
2_2;2;0;0;4;0;0;0;0;85;34;2;1;0;0;0;0;0;1;85;34;2;1;1;97,149123;142;0;362526;25134;105000;144500;26668
3_2;2;0;0;5;0;0;0;0;85;41;1;0;0;0;0;0;0;2;85;41;1;0;1;97,024854;142;0;302318;102240;105000;59500;33335
4_2;2;0;0;5;0;0;0;0;88;31;3;1;0;0;0;0;0;3;88;31;3;1;1;95,524227;142;0;365224;243388;105000;160000;33335
5_2;3;0;0;6;0;0;0;0;118;54;2;1;0;0;0;0;0;5;118;54;2;1;2;95,804167;142;0;489616;368348;157500;164500;40002
0_3;2;0;0;3;0;0;0;0;34;14;5;0;0;0;0;0;0;0;34;14;5;0;0;97,979798;142;0;136320;0;105000;106500;20001
1_3;1;0;0;4;0;0;0;0;46;18;1;1;0;0;0;0;0;0;46;18;1;1;0;96,603535;142;0;229188;0;52500;110000;26668
2_3;2;0;0;4;0;0;0;0;79;28;4;0;0;0;0;0;0;0;79;28;4;0;0;98,035714;142;0;267102;0;105000;102000;26668
3_3;2;0;0;5;0;0;0;0;86;36;4;0;0;0;0;0;0;0;86;36;4;0;0;97,758981;142;0;304732;0;105000;110000;33335
4_3;2;0;0;5;0;0;0;0;85;36;2;0;0;0;0;0;0;1;85;36;2;0;1;97,715121;142;0;292946;17750;105000;73000;33335
5_3;3;0;0;6;0;0;0;0;124;51;5;0;0;0;0;0;0;2;124;51;5;0;1;97,059028;142;0;433100;168270;157500;143500;40002
0_4;2;0;0;3;0;0;0;0;47;20;1;0;0;0;0;0;0;0;47;20;1;0;0;97,603114;142;0;161738;0;105000;38500;20001
1_4;1;0;0;4;0;0;0;0;38;18;2;0;0;0;0;0;0;0;38;18;2;0;0;97,899832;142;0;141716;0;52500;55000;26668
2_4;2;0;0;4;0;0;0;0;94;35;2;1;0;0;0;0;0;1;94;35;2;1;1;96,621763;142;0;384536;74834;105000;145500;26668
3_4;2;0;0;5;0;0;0;0;79;30;0;0;0;0;0;0;0;1;79;30;0;0;0;97,384085;142;0;253470;102240;105000;30000;33335
4_4;2;0;0;5;0;0;0;0;83;36;2;1;0;0;0;0;0;2;83;36;2;1;1;96,336675;142;0;363946;134190;105000;146500;33335
5_4;3;0;0;6;0;0;0;0;135;55;1;0;0;0;0;0;0;2;135;55;1;0;0;96,806250;142;0;448578;204480;157500;73500;40002
