Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;18;5;0;0;0;0;0;0;0;0;18;5;0;0;0;97,858796;142;0;52540;0;52500;5000;6667
1_0;1;0;0;1;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,292824;142;0;41890;0;52500;5000;6667
2_0;1;0;0;2;0;0;0;0;27;11;4;0;0;0;0;0;0;0;27;11;4;0;0;97,798032;142;0;108062;0;52500;85000;13334
3_0;1;0;0;2;0;0;0;0;33;13;0;0;0;0;0;0;0;0;33;13;0;0;0;97,815394;142;0;107210;0;52500;13000;13334
4_0;1;0;0;2;0;0;0;0;37;10;1;0;1;0;0;0;0;0;37;10;1;0;1;93,399884;142;0;323902;0;52500;363000;13334
5_0;1;0;0;2;0;0;0;0;40;13;0;0;0;0;0;0;0;0;40;13;0;0;0;98,341049;142;0;122120;0;52500;13000;13334
6_0;1;0;0;3;0;0;0;0;45;18;0;1;1;0;0;0;0;0;45;18;0;1;1;94,103009;142;0;434094;0;52500;426000;20001
7_0;1;0;0;3;0;0;0;0;41;18;3;0;1;0;0;0;0;1;41;18;3;0;2;93,780864;142;0;364798;93010;52500;408000;20001
8_0;2;0;0;4;0;0;0;0;57;21;3;0;1;0;0;0;0;1;57;21;3;0;1;94,807581;142;0;407398;102240;105000;411000;26668
9_0;2;0;0;4;0;0;0;0;64;21;5;2;1;0;0;0;0;0;64;21;5;2;0;96,148727;142;0;378004;0;105000;595000;26668
10_0;2;0;0;4;0;0;0;0;72;26;1;0;1;0;0;0;0;1;72;26;1;0;2;95,163484;142;0;443892;30814;105000;379000;26668
11_0;2;0;0;4;0;0;0;0;69;35;0;1;1;0;0;0;0;0;69;35;0;1;0;97,318287;142;0;329014;0;105000;443000;26668
0_1;1;0;0;1;0;0;0;0;16;6;1;0;0;0;0;0;0;0;16;6;1;0;0;97,719907;142;0;55948;0;52500;24500;6667
1_1;1;0;0;1;0;0;0;0;15;7;2;0;0;0;0;0;0;0;15;7;2;0;0;97,494213;142;0;61486;0;52500;44000;6667
2_1;1;0;0;2;0;0;0;0;23;10;0;0;0;0;0;0;0;0;23;10;0;0;0;98,423032;142;0;77390;0;52500;10000;13334
3_1;1;0;0;2;0;0;0;0;24;14;0;0;0;0;0;0;0;0;24;14;0;0;0;98,148148;142;0;90880;0;52500;14000;13334
4_1;1;0;0;2;0;0;0;0;33;11;0;0;0;0;0;0;0;0;33;11;0;0;0;97,931134;142;0;101530;0;52500;11000;13334
