Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;17;7;0;0;0;0;0;0;0;0;17;7;0;0;0;97,714120;142;0;56090;0;52500;7000;13334
1_0;1;0;0;3;0;0;0;0;16;4;0;0;0;0;0;0;0;0;16;4;0;0;0;98,148148;142;0;45440;0;52500;4000;20001
2_0;1;1;0;4;0;0;0;0;34;14;0;2;0;0;0;0;0;0;34;14;0;2;0;94,646991;142;0;262700;0;337500;161000;26668
3_0;1;0;0;3;0;0;0;0;32;14;0;0;0;0;0;0;0;0;32;14;0;0;0;97,800926;142;0;107920;0;52500;14000;20001
4_0;1;0;0;3;0;0;0;0;32;9;0;0;0;0;0;0;0;0;32;9;0;0;0;98,090278;142;0;93720;0;52500;9000;20001
5_0;1;0;0;3;0;0;0;0;45;17;2;0;0;0;0;0;1;1;45;17;2;1;1;96,018519;142;0;153786;139302;52500;54000;20001
6_0;1;1;0;4;0;0;0;0;46;24;2;2;0;0;0;0;0;1;46;24;2;1;0;95,150463;142;0;254748;102240;337500;208000;26668
7_0;1;0;0;3;0;0;0;0;51;20;2;0;0;0;0;0;0;1;51;20;2;0;0;96,232639;142;0;175086;102240;52500;57000;20001
8_0;2;1;0;4;0;0;0;0;59;27;3;0;0;0;0;0;0;2;59;27;3;0;1;96,535012;142;0;216834;123256;390000;82500;26668
9_0;1;0;0;3;0;0;0;0;62;21;1;0;0;0;0;0;1;2;62;21;1;1;0;95,583044;142;0;196528;236998;52500;39500;20001
10_0;2;1;0;4;0;0;0;0;72;22;4;2;0;0;0;0;0;2;72;22;4;1;0;94,716435;142;0;314104;204480;390000;243000;26668
11_0;2;0;0;4;0;0;0;0;78;28;4;0;0;0;0;0;0;2;78;28;4;0;0;96,173611;142;0;264972;204480;105000;102000;26668
0_1;1;0;0;2;0;0;0;0;16;9;0;0;0;0;0;0;0;0;16;9;0;0;0;97,569444;142;0;59640;0;52500;9000;13334
1_1;1;0;0;3;0;0;0;0;14;9;2;0;0;0;0;0;0;0;14;9;2;0;0;97,349537;142;0;65036;0;52500;46000;20001
2_1;1;1;0;4;0;0;0;0;33;8;3;0;0;0;0;0;0;0;33;8;3;0;0;97,809606;142;0;107494;0;337500;63500;26668
3_1;1;0;0;3;0;0;0;0;28;16;1;0;0;0;0;0;0;0;28;16;1;0;0;97,760417;142;0;109908;0;52500;34500;20001
4_1;1;0;0;3;0;0;0;0;33;11;2;0;0;0;0;0;1;0;33;11;2;1;0;97,228009;142;0;111186;24850;52500;48000;20001
5_1;1;0;0;3;0;0;0;0;38;19;3;0;0;0;0;0;1;0;38;19;3;0;0;96,581790;142;0;149384;102240;52500;74500;20001
6_1;1;1;0;4;0;0;0;0;44;16;0;0;0;0;0;0;1;0;44;16;0;0;0;96,720679;142;0;139160;102240;337500;16000;26668
7_1;1;0;0;3;0;0;0;0;44;17;3;0;0;0;0;0;1;1;44;17;3;0;1;96,340664;142;0;156484;112890;52500;72500;20001
8_1;2;1;0;4;0;0;0;0;66;26;3;1;0;0;0;0;0;3;66;26;3;0;2;95,863715;142;0;232596;173382;390000;155000;26668
9_1;1;0;0;3;0;0;0;0;57;23;1;0;0;0;0;1;0;3;57;23;2;0;0;94,172454;142;0;191558;380418;52500;41500;20001
10_1;2;1;0;4;0;0;0;0;62;21;3;0;0;0;0;0;0;5;62;21;2;0;2;94,645544;142;0;204480;321062;390000;76500;26668
11_1;2;0;0;4;0;0;0;0;77;28;2;0;0;0;0;0;0;6;77;28;2;0;1;93,408565;142;0;253186;555504;105000;65000;26668
0_2;1;0;0;2;0;0;0;0;12;5;0;0;0;0;0;0;0;0;12;5;0;0;0;98,379630;142;0;39760;0;52500;5000;13334
1_2;1;0;0;3;0;0;0;0;15;8;1;0;0;0;0;0;0;0;15;8;1;0;0;97,575231;142;0;59498;0;52500;26500;20001
2_2;1;1;0;4;0;0;0;0;36;10;1;0;0;0;0;0;0;0;36;10;1;0;0;97,760417;142;0;109908;0;337500;28500;26668
3_2;1;0;0;3;0;0;0;0;31;9;2;0;0;0;0;0;0;0;31;9;2;0;0;97,936921;142;0;101246;0;52500;46000;20001
4_2;1;0;0;3;0;0;0;0;35;9;3;0;0;0;0;0;0;0;35;9;3;0;0;97,664931;142;0;114594;0;52500;64500;20001
5_2;1;0;0;3;0;0;0;0;45;17;1;0;0;0;0;0;0;0;45;17;1;0;0;97,976466;142;0;148958;0;52500;35500;20001
6_2;1;1;0;4;0;0;0;0;49;19;3;0;0;0;0;0;0;2;49;19;3;0;2;95,526620;142;0;172814;156484;337500;74500;26668
7_2;1;0;0;3;0;0;0;0;45;23;1;0;0;0;0;0;0;2;45;23;1;0;0;94,967207;142;0;165998;204480;52500;41500;20001
8_2;2;1;0;4;0;0;0;0;60;22;1;1;0;0;0;0;0;3;60;22;1;1;1;95,005787;142;0;270368;219816;390000;114000;26668
9_2;1;0;0;3;0;0;0;0;59;19;2;0;0;0;0;0;0;4;59;19;2;0;1;94,256366;142;0;189286;374454;52500;56000;20001
10_2;2;1;0;4;0;0;0;0;72;13;5;1;0;0;0;0;0;4;72;13;5;1;0;92,881944;142;0;289680;408960;390000;179000;26668
11_2;2;0;0;4;0;0;0;0;75;38;3;0;0;0;0;0;0;4;75;38;3;0;0;94,366898;142;0;282154;408960;105000;93500;26668
0_3;1;0;0;2;0;0;0;0;14;5;0;0;0;0;0;0;1;0;14;5;0;1;0;94,739583;142;0;44020;85058;52500;5000;13334
1_3;1;0;0;3;0;0;0;0;15;6;0;0;0;0;0;0;1;0;15;6;0;0;0;93,836806;142;0;48990;102240;52500;6000;20001
2_3;1;1;0;4;0;0;0;0;27;9;3;1;0;0;0;0;0;0;27;9;3;0;0;97,936921;142;0;101246;0;337500;138000;26668
3_3;1;0;0;3;0;0;0;0;33;14;1;0;0;0;0;0;0;0;33;14;1;0;0;97,659144;142;0;114878;0;52500;32500;20001
4_3;1;0;0;3;0;0;0;0;24;14;3;0;0;0;0;0;0;0;24;14;3;0;0;97,853009;142;0;105364;0;52500;69500;20001
5_3;1;0;0;3;0;0;0;0;46;18;1;0;0;0;0;0;0;0;46;18;1;0;0;97,908951;142;0;153928;0;52500;36500;20001
6_3;1;1;0;4;0;0;0;0;46;26;0;0;0;0;0;0;1;0;46;26;0;1;0;97,409336;142;0;171820;18886;337500;26000;26668
7_3;1;0;0;3;0;0;0;0;53;15;4;0;0;0;0;0;1;0;53;15;4;0;0;96,236497;142;0;174802;102240;52500;89000;20001
8_3;2;1;0;4;0;0;0;0;63;29;5;2;0;0;0;0;0;1;63;29;5;1;1;96,519097;142;0;319642;22010;390000;268500;26668
9_3;1;0;0;3;0;0;0;0;60;19;2;0;0;0;0;0;0;2;60;19;2;0;1;96,274595;142;0;191416;174234;52500;56000;20001
10_3;2;1;0;4;0;0;0;0;52;27;1;0;0;0;0;0;0;2;52;27;1;0;0;95,957755;142;0;192268;204480;390000;45500;26668
11_3;2;0;0;4;0;0;0;0;74;25;3;0;0;0;0;0;0;4;74;25;3;0;2;95,770833;142;0;243104;275764;105000;80500;26668
