Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;22;12;2;0;0;0;0;0;0;0;22;12;2;0;0;97,784722;142;0;90596;0;52500;49000;6667
1_0;1;0;0;1;0;0;0;0;22;12;0;0;0;0;0;0;0;0;22;12;0;0;0;98,020833;142;0;80940;0;52500;12000;6667
2_0;1;0;0;2;0;0;0;0;47;26;0;0;0;0;0;0;0;1;47;26;0;0;1;97,456597;142;0;173950;34080;52500;26000;13334
3_0;2;0;0;3;0;0;0;0;44;16;2;0;0;0;0;0;0;1;44;16;2;0;0;96,930556;142;0;148816;102240;105000;53000;20001
4_0;1;0;0;2;0;0;0;0;48;12;0;0;0;0;0;0;0;1;48;12;0;0;0;97,083333;142;0;136320;102240;52500;12000;13334
5_0;2;0;0;4;0;0;0;0;76;22;0;0;0;0;0;0;0;4;76;22;0;0;3;95,850694;142;0;224360;284710;105000;22000;26668
6_0;2;1;0;4;0;0;0;0;64;22;4;0;0;0;0;0;0;4;64;22;4;0;0;94,888889;142;0;218112;408960;390000;96000;26668
7_0;2;0;0;3;0;0;0;0;71;24;4;0;0;0;0;0;0;5;71;24;4;0;1;94,347222;142;0;238702;454826;105000;98000;20001
8_0;3;0;0;5;0;0;0;0;115;27;5;0;0;0;0;0;0;7;115;27;5;0;2;94,248264;142;0;345770;595122;157500;119500;33335
9_0;3;1;0;5;0;0;0;0;103;42;6;1;0;0;0;0;0;7;103;42;6;1;0;92,917535;142;0;442898;715680;442500;226500;33335
10_0;3;1;0;5;0;0;0;0;92;34;6;1;0;0;0;0;0;8;92;34;6;1;1;93,013889;142;0;396748;746068;442500;218500;33335
11_0;3;0;0;6;0;0;0;0;125;44;6;0;0;0;0;0;0;8;125;44;6;0;0;93,945139;142;0;420178;817920;157500;155000;40002
0_1;1;0;0;1;0;0;0;0;26;8;0;0;0;0;0;0;1;0;26;8;0;1;0;95,656250;142;0;78100;99542;52500;8000;6667
1_1;1;0;0;1;0;0;0;0;26;15;1;0;0;0;0;0;1;0;26;15;1;0;0;94,986111;142;0;102808;102240;52500;33500;6667
2_1;1;0;0;2;0;0;0;0;44;19;2;0;0;0;0;0;1;0;44;19;2;0;0;96,826389;142;0;157336;102240;52500;56000;13334
3_1;2;0;0;3;0;0;0;0;56;21;0;0;0;0;0;0;1;0;56;21;0;0;0;96,562500;142;0;178920;102240;105000;21000;20001
4_1;1;0;0;2;0;0;0;0;50;15;2;0;0;0;0;0;1;0;50;15;2;0;0;96,809028;142;0;158756;102240;52500;52000;13334
5_1;2;0;0;4;0;0;0;0;75;29;1;0;0;0;0;0;2;2;75;29;1;1;2;95,690972;142;0;246938;281728;105000;47500;26668
6_1;2;1;0;4;0;0;0;0;74;30;4;2;0;0;0;0;0;3;74;30;4;0;1;96,015046;142;0;269516;219390;390000;251000;26668
7_1;2;0;0;3;0;0;0;0;79;28;3;0;0;0;0;0;2;4;79;28;3;2;1;94,525463;142;0;262274;409386;105000;83500;20001
8_1;3;0;0;5;0;0;0;0;98;36;2;0;0;0;0;0;3;5;98;36;2;1;1;93,328125;142;0;320636;770776;157500;73000;33335
9_1;3;1;0;5;0;0;0;0;92;39;0;3;0;0;0;0;0;5;92;39;0;0;0;94,932292;142;0;317796;511200;442500;259500;33335
10_1;3;1;0;5;0;0;0;0;103;37;1;1;0;0;0;0;0;6;103;37;1;1;1;94,309896;142;0;404558;526252;442500;129000;33335
11_1;3;0;0;6;0;0;0;0;129;54;5;0;0;0;0;0;1;6;129;54;5;1;0;94,668056;142;0;452270;638006;157500;146500;40002
0_2;1;0;0;1;0;0;0;0;23;11;1;0;0;0;0;0;0;0;23;11;1;0;0;97,920139;142;0;85058;0;52500;29500;6667
1_2;1;0;0;1;0;0;0;0;30;11;0;0;0;0;0;0;0;0;30;11;0;0;0;97,673611;142;0;95140;0;52500;11000;6667
2_2;1;0;0;2;0;0;0;0;43;16;2;0;0;0;0;0;0;0;43;16;2;0;0;98,206597;142;0;146686;0;52500;53000;13334
3_2;2;0;0;3;0;0;0;0;42;16;1;0;0;0;0;0;0;0;42;16;1;0;0;98,291667;142;0;139728;0;105000;34500;20001
4_2;1;0;0;2;0;0;0;0;42;20;2;0;0;0;0;0;0;1;42;20;2;0;1;97,184028;142;0;155916;74408;52500;57000;13334
5_2;2;0;0;4;0;0;0;0;75;25;2;0;0;0;0;0;0;2;75;25;2;0;1;97,196759;142;0;240406;103518;105000;62000;26668
6_2;2;1;0;4;0;0;0;0;77;38;5;0;0;0;0;0;0;2;77;38;5;0;0;95,920139;142;0;296070;204480;390000;130500;26668
7_2;2;0;0;3;0;0;0;0;72;30;1;0;0;0;0;0;0;4;72;30;1;0;2;95,658565;142;0;243388;289254;105000;48500;20001
8_2;3;0;0;5;0;0;0;0;102;50;5;0;0;0;0;0;0;6;102;50;5;0;2;94,805556;142;0;383400;466328;157500;142500;33335
9_2;3;1;0;5;0;0;0;0;102;45;3;1;0;0;0;0;0;6;102;45;3;1;0;93,592014;142;0;434804;613440;442500;174000;33335
10_2;3;1;0;5;0;0;0;0;105;27;2;0;0;0;0;0;0;7;105;27;2;0;1;94,298611;142;0;309986;622670;442500;64000;33335
11_2;3;0;0;6;0;0;0;0;129;53;10;0;0;0;0;0;1;8;129;53;10;1;1;93,754167;142;0;473570;803578;157500;238000;40002
0_3;1;0;0;1;0;0;0;0;26;8;0;0;0;0;0;0;0;0;26;8;0;0;0;98,090278;142;0;78100;0;52500;8000;6667
1_3;1;0;0;1;0;0;0;0;24;11;0;0;0;0;0;0;0;0;24;11;0;0;0;97,986111;142;0;82360;0;52500;11000;6667
2_3;1;0;0;2;0;0;0;0;51;18;4;0;0;0;0;0;0;0;51;18;4;0;0;97,810764;142;0;179062;0;52500;92000;13334
3_3;2;0;0;3;0;0;0;0;50;17;0;0;0;0;0;0;0;1;50;17;0;0;1;97,612847;142;0;154780;40470;105000;17000;20001
4_3;1;0;0;2;0;0;0;0;47;24;1;0;0;0;0;0;0;1;47;24;1;0;0;96,633681;142;0;173098;102240;52500;42500;13334
5_3;2;0;0;4;0;0;0;0;76;37;5;0;0;0;0;0;0;1;76;37;5;0;0;96,793981;142;0;291100;102240;105000;129500;26668
6_3;2;1;0;4;0;0;0;0;85;21;3;0;0;0;0;0;0;1;85;21;3;0;0;97,086806;142;0;255174;102240;390000;76500;26668
7_3;2;0;0;3;0;0;0;0;73;29;4;0;0;0;0;0;0;1;73;29;4;0;0;97,070602;142;0;257162;102240;105000;103000;20001
8_3;3;0;0;5;0;0;0;0;103;33;0;0;0;0;0;0;0;2;103;33;0;0;1;97,049479;142;0;313110;169548;157500;33000;33335
9_3;3;1;0;5;0;0;0;0;99;43;7;0;0;0;0;0;0;2;99;43;7;0;0;96,507812;142;0;366786;204480;442500;172500;33335
10_3;3;1;0;5;0;0;0;0;93;48;1;0;0;0;0;0;1;4;93;48;1;1;2;95,786458;142;0;339238;350030;442500;66500;33335
11_3;3;0;0;6;0;0;0;0;127;52;10;0;0;0;0;0;1;4;127;52;10;0;0;95,218750;142;0;466470;511200;157500;237000;40002
0_4;1;0;0;1;0;0;0;0;28;10;1;0;0;0;0;0;0;0;28;10;1;0;0;97,729167;142;0;92868;0;52500;28500;6667
1_4;1;0;0;1;0;0;0;0;22;17;1;0;0;0;0;0;0;0;22;17;1;0;0;97,555556;142;0;99968;0;52500;35500;6667
2_4;1;0;0;2;0;0;0;0;47;17;2;0;0;0;0;0;0;0;47;17;2;0;0;98,067708;142;0;158046;0;52500;54000;13334
3_4;2;0;0;3;0;0;0;0;50;24;4;0;0;0;0;0;0;0;50;24;4;0;0;97,628472;142;0;193972;0;105000;98000;20001
4_4;1;0;0;2;0;0;0;0;48;19;1;0;0;0;0;0;0;0;48;19;1;0;0;98,031250;142;0;161028;0;52500;37500;13334
5_4;2;0;0;4;0;0;0;0;81;23;2;0;0;0;0;0;0;1;81;23;2;0;1;97,671296;142;0;247506;38198;105000;60000;26668
6_4;2;1;0;4;0;0;0;0;68;26;2;2;0;0;0;0;0;1;68;26;2;2;0;96,078704;142;0;378856;102240;390000;210000;26668
7_4;2;0;0;3;0;0;0;0;76;29;4;0;0;0;0;0;0;2;76;29;4;0;1;96,512731;142;0;263552;164294;105000;103000;20001
8_4;3;0;0;5;0;0;0;0;96;41;3;0;0;0;0;0;1;2;96;41;3;1;0;96,322049;142;0;335404;266250;157500;96500;33335
9_4;3;1;0;5;0;0;0;0;103;40;3;3;0;0;0;0;0;2;103;40;3;2;0;95,683160;142;0;501686;204480;442500;316000;33335
10_4;3;1;0;5;0;0;0;0;95;40;7;2;0;0;0;0;0;2;95;40;7;2;0;95,691840;142;0;500266;204480;442500;316500;33335
11_4;3;0;0;6;0;0;0;0;122;43;4;0;0;0;0;0;0;2;122;43;4;0;0;97,037500;142;0;401292;204480;157500;117000;40002
