Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;18;9;4;0;0;0;0;0;0;0;18;9;4;0;0;97,287037;142;0;83212;0;52500;83000;13334
1_0;1;0;0;1;0;0;0;0;18;10;2;0;0;0;0;0;0;0;18;10;2;0;0;97,509259;142;0;76396;0;52500;47000;6667
2_0;1;0;0;3;0;0;0;0;39;18;0;0;1;0;0;0;0;0;39;18;0;0;1;94,358796;142;0;346054;0;52500;352500;20001
3_0;1;0;0;2;0;0;0;0;39;19;2;0;0;0;0;0;0;0;39;19;2;0;0;97,608796;142;0;146686;0;52500;56000;13334
4_0;1;0;0;2;0;0;0;0;35;17;2;0;0;0;0;0;0;0;35;17;2;0;0;97,840278;142;0;132486;0;52500;54000;13334
5_0;2;0;0;3;0;0;0;0;59;26;1;0;1;0;0;0;0;0;59;26;1;0;1;95,476852;142;0;416202;0;105000;379000;20001
6_0;2;0;0;4;0;0;0;0;59;29;1;0;0;0;0;0;1;0;59;29;1;1;0;97,623457;142;0;212858;5822;105000;47500;26668
7_0;2;1;0;4;0;0;0;0;61;18;1;3;0;0;0;0;0;0;61;18;1;2;0;96,304012;142;0;340090;0;390000;257000;26668
8_0;2;0;0;3;0;0;0;0;68;32;1;0;0;0;0;0;0;0;68;32;1;0;0;98,039352;142;0;240548;0;105000;50500;20001
9_0;2;0;0;3;0;0;0;0;74;35;0;0;0;0;0;0;1;1;74;35;0;1;1;97,234954;142;0;257020;82218;105000;35000;20001
10_0;2;1;0;4;0;0;0;0;67;35;1;2;0;0;0;0;1;2;67;35;1;2;1;94,842593;142;0;397458;235294;390000;200500;26668
11_0;3;0;0;4;0;0;0;0;98;46;4;0;0;0;0;0;1;3;98;46;4;0;1;95,281481;142;0;358692;364940;157500;120000;26668
0_1;1;0;0;2;0;0;0;0;22;8;1;0;0;0;0;0;0;0;22;8;1;0;0;97,574074;142;0;74408;0;52500;26500;13334
1_1;1;0;0;1;0;0;0;0;18;10;1;0;0;0;0;0;0;0;18;10;1;0;0;97,666667;142;0;71568;0;52500;28500;6667
2_1;1;0;0;3;0;0;0;0;39;14;3;0;1;0;0;0;0;0;39;14;3;0;1;94,307870;142;0;349178;0;52500;404000;20001
3_1;1;0;0;2;0;0;0;0;36;20;3;0;0;0;0;0;0;0;36;20;3;0;0;97,587963;142;0;147964;0;52500;75500;13334
4_1;1;0;0;2;0;0;0;0;34;16;3;0;0;0;0;0;0;0;34;16;3;0;0;97,842593;142;0;132344;0;52500;71500;13334
5_1;2;0;0;3;0;0;0;0;54;28;1;0;0;0;0;0;1;0;54;28;1;1;0;97,572531;142;0;199368;23998;105000;46500;20001
6_1;2;0;0;4;0;0;0;0;58;24;2;0;0;0;0;0;1;0;58;24;2;0;0;96,700617;142;0;201356;102240;105000;61000;26668
7_1;2;1;0;4;0;0;0;0;55;25;0;1;0;0;0;0;0;0;55;25;0;0;0;97,915123;142;0;191842;0;390000;98500;26668
8_1;2;0;0;3;0;0;0;0;76;30;4;0;0;0;0;0;0;0;76;30;4;0;0;97,828704;142;0;266392;0;105000;104000;20001
9_1;2;0;0;3;0;0;0;0;70;29;3;0;0;0;0;0;0;0;70;29;3;0;0;97,995370;142;0;245944;0;105000;84500;20001
10_1;2;1;0;4;0;0;0;0;79;31;1;0;0;0;0;0;0;0;79;31;1;0;0;97,871528;142;0;261138;0;390000;49500;26668
11_1;3;0;0;4;0;0;0;0;98;35;1;0;0;0;0;0;0;1;98;35;1;0;1;97,435185;142;0;312968;80372;157500;53500;26668
0_2;1;0;0;2;0;0;0;0;15;7;0;0;0;0;0;0;0;0;15;7;0;0;0;98,310185;142;0;51830;0;52500;7000;13334
1_2;1;0;0;1;0;0;0;0;16;5;1;0;0;0;0;0;0;0;16;5;1;0;0;98,268519;142;0;53108;0;52500;23500;6667
2_2;1;0;0;3;0;0;0;0;32;19;0;0;0;0;0;0;0;0;32;19;0;0;0;98,009259;142;0;122120;0;52500;19000;20001
3_2;1;0;0;2;0;0;0;0;43;15;0;0;0;0;0;0;0;0;43;15;0;0;0;97,812500;142;0;134190;0;52500;15000;13334
4_2;1;0;0;2;0;0;0;0;39;13;2;0;1;0;0;0;0;1;39;13;2;0;2;92,793981;142;0;341510;100536;52500;384500;13334
5_2;2;0;0;3;0;0;0;0;63;19;2;0;1;0;0;0;0;0;63;19;2;0;0;97,770062;142;0;205190;0;105000;390500;20001
6_2;2;0;0;4;0;0;0;0;57;33;2;0;0;0;0;0;0;0;57;33;2;0;0;97,557099;142;0;224786;0;105000;70000;26668
7_2;2;1;0;4;0;0;0;0;59;25;1;0;1;0;0;0;0;0;59;25;1;0;1;95,507716;142;0;413362;0;390000;378000;26668
8_2;2;0;0;3;0;0;0;0;69;26;5;0;0;0;0;0;1;1;69;26;5;1;1;97,730324;142;0;244950;33512;105000;118500;20001
9_2;2;0;0;3;0;0;0;0;67;25;1;0;0;0;0;0;1;2;67;25;1;0;1;96,384259;142;0;218538;225070;105000;43500;20001
10_2;2;1;0;4;0;0;0;0;79;44;2;0;0;0;0;0;1;2;79;44;2;0;0;95,031250;142;0;302886;306720;390000;81000;26668
11_2;3;0;0;4;0;0;0;0;94;42;2;0;0;0;0;0;1;2;94;42;2;0;0;95,853704;142;0;329156;306720;157500;79000;26668
0_3;1;0;0;2;0;0;0;0;20;5;0;0;0;0;0;0;0;0;20;5;0;0;0;98,148148;142;0;56800;0;52500;5000;13334
1_3;1;0;0;1;0;0;0;0;22;4;1;0;0;0;0;0;0;0;22;4;1;0;0;97,944444;142;0;63048;0;52500;22500;6667
2_3;1;0;0;3;0;0;0;0;42;15;1;0;0;0;0;0;0;0;42;15;1;0;0;97,768519;142;0;136888;0;52500;33500;20001
3_3;1;0;0;2;0;0;0;0;40;14;1;0;0;0;0;0;0;0;40;14;1;0;0;97,884259;142;0;129788;0;52500;32500;13334
4_3;1;0;0;2;0;0;0;0;35;11;0;0;0;0;0;0;0;0;35;11;0;0;0;98,275463;142;0;105790;0;52500;11000;13334
5_3;2;0;0;3;0;0;0;0;56;19;0;0;0;0;0;0;0;0;56;19;0;0;0;98,117284;142;0;173240;0;105000;19000;20001
6_3;2;0;0;4;0;0;0;0;50;26;4;0;0;0;0;0;1;0;50;26;4;1;0;97,797840;142;0;199652;2982;105000;100000;26668
7_3;2;1;0;4;0;0;0;0;55;33;0;2;1;0;0;0;0;0;55;33;0;1;1;94,547840;142;0;501686;0;390000;514500;26668
8_3;2;0;0;3;0;0;0;0;80;24;2;0;0;0;0;0;0;0;80;24;2;0;0;97,976852;142;0;248216;0;105000;61000;20001
9_3;2;0;0;3;0;0;0;0;74;37;0;0;0;0;0;0;0;0;74;37;0;0;0;97,858796;142;0;262700;0;105000;37000;20001
10_3;2;1;0;4;0;0;0;0;93;27;3;1;0;0;0;0;0;0;93;27;3;1;0;97,028935;142;0;364514;0;390000;156000;26668
11_3;3;0;0;4;0;0;0;0;93;34;3;0;0;0;0;0;0;0;93;34;3;0;0;97,984259;142;0;309134;0;157500;89500;26668
0_4;1;0;0;2;0;0;0;0;20;3;1;0;0;0;0;0;0;0;20;3;1;0;0;98,175926;142;0;55948;0;52500;21500;13334
