Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;24;13;0;0;0;0;0;0;0;0;24;13;0;0;0;97,847222;106.296;0;65903.4;0;52500;13000;20001
1_0;1;0;0;3;0;0;0;0;21;12;2;0;0;0;0;0;0;0;21;12;2;0;0;97,836806;105.205;0;65542.7;0;52500;49000;20001
2_0;2;0;0;3;0;0;0;0;53;28;3;0;0;0;0;0;0;1;53;28;3;0;1;96,861111;84.6637;0;123355;29716.9;105000;83500;20001
3_0;2;0;0;3;0;0;0;0;54;15;1;0;0;0;0;0;0;2;54;15;1;0;1;96,522569;83.6099;0;95649.8;71820.9;105000;33500;20001
4_0;2;0;0;3;0;0;0;0;57;19;2;0;0;0;0;0;1;2;57;19;2;1;0;94,241319;93.2017;0;121442;187708;105000;56000;20001
5_0;3;0;0;4;0;0;0;0;75;38;1;0;0;0;0;0;2;2;75;38;1;1;0;94,652778;102.297;0;196309;276305;157500;56500;26668
6_0;4;1;0;4;0;0;0;0;69;39;0;3;0;0;0;0;0;3;69;39;0;1;1;94,731481;124.668;0;298830;268661;495000;259500;26668
7_0;4;0;0;4;0;0;0;0;74;26;3;0;0;0;0;0;1;5;74;26;3;1;2;93,715278;128.355;0;222311;474657;210000;81500;26668
8_0;6;1;0;5;0;0;0;0;95;35;6;1;0;0;0;0;0;6;95;35;6;0;1;94,780382;169.512;0;399201;620075;600000;219500;33335
9_0;7;1;0;6;0;0;0;0;102;37;3;0;0;0;0;0;0;7;102;37;3;0;1;93,968750;155.618;0;369126;712108;652500;92500;40002
10_0;5;0;0;5;0;0;0;0;110;38;4;0;0;0;0;0;0;9;110;38;4;0;2;92,872396;149.164;0;379771;845012;262500;112000;33335
11_0;5;1;0;8;0;0;0;0;125;54;2;0;0;0;0;0;0;10;125;54;2;0;1;93,085417;125.69;0;379961;871534;547500;91000;53336
0_1;1;0;0;3;0;0;0;0;23;10;1;0;0;0;0;0;0;0;23;10;1;0;0;97,989583;106.296;0;61545.3;0;52500;28500;20001
1_1;1;0;0;3;0;0;0;0;18;9;0;0;0;0;0;0;1;0;18;9;0;1;0;98,375000;105.205;0;47342.2;1893.69;52500;9000;20001
2_1;2;0;0;3;0;0;0;0;55;23;3;0;0;0;0;0;1;0;55;23;3;0;0;96,342014;84.6637;0;117428;60957.8;105000;78500;20001
3_1;2;0;0;3;0;0;0;0;47;13;3;0;0;0;0;0;1;0;47;13;3;0;0;96,897569;83.6099;0;89211.8;60199.2;105000;68500;20001
4_1;2;0;0;3;0;0;0;0;49;14;1;0;0;0;0;0;1;1;49;14;1;0;1;96,421875;93.2017;0;97768.5;94320.1;105000;32500;20001
5_1;3;0;0;4;0;0;0;0;75;32;5;0;0;0;0;0;1;2;75;32;5;0;1;95,688657;102.297;0;197945;183112;157500;124500;26668
6_1;4;1;0;4;0;0;0;0;77;27;3;3;0;0;0;0;0;2;77;27;3;2;0;94,996528;124.668;0;359419;179523;495000;303000;26668
7_1;4;0;0;4;0;0;0;0;73;27;5;0;0;0;0;0;0;3;73;27;5;0;1;95,540509;128.355;0;231681;262871;210000;119500;26668
8_1;6;1;0;5;0;0;0;0;101;49;3;0;0;0;0;0;1;4;101;49;3;1;1;95,287326;169.512;0;440223;480058;600000;104500;33335
9_1;7;1;0;6;0;0;0;0;100;39;4;1;0;0;0;0;0;6;100;39;4;0;2;94,320312;155.618;0;380019;638189;652500;186500;40002
10_1;5;0;0;5;0;0;0;0;101;43;3;0;0;0;0;1;1;8;101;43;4;1;2;92,835938;149.164;0;369478;861569;262500;98500;33335
11_1;5;1;0;8;0;0;0;0;125;53;5;2;0;0;0;0;0;10;125;53;4;1;2;93,230556;125.69;0;458643;766583;547500;292500;53336
0_2;1;0;0;3;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;98,194444;106.296;0;55273.8;0;52500;8000;20001
1_2;1;0;0;3;0;0;0;0;28;10;1;0;0;0;0;0;1;0;28;10;1;1;0;96,781250;105.205;0;68804;28720.9;52500;28500;20001
2_2;2;0;0;3;0;0;0;0;52;16;3;0;0;0;0;0;2;0;52;16;3;1;0;95,647569;84.6637;0;101766;110486;105000;71500;20001
3_2;2;0;0;3;0;0;0;0;45;14;3;0;0;0;0;0;2;0;45;14;3;0;0;95,664931;83.6099;0;88375.7;120398;105000;69500;20001
4_2;2;0;0;3;0;0;0;0;53;23;2;0;0;0;0;1;2;1;53;23;3;0;1;93,881944;93.2017;0;123306;205137;105000;60000;20001
5_2;3;0;0;4;0;0;0;0;78;25;4;0;0;0;0;0;2;2;78;25;3;0;1;95,240741;102.297;0;183521;237125;157500;99000;26668
6_2;4;1;0;4;0;0;0;0;77;29;3;2;0;0;0;0;0;2;77;29;3;0;0;96,146991;124.668;0;235499;179523;495000;231500;26668
7_2;4;0;0;4;0;0;0;0;77;32;5;0;0;0;0;0;1;2;77;32;5;1;0;95,758102;128.355;0;252218;218203;210000;124500;26668
