Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;18;9;0;0;0;0;0;0;0;0;18;9;0;0;0;97,916667;142;0;63900;0;52500;9000;20001
1_0;1;0;0;3;0;0;0;0;23;5;0;0;0;0;0;0;0;0;23;5;0;0;0;97,939815;142;0;63190;0;52500;5000;20001
2_0;1;0;0;3;0;0;0;0;37;21;3;0;0;0;0;0;0;1;37;21;3;0;1;97,164352;142;0;152934;21016;52500;76500;20001
3_0;1;0;0;4;0;0;0;0;42;15;0;0;0;0;0;0;0;1;42;15;0;0;0;96,180556;142;0;132060;102240;52500;15000;26668
4_0;1;0;0;4;0;0;0;0;31;12;0;0;0;0;0;0;0;1;31;12;0;0;0;96,701389;142;0;100110;102240;52500;12000;26668
5_0;2;0;0;3;0;0;0;0;65;21;2;0;0;0;0;0;0;1;65;21;2;0;0;96,631173;142;0;207746;102240;105000;58000;20001
6_0;2;0;0;3;0;0;0;0;54;21;3;0;0;0;0;0;0;1;54;21;3;0;0;96,833333;142;0;189144;102240;105000;76500;20001
7_0;2;0;0;4;0;0;0;0;65;25;2;0;0;0;0;0;0;1;65;25;2;0;0;96,507716;142;0;219106;102240;105000;62000;26668
8_0;2;0;0;4;0;0;0;0;72;26;1;0;0;0;0;0;0;1;72;26;1;0;0;97,275463;142;0;232028;102240;105000;44500;26668
9_0;2;0;0;4;0;0;0;0;74;30;2;0;0;0;0;0;0;4;74;30;2;0;3;96,136574;142;0;252476;221520;105000;67000;26668
10_0;2;0;0;4;0;0;0;0;73;33;4;0;0;0;0;0;0;6;73;33;4;0;2;93,989583;142;0;268522;468884;105000;107000;26668
11_0;3;0;0;5;0;0;0;0;95;37;2;0;0;0;0;0;0;7;95;37;2;0;1;93,893519;142;0;317086;619404;157500;74000;33335
