Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;6;0;1;0;0;98,434343;172;0;21328;0;105000;18500;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;97,727273;162;0;29160;0;52500;3000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,285354;152;0;32680;0;52500;4000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,169192;142;0;20590;0;52500;2000;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;1;0;6;3;0;1;0;94,103535;132;0;19800;41844;52500;3000;13334
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;1;0;7;1;0;0;0;89,330808;122;0;15250;87840;52500;1000;20001
6_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;1;0;0;0;0;0;0;12;5;0;0;0;98,068182;112;0;34272;0;337500;78500;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;7;0;0;0;0;0;0;0;0;17;7;0;0;0;97,506313;122;0;48190;0;52500;7000;13334
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;6;2;0;0;0;0;0;0;0;14;6;2;0;0;97,487374;132;0;52536;0;52500;43000;20001
9_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;6;2;0;0;0;0;0;0;0;16;6;2;0;0;97,297980;142;0;60776;0;52500;43000;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;3;1;0;0;0;0;0;0;1;12;3;1;0;1;94,356061;152;0;41648;94240;52500;21500;20001
11_0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;4;2;0;0;0;0;0;0;1;13;4;2;0;0;93,289141;162;0;55566;116640;390000;41000;26668
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;5;0;0;0;0;0;0;0;1;17;5;0;0;0;95,475589;172;0;61060;123840;157500;5000;13334
13_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;1;0;0;0;0;0;0;1;21;7;1;0;0;94,911616;162;0;79218;116640;157500;25500;20001
14_0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;20;8;1;0;0;0;0;0;0;1;20;8;1;0;0;94,638047;152;9120;75088;109440;105000;45000;20001
15_0;3;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;0;0;0;0;0;1;19;6;0;0;0;92,739899;142;85200;57510;102240;157500;191000;40002
16_0;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;0;1;23;12;1;0;0;94,111953;132;7920;81708;95040;337500;49000;26668
17_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;13;1;0;0;0;0;0;0;1;23;13;1;0;0;94,280303;122;0;77958;87840;52500;31500;20001
18_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;28;14;0;0;0;0;0;0;0;2;28;14;0;0;1;94,356061;112;13440;78400;108416;52500;51000;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;32;11;0;0;0;0;0;0;0;2;32;11;0;0;0;93,244949;122;0;85400;175680;52500;11000;20001
20_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;9;0;0;0;0;0;0;0;2;28;9;0;0;0;93,560606;132;0;79200;190080;337500;9000;26668
21_0;3;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;29;13;0;0;0;0;0;0;0;2;29;13;0;0;0;91,745581;142;68160;98690;204480;157500;161000;40002
22_0;3;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;27;16;2;0;0;0;0;0;0;3;27;16;2;0;1;91,240530;152;27360;120536;273904;442500;108500;26668
23_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;14;2;0;0;0;0;0;0;5;24;14;2;0;2;89,678030;162;0;114696;415044;157500;51000;20001
24_0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;1;0;0;11;0;0;7;35;11;0;1;2;71,212121;172;0;181460;1.77934e+06;442500;73500;26668
25_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;34;19;0;0;0;0;1;2;0;8;34;9;2;0;1;81,396465;162;0;124740;1.06871e+06;157500;19000;13334
26_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;20;4;0;0;0;0;0;0;9;34;19;2;0;1;82,820707;152;0;153520;880536;157500;94000;20001
27_0;3;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;35;16;0;0;0;0;0;0;0;9;35;16;0;0;0;80,290404;142;68160;119990;920160;157500;164000;40002
28_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;36;19;3;0;0;0;0;0;1;10;36;19;3;1;1;79,515152;132;0;134904;935880;52500;74500;20001
