Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;3;0;0;0;0;0;0;0;0;27;3;0;0;0;98,385417;172;0;79980;0;52500;3000;20001
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;7;0;0;0;0;0;0;0;0;25;7;0;0;0;98,211806;162;0;83430;0;52500;7000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;8;1;0;0;0;0;0;0;0;27;8;1;0;0;97,920139;152;0;91048;0;52500;26500;20001
3_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;9;2;0;0;0;0;0;0;0;26;9;2;0;0;97,784722;142;0;90596;0;337500;46000;26668
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;5;1;0;0;0;0;0;0;0;23;5;1;0;0;98,336806;132;0;63228;0;52500;23500;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;11;0;0;0;0;0;0;0;1;23;11;0;0;1;97,201389;122;0;68930;29402;52500;11000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;9;1;0;0;0;0;0;0;1;28;9;1;0;0;95,298611;112;0;71008;80640;52500;27500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;11;1;0;0;0;0;0;0;1;21;11;1;0;0;95,524306;122;0;69418;87840;52500;29500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;12;1;0;0;0;0;0;1;1;27;12;1;1;0;94,152778;132;0;89628;132660;52500;30500;20001
9_0;3;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;23;9;1;0;0;0;0;0;1;1;23;9;1;0;0;92,642361;142;17040;79378;204480;157500;64500;40002
10_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;19;4;2;0;0;0;0;0;1;1;19;4;2;0;0;92,871528;152;27360;65816;218880;52500;96500;20001
11_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;28;14;1;0;0;0;0;0;1;1;28;14;1;0;0;91,618056;162;38880;118908;233280;105000;106500;26668
12_0;2;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;24;11;1;1;0;0;0;0;0;1;24;11;1;0;0;94,444444;172;41280;110080;123840;390000;177000;26668
13_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;29;8;0;0;0;0;0;0;0;1;29;8;0;0;0;94,600694;162;38880;96390;116640;105000;82000;26668
14_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;33;9;1;0;0;0;0;0;0;1;33;9;1;0;0;93,163194;152;82080;107768;109440;157500;194000;40002
15_0;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;27;8;2;0;0;0;0;0;0;3;27;8;2;0;2;90,579861;142;119280;89886;176080;157500;304000;60003
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;7;0;0;0;0;0;0;0;3;24;7;0;0;0;90,763889;132;0;66000;285120;52500;7000;20001
17_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;7;1;0;0;0;0;0;0;3;27;7;1;0;0;90,489583;122;0;70638;263520;337500;25500;26668
18_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;11;1;0;0;0;0;0;1;4;23;11;1;1;1;86,451389;112;0;67088;369936;52500;29500;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;5;0;0;0;0;0;0;2;4;27;5;0;1;0;84,381944;122;0;61610;487146;52500;5000;20001
20_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;13;0;2;0;0;0;0;0;4;24;13;0;0;0;87,666667;132;0;88704;380160;337500;160000;26668
21_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;9;2;0;0;0;0;0;0;4;24;9;2;0;0;87,888889;142;0;86336;408960;52500;46000;20001
22_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;7;1;0;0;0;0;0;0;5;22;7;1;0;1;87,312500;152;0;76608;478800;52500;25500;20001
23_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;48;20;2;0;0;0;0;0;0;6;48;20;2;0;1;91,359375;162;0;192456;613818;105000;57000;20001
0_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;12;0;0;0;0;0;0;0;0;30;12;0;0;0;97,604167;172;0;118680;0;52500;12000;20001
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;7;0;0;0;0;0;0;1;0;25;7;0;1;0;96,125000;162;0;83430;97362;52500;7000;13334
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;6;3;0;0;0;0;0;2;0;27;6;3;1;0;94,892361;152;0;95304;128288;52500;61500;20001
3_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;2;0;0;0;0;0;1;21;7;0;0;1;96,593750;142;0;71994;67308;337500;154000;26668
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;1;27;9;1;0;0;95,350694;132;0;81708;95040;52500;27500;20001
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;1;0;0;0;0;0;0;2;24;8;1;0;1;93,357639;122;0;67588;165798;52500;26500;20001
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;10;3;0;0;0;0;0;0;2;26;10;3;0;0;92,597222;112;0;77504;161280;52500;65500;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;14;0;0;0;0;0;0;0;2;19;14;0;0;0;93,038194;122;0;68930;175680;52500;14000;20001
