Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;20001
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;98,958333;162;0;2430;0;52500;0;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;152;0;4560;0;52500;0;20001
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;97,743056;142;0;9230;0;52500;1000;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;99,166667;132;0;3960;0;52500;0;13334
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,611111;122;0;7320;0;0;0;13334
6_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,090278;112;0;12320;0;337500;1000;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;97,777778;122;0;19520;0;52500;2000;13334
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;0;0;0;0;0;0;0;9;3;1;0;0;97,349537;132;0;30228;0;52500;21500;20001
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;9;3;0;0;0;97,470238;142;8520;27690;0;52500;21500;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;0;0;0;0;0;8;3;1;0;0;98,142361;152;0;32528;0;52500;21500;20001
11_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;5;0;0;0;0;0;0;0;0;14;5;0;0;0;97,608025;162;0;50220;0;52500;5000;20001
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;4;1;0;0;0;0;0;0;0;17;4;1;0;0;97,437500;172;0;63468;0;52500;22500;20001
13_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;0;0;0;0;0;0;0;14;6;0;0;0;97,916667;162;0;53460;0;52500;6000;20001
14_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;3;1;0;0;0;0;0;1;0;18;3;1;1;0;96,846065;152;0;55328;27512;52500;21500;20001
15_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;16;6;1;0;0;0;0;0;1;0;16;6;1;0;0;93,728632;142;8520;55948;102240;52500;43000;20001
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;2;0;0;0;0;0;1;0;21;7;2;0;0;93,834325;132;0;69036;95040;52500;44000;20001
17_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;17;4;0;0;0;0;0;0;1;0;17;4;0;0;0;94,837963;122;7320;40870;87840;52500;22500;20001
18_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;1;1;23;12;1;0;1;91,115451;112;13440;69328;146496;52500;67500;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;0;0;0;0;0;1;1;24;8;0;0;0;91,993464;122;0;63440;175680;52500;8000;20001
