Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;172;0;7740;0;0;0;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;97,743056;162;0;21060;0;52500;2000;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;98,437500;152;0;20520;0;52500;3000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;0;0;0;0;0;8;4;2;0;0;97,673611;142;0;38056;0;52500;41000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;4;2;0;0;0;0;0;0;0;13;4;2;0;0;97,618056;132;0;45276;0;52500;41000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;0;0;0;0;0;1;0;14;4;0;1;0;97,569444;122;0;35380;15860;52500;4000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;5;1;0;0;0;0;0;1;0;18;5;1;0;0;94,424603;112;0;45248;80640;52500;23500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;6;1;0;0;0;0;0;1;1;18;6;1;0;1;93,307292;122;0;51728;136396;52500;24500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;10;0;0;0;0;0;0;1;1;22;10;0;0;0;92,399691;132;0;69960;190080;52500;10000;20001
9_0;2;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;24;16;0;1;0;0;0;0;0;1;24;16;0;0;0;94,215278;142;34080;100252;102240;390000;163500;26668
10_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;30;8;2;0;0;0;0;0;0;1;30;8;2;0;0;95,397727;152;9120;103056;109440;52500;63500;20001
11_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;32;10;0;0;0;0;0;0;0;1;32;10;0;0;0;95,601852;162;19440;110160;116640;52500;47000;20001
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;9;1;0;0;0;0;0;0;1;29;9;1;0;0;96,343483;172;0;111628;123840;52500;27500;20001
13_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;39;18;1;0;0;0;0;0;0;1;39;18;1;0;0;95,637401;162;9720;158598;116640;52500;55000;20001
14_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;38;16;2;0;0;0;0;0;0;1;38;16;2;0;0;95,976852;152;9120;145616;109440;52500;71500;20001
15_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;38;13;2;0;0;0;0;0;0;3;38;13;2;0;2;95,540365;142;17040;127516;147254;105000;87000;20001
16_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;34;22;1;0;0;0;0;0;0;3;34;22;1;0;0;93,455882;132;7920;129888;285120;52500;59000;20001
17_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;49;19;0;0;0;0;0;0;0;3;49;19;0;0;0;94,314236;122;0;136030;263520;105000;19000;20001
0_1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;97,569444;172;0;12040;0;0;2000;13334
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,090278;162;0;17820;0;52500;1000;20001
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;4;4;0;0;0;98,379630;152;0;21280;0;52500;4000;13334
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;0;0;0;0;0;0;0;9;6;0;0;0;97,786458;142;0;36210;0;52500;6000;20001
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;7;1;0;0;0;0;0;1;0;11;7;1;1;0;96,069444;132;0;44748;29964;52500;25500;20001
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;6;1;0;0;0;0;0;1;0;18;6;1;0;0;93,379630;122;0;51728;87840;52500;24500;20001
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;1;1;21;7;0;0;1;92,435516;112;0;50960;119840;52500;7000;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;7;1;0;0;0;0;0;1;1;17;7;1;0;0;91,888021;122;0;52338;175680;52500;25500;20001
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;9;1;0;0;0;0;0;1;1;15;9;1;0;0;92,750772;132;0;57948;190080;52500;27500;20001
9_1;2;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;25;12;1;1;0;0;0;0;0;1;25;12;1;0;0;94,322917;142;34080;95850;102240;390000;178000;26668
10_1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;27;7;1;0;0;0;0;0;0;1;27;7;1;0;0;95,710227;152;9120;88008;109440;52500;44000;20001
11_1;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;0;1;24;9;0;0;0;96,006944;162;19440;87480;116640;52500;46000;20001
12_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;10;1;0;0;0;0;0;0;1;27;10;1;0;0;96,370192;172;0;109908;123840;52500;28500;20001
13_1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;35;11;3;0;0;0;0;0;0;2;35;11;3;0;1;94,191468;162;9720;137214;232470;52500;85000;20001
